<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCLT.US,D,20091123,000000,47.0016,47.0016,47.0016,47.0016,103.19053077272,0
VCLT.US,D,20091125,000000,47.167,47.3021,47.1602,47.3021,6381.4658931325,0
VCLT.US,D,20091127,000000,47.3657,47.3657,47.3657,47.3657,483.25862431183,0
VCLT.US,D,20091130,000000,47.2953,47.4548,47.2953,47.4548,1774.672791606,0
VCLT.US,D,20091201,000000,47.2785,47.3079,47.2256,47.2738,109527.04237521,0
VCLT.US,D,20091202,000000,47.4176,47.4176,47.3941,47.3941,25012.975983937,0
VCLT.US,D,20091203,000000,46.9458,47.0016,46.9458,47.0016,14447.695996604,0
VCLT.US,D,20091204,000000,46.883,46.883,46.883,46.883,263.595613261,0
VCLT.US,D,20091207,000000,46.89,46.89,46.7785,46.8783,1500.86029411,0
VCLT.US,D,20091208,000000,47.0877,47.0877,46.9672,47.0016,11208.943694133,0
VCLT.US,D,20091209,000000,47.0877,47.0877,46.8352,46.9047,15685.982365877,0
VCLT.US,D,20091210,000000,46.6934,46.8235,46.663,46.8235,12769.061916806,0
VCLT.US,D,20091211,000000,46.5904,46.6404,46.5798,46.6404,3511.5431115428,0
VCLT.US,D,20091214,000000,46.7373,46.7491,46.7373,46.7491,23310.8430704,0
VCLT.US,D,20091216,000000,46.9194,46.9194,46.7541,46.7541,501.64901593468,0
VCLT.US,D,20091221,000000,46.5798,46.5798,46.5798,46.5798,103.19053077272,0
VCLT.US,D,20091222,000000,46.4486,46.4741,46.4252,46.4741,2305.9507718221,0
VCLT.US,D,20091223,000000,46.6238,46.6238,46.6179,46.6179,1390.5179443729,0
VCLT.US,D,20091224,000000,46.1324,46.1324,45.9092,45.9092,635.49019941217,0
VCLT.US,D,20091228,000000,45.8623,45.8751,45.7438,45.825,2856.6408320842,0
VCLT.US,D,20091229,000000,46.014,46.1451,45.928,46.1451,1481.4482140638,0
VCLT.US,D,20091230,000000,46.3125,46.3125,46.1775,46.2852,9732.6039221871,0
