<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADVB.US,D,20250306,000000,4,4.1,3.6,3.65,525444,0
ADVB.US,D,20250307,000000,3.73,3.84,3.31,3.65,778791,0
ADVB.US,D,20250310,000000,3.16,3.79,3.16,3.5141,141577,0
ADVB.US,D,20250311,000000,3.06,3.9059,3.06,3.8,86020,0
ADVB.US,D,20250312,000000,3.9,3.9,3.4,3.7394,212288,0
ADVB.US,D,20250313,000000,3.59,3.7,3.45,3.53,9810,0
ADVB.US,D,20250314,000000,3.6,3.8,3.45,3.78,46701,0
ADVB.US,D,20250317,000000,3.81,3.98,3.52,3.89,67350,0
ADVB.US,D,20250318,000000,3.9,3.9,3.55,3.65,32365,0
ADVB.US,D,20250319,000000,3.51,3.8,3.51,3.66,41849,0
ADVB.US,D,20250320,000000,3.68,3.755,3.51,3.68,35415,0
ADVB.US,D,20250321,000000,3.69,3.85,3.69,3.84,61743,0
ADVB.US,D,20250324,000000,3.85,3.98,3.74,3.9001,66519,0
