<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APED.US,D,20250306,000000,18.85,20.23,18.67,19.05,1704,0
APED.US,D,20250310,000000,14.09,14.35,11.591,11.8119,2589,0
APED.US,D,20250311,000000,12.52,13.7743,12.52,13.7743,892,0
APED.US,D,20250312,000000,13.59,13.8628,13,13.8628,3151,0
APED.US,D,20250313,000000,13.86,13.86,12.8644,12.8644,412,0
APED.US,D,20250317,000000,14.15,15.62,14.15,15.2481,1818,0
APED.US,D,20250318,000000,14.22,14.22,14.0294,14.0294,378,0
APED.US,D,20250319,000000,15.67,15.78,15.67,15.6849,3007,0
APED.US,D,20250320,000000,16.1083,16.1083,15.01,15.6007,2487,0
APED.US,D,20250321,000000,15.1,15.6287,15.1,15.6287,1282,0
APED.US,D,20250324,000000,17.56,17.98,17.56,17.79,3747,0
