<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCLO.US,D,20250203,000000,50.18,50.2,50.1799,50.19,11735,0
BCLO.US,D,20250204,000000,50.42,50.42,50.41,50.41,996,0
BCLO.US,D,20250205,000000,50.44,50.44,50.4234,50.43,1508,0
BCLO.US,D,20250206,000000,50.4262,50.45,50.4262,50.435,13501,0
BCLO.US,D,20250207,000000,50.48,50.48,50.47,50.47,8588,0
BCLO.US,D,20250210,000000,50.47,50.47,50.44,50.465,4920,0
BCLO.US,D,20250211,000000,50.49,50.5,50.49,50.495,19876,0
BCLO.US,D,20250212,000000,50.495,50.5099,50.495,50.5,7051,0
BCLO.US,D,20250213,000000,50.51,50.52,50.51,50.515,11162,0
BCLO.US,D,20250214,000000,50.56,50.56,50.5397,50.55,8053,0
BCLO.US,D,20250218,000000,50.32,50.33,50.27,50.315,20652,0
BCLO.US,D,20250219,000000,50.345,50.37,50.345,50.37,1274,0
