<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMGL.US,D,20250225,000000,4.19,5.4,4.05,4.44,2611319,0
BMGL.US,D,20250226,000000,4.44,4.46,4,4.14,218558,0
BMGL.US,D,20250227,000000,4.11,4.43,4,4.17,303201,0
BMGL.US,D,20250228,000000,4.1,4.378,4.08,4.1734,362406,0
BMGL.US,D,20250303,000000,4.24,4.44,4.15,4.2,909848,0
BMGL.US,D,20250304,000000,4.28,4.398,4,4.2,112875,0
BMGL.US,D,20250305,000000,4.26,4.4,4.09,4.095,44992,0
BMGL.US,D,20250306,000000,4.1,4.3,4.09,4.12,68297,0
BMGL.US,D,20250307,000000,4.1,4.19,4,4.02,170508,0
BMGL.US,D,20250310,000000,4.01,4.09,3.75,3.911,123365,0
BMGL.US,D,20250311,000000,3.91,4.2,3.91,4.06,46745,0
BMGL.US,D,20250312,000000,3.99,4.09,3.99,4.04,8336,0
BMGL.US,D,20250313,000000,4.04,4.17,4.01,4.01,123680,0
BMGL.US,D,20250314,000000,4.0019,4.1,3.86,4.0893,219293,0
BMGL.US,D,20250317,000000,4.0102,4.0541,3.97,4.04,201277,0
BMGL.US,D,20250318,000000,4.01,4.05,3.96,4.04,7776,0
BMGL.US,D,20250319,000000,4.09,4.38,4.0014,4.2201,115914,0
BMGL.US,D,20250320,000000,4.22,4.38,4.1,4.21,352675,0
BMGL.US,D,20250321,000000,4.13,4.26,4.02,4.21,75002,0
BMGL.US,D,20250324,000000,4.12,4.37,4.08,4.18,33792,0
