<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CJMB.US,D,20250205,000000,4,4.85,3.91,4.1,303412,0
CJMB.US,D,20250206,000000,5.94,7.7599,4.17,6.32,7650085,0
CJMB.US,D,20250207,000000,5.1,5.81,4.25,4.5,415903,0
CJMB.US,D,20250210,000000,4.01,5.8,4.01,4.81,607197,0
CJMB.US,D,20250211,000000,5.08,6.01,5.08,5.2845,294030,0
CJMB.US,D,20250212,000000,5.1,5.3,4.59,4.655,77442,0
CJMB.US,D,20250213,000000,5.04,5.16,4.5001,4.6,96581,0
CJMB.US,D,20250214,000000,4.66,4.93,3.38,3.73,135356,0
CJMB.US,D,20250218,000000,3.88,3.94,3.4001,3.89,177583,0
CJMB.US,D,20250219,000000,3.7547,4.35,3.7,4.23,123777,0
