<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBI.US,D,20250228,000000,49.37,50.01,49.37,50.01,1753,0
EBI.US,D,20250303,000000,49.89,49.99,48.9953,48.9953,118269,0
EBI.US,D,20250304,000000,48.1799,49.03,48.1799,48.3299,35036,0
EBI.US,D,20250305,000000,48.54,48.8284,48.54,48.8284,22530,0
EBI.US,D,20250306,000000,48.6,48.6,47.95,48.1259,56108,0
EBI.US,D,20250307,000000,48.35,48.4541,48.02,48.4541,7440,0
EBI.US,D,20250310,000000,47.753,47.753,47.2295,47.2295,25147,0
EBI.US,D,20250311,000000,47.11,47.11,46.64,46.9299,120707,0
EBI.US,D,20250312,000000,46.98,47.03,46.85,46.9643,19388,0
EBI.US,D,20250313,000000,46.7,46.7,46.25,46.2628,118369,0
EBI.US,D,20250314,000000,46.8199,47.3356,46.76,47.3356,112828,0
EBI.US,D,20250317,000000,47.56,47.96,47.56,47.7936,79744,0
EBI.US,D,20250318,000000,47.275,47.41,47.26,47.3914,130569,0
EBI.US,D,20250319,000000,47.72,47.9629,47.6,47.9629,30004,0
EBI.US,D,20250320,000000,47.91,48.15,47.76,47.7893,22814,0
EBI.US,D,20250321,000000,47.18,47.6637,47.18,47.6637,28234,0
EBI.US,D,20250324,000000,48.38,48.4338,48.33,48.37,7692,0
