<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURKU.US,D,20250307,000000,10.5,10.5,10.49,10.49,402,0
EURKU.US,D,20250310,000000,10.49,10.49,10.48,10.48,401,0
EURKU.US,D,20250311,000000,10.49,10.49,10.48,10.48,402,0
EURKU.US,D,20250312,000000,10.48,10.48,10.47,10.47,404,0
EURKU.US,D,20250313,000000,10.48,10.48,10.47,10.47,401,0
EURKU.US,D,20250314,000000,10.47,10.47,10.47,10.47,402,0
EURKU.US,D,20250317,000000,10.47,10.47,10.47,10.47,401,0
EURKU.US,D,20250318,000000,10.47,10.47,10.47,10.47,401,0
EURKU.US,D,20250319,000000,10.48,10.48,10.47,10.47,402,0
EURKU.US,D,20250320,000000,10.48,10.48,10.47,10.47,411,0
EURKU.US,D,20250321,000000,10.49,10.49,10.47,10.47,401,0
EURKU.US,D,20250324,000000,10.49,10.49,10.47,10.47,408,0
