<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVYM.US,D,20250227,000000,49.99,50.015,49.99,50.015,209,0
EVYM.US,D,20250228,000000,50.14,50.14,50.115,50.12,2418,0
EVYM.US,D,20250303,000000,50.29,50.3,50.2899,50.3,400,0
EVYM.US,D,20250304,000000,50.23,50.26,50.16,50.215,2809,0
EVYM.US,D,20250305,000000,50.19,50.19,50.15,50.15,961,0
EVYM.US,D,20250307,000000,50.025,50.0299,50.025,50.025,501,0
EVYM.US,D,20250310,000000,50.1,50.15,50.0999,50.135,391,0
EVYM.US,D,20250311,000000,50.24,50.24,50.06,50.089,105124,0
EVYM.US,D,20250312,000000,50.05,50.05,49.8,49.805,1181,0
EVYM.US,D,20250314,000000,49.765,49.765,49.725,49.725,247,0
EVYM.US,D,20250317,000000,49.84,49.905,49.835,49.905,4311,0
EVYM.US,D,20250320,000000,50.09,50.09,50.07,50.07,3500,0
EVYM.US,D,20250324,000000,50.03,50.08,49.89,49.89,24492,0
