<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GATEU.US,D,20250206,000000,10.92,10.92,10.92,10.92,100,0
GATEU.US,D,20250210,000000,10.92,10.92,10.92,10.92,100,0
GATEU.US,D,20250211,000000,10.96,10.96,10.92,10.92,400,0
GATEU.US,D,20250213,000000,10.92,11.4605,10.92,11.4605,200,0
GATEU.US,D,20250311,000000,10.93,10.93,10.93,10.93,500,0
GATEU.US,D,20250317,000000,10.9,10.9,10.9,10.9,1746,0
GATEU.US,D,20250319,000000,9.9,9.9,9.9,9.9,260,0
GATEU.US,D,20250320,000000,10.04,10.92,10.04,10.92,479,0
GATEU.US,D,20250321,000000,9.96,13.99,9.96,12.01,11941,0
GATEU.US,D,20250324,000000,12.28,15.48,12.12,14.01,12211,0
