<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEME.US,D,20250127,000000,25.2355,25.239,25.0256,25.0256,202,0
GEME.US,D,20250128,000000,24.97,25.24,24.97,25.17,1025,0
GEME.US,D,20250203,000000,24.92,24.92,24.835,24.835,702,0
GEME.US,D,20250204,000000,25.33,25.33,25.29,25.318,1101,0
GEME.US,D,20250205,000000,25.15,25.22,25.12,25.2081,1469,0
GEME.US,D,20250206,000000,25.2731,25.2914,25.2731,25.2914,200,0
GEME.US,D,20250207,000000,25.455,25.455,25.345,25.345,200,0
GEME.US,D,20250211,000000,25.655,25.655,25.6273,25.6273,150,0
GEME.US,D,20250212,000000,26.5287,26.5287,25.755,25.755,131,0
GEME.US,D,20250213,000000,25.775,25.9,25.775,25.9,3880,0
GEME.US,D,20250214,000000,26.19,26.215,26.19,26.215,2081,0
GEME.US,D,20250218,000000,26.25,26.295,26.25,26.295,10002,0
GEME.US,D,20250219,000000,26.23,26.27,26.23,26.27,13002,0
GEME.US,D,20250221,000000,26.57,26.745,26.53,26.745,3204,0
GEME.US,D,20250225,000000,26.13,26.25,26,26.25,402,0
GEME.US,D,20250226,000000,26.21,26.35,26.21,26.35,360,0
GEME.US,D,20250227,000000,25.935,26.0426,25.935,26.0426,285,0
GEME.US,D,20250228,000000,25.6,25.6,25.51,25.51,5172,0
GEME.US,D,20250303,000000,25.76,25.76,25.2,25.33,979590,0
GEME.US,D,20250306,000000,26.54,26.57,26.125,26.125,10475,0
GEME.US,D,20250307,000000,26.5,26.5,26.195,26.195,147,0
GEME.US,D,20250310,000000,25.78,25.78,25.4403,25.4403,2147,0
GEME.US,D,20250317,000000,26.79,26.88,26.79,26.88,485,0
GEME.US,D,20250318,000000,27,27,26.67,26.7,5080,0
GEME.US,D,20250319,000000,26.75,26.92,26.75,26.77,20104,0
GEME.US,D,20250320,000000,26.48,26.48,26.46,26.46,40020,0
GEME.US,D,20250324,000000,26.69,26.69,26.69,26.69,2001,0
