<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCAI.US,D,20250205,000000,4.39,5.32,3.81,3.84,1987506,0
HCAI.US,D,20250206,000000,3.74,4.18,3.7,3.76,626948,0
HCAI.US,D,20250207,000000,3.71,5.12,3.7,5.12,1890699,0
HCAI.US,D,20250210,000000,4.25,4.5,3.8,4.2,315876,0
HCAI.US,D,20250211,000000,4.1,4.1,3.76,3.76,306169,0
HCAI.US,D,20250212,000000,3.7,3.97,3.7,3.72,182238,0
HCAI.US,D,20250213,000000,3.75,4.17,3.71,3.97,183293,0
HCAI.US,D,20250214,000000,4.25,4.3899,3.94,4.09,72853,0
HCAI.US,D,20250218,000000,4.19,4.2,3.75,3.8,117163,0
HCAI.US,D,20250219,000000,4.0814,4.3706,3.8,4.13,102025,0
