<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JFB.US,D,20250306,000000,3.61,3.8,3.39,3.5,252799,0
JFB.US,D,20250307,000000,3.58,3.7164,3.47,3.6,285590,0
JFB.US,D,20250310,000000,3.61,3.665,3.42,3.42,56571,0
JFB.US,D,20250311,000000,3.51,3.75,3.5,3.52,43830,0
JFB.US,D,20250312,000000,3.55,3.82,3.53,3.61,58753,0
JFB.US,D,20250313,000000,3.6,3.76,3.55,3.57,45345,0
JFB.US,D,20250314,000000,3.57,3.94,3.55,3.82,145266,0
JFB.US,D,20250317,000000,3.9,3.97,3.5443,3.605,66849,0
JFB.US,D,20250318,000000,3.6,3.79,3.6,3.7586,7177,0
JFB.US,D,20250319,000000,3.75,3.85,3.62,3.65,22685,0
JFB.US,D,20250320,000000,3.75,4.26,3.6,4.1325,159348,0
JFB.US,D,20250321,000000,4.14,4.5,3.92,4.36,43576,0
JFB.US,D,20250324,000000,4.47,4.87,4.1,4.21,66919,0
