<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAYA.US,D,20250307,000000,9.86,9.87,9.86,9.87,529402,0
MAYA.US,D,20250310,000000,9.86,9.88,9.86,9.88,2048,0
MAYA.US,D,20250311,000000,9.8791,9.89,9.875,9.88,28338,0
MAYA.US,D,20250312,000000,9.87,9.88,9.87,9.88,6080,0
MAYA.US,D,20250313,000000,9.88,9.88,9.87,9.88,31550,0
MAYA.US,D,20250314,000000,9.88,9.88,9.87,9.87,183235,0
MAYA.US,D,20250317,000000,9.88,9.88,9.87,9.875,147743,0
MAYA.US,D,20250318,000000,9.88,9.89,9.87,9.885,1924859,0
MAYA.US,D,20250319,000000,9.88,9.885,9.88,9.885,70448,0
MAYA.US,D,20250320,000000,9.89,9.895,9.89,9.89,124667,0
MAYA.US,D,20250321,000000,9.89,9.89,9.89,9.89,1103,0
MAYA.US,D,20250324,000000,9.9,9.9,9.89,9.9,119237,0
