<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVLL.US,D,20250307,000000,23.51,24.38,22.735,23.9696,1507,0
MVLL.US,D,20250310,000000,22.06,22.06,19.2681,20.3542,15058,0
MVLL.US,D,20250311,000000,21.28,22.42,20.365,21.3616,16464,0
MVLL.US,D,20250312,000000,23.11,23.94,22.4241,23.1011,22508,0
MVLL.US,D,20250313,000000,23.05,24.22,21.89,22.3511,9669,0
MVLL.US,D,20250314,000000,23.5,23.5,22.12,22.3494,21289,0
MVLL.US,D,20250319,000000,22.17,23.5797,22.06,22.93,11427,0
MVLL.US,D,20250320,000000,22.54,23.7597,22.54,23.41,8604,0
MVLL.US,D,20250321,000000,22.25,23.48,22.05,23.3,10180,0
MVLL.US,D,20250324,000000,23.9,24.8581,23.9,24.7439,10051,0
