<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSRHW.US,D,20250219,000000,0.1881,0.2089,0.0699,0.0797,803410,0
OSRHW.US,D,20250220,000000,0.07,0.07,0.0501,0.052,147202,0
OSRHW.US,D,20250221,000000,0.0799,0.09,0.0601,0.066,1166969,0
OSRHW.US,D,20250224,000000,0.0765,0.0765,0.0567,0.0696,57498,0
OSRHW.US,D,20250225,000000,0.0516,0.0665,0.0516,0.0551,54208,0
OSRHW.US,D,20250226,000000,0.0501,0.0551,0.05,0.0514,11763,0
OSRHW.US,D,20250227,000000,0.0511,0.0649,0.0451,0.0482,14728,0
OSRHW.US,D,20250228,000000,0.0484,0.0484,0.0412,0.0412,43730,0
OSRHW.US,D,20250303,000000,0.0482,0.05,0.0414,0.0414,7609,0
OSRHW.US,D,20250304,000000,0.0401,0.05,0.0401,0.0414,12065,0
OSRHW.US,D,20250305,000000,0.0499,0.0589,0.0498,0.0589,40776,0
OSRHW.US,D,20250306,000000,0.0579,0.0579,0.0419,0.0444,6451,0
OSRHW.US,D,20250307,000000,0.0589,0.0592,0.041,0.05,11117,0
OSRHW.US,D,20250310,000000,0.0414,0.0496,0.0353,0.04,22681,0
OSRHW.US,D,20250311,000000,0.0329,0.033,0.0329,0.033,295,0
OSRHW.US,D,20250312,000000,0.04948,0.04948,0.04,0.04,1807,0
OSRHW.US,D,20250313,000000,0.0466,0.0495,0.04045,0.041,9544,0
OSRHW.US,D,20250317,000000,0.0351,0.0351,0.035,0.035,867,0
OSRHW.US,D,20250318,000000,0.0379,0.0405,0.0317,0.0369,103595,0
OSRHW.US,D,20250320,000000,0.0311,0.0311,0.0311,0.0311,415,0
OSRHW.US,D,20250321,000000,0.0395,0.0395,0.0311,0.0311,2182,0
OSRHW.US,D,20250324,000000,0.032854,0.032854,0.0311,0.0311,672,0
