<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXLCG.US,D,20250228,000000,24.75,24.75,24.47,24.6157,161713,0
OXLCG.US,D,20250303,000000,24.7,24.8,24.7,24.77,107050,0
OXLCG.US,D,20250304,000000,24.8,24.83,24.728,24.78,111508,0
OXLCG.US,D,20250305,000000,24.8,24.84,24.75,24.75,59609,0
OXLCG.US,D,20250306,000000,24.8,24.8,24.71,24.8,61886,0
OXLCG.US,D,20250307,000000,24.8,24.8,24.71,24.73,49097,0
OXLCG.US,D,20250310,000000,24.72,24.72,24.64,24.69,40710,0
OXLCG.US,D,20250311,000000,24.7,24.73,24.6,24.73,82635,0
OXLCG.US,D,20250312,000000,24.73,24.73,24.65,24.7,18435,0
OXLCG.US,D,20250313,000000,24.82,24.82,24.665,24.73,30891,0
OXLCG.US,D,20250314,000000,24.73,24.73,24.6701,24.7,17653,0
OXLCG.US,D,20250317,000000,24.7,24.73,24.682,24.69,33819,0
OXLCG.US,D,20250318,000000,24.68,24.7074,24.63,24.7,22358,0
OXLCG.US,D,20250319,000000,24.71,24.73,24.64,24.73,38167,0
OXLCG.US,D,20250320,000000,24.73,24.78,24.6,24.7,42909,0
OXLCG.US,D,20250321,000000,24.89,24.89,24.72,24.73,22853,0
OXLCG.US,D,20250324,000000,24.73,24.73,24.725,24.73,46423,0
