<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDTY.US,D,20250306,000000,49.12,49.79,48.97,49.2086,2445,0
RDTY.US,D,20250307,000000,49.3,49.55,48.48,49.505,15719,0
RDTY.US,D,20250310,000000,48.05,48.2831,48.05,48.2831,1334,0
RDTY.US,D,20250311,000000,48.45,48.67,47.895,48.5092,5194,0
RDTY.US,D,20250312,000000,48.52,48.63,48.3599,48.6089,2902,0
RDTY.US,D,20250313,000000,48.14,48.14,47.9029,47.9029,709,0
RDTY.US,D,20250314,000000,48.79,48.95,48.79,48.9093,650,0
RDTY.US,D,20250317,000000,49.34,49.5278,49.34,49.5278,992,0
RDTY.US,D,20250318,000000,49.08,49.2,49.02,49.2,3665,0
RDTY.US,D,20250319,000000,49.128,49.6622,49.128,49.6622,4635,0
RDTY.US,D,20250320,000000,49.04,49.38,48.95,49.1797,7684,0
RDTY.US,D,20250321,000000,48.72,48.9782,48.65,48.9782,815,0
RDTY.US,D,20250324,000000,49.97,50.07,49.943,50.07,4117,0
