<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIBBR.US,D,20250307,000000,0.15,0.19,0.15,0.17,444424,0
RIBBR.US,D,20250310,000000,0.16,0.16,0.15,0.155,317698,0
RIBBR.US,D,20250311,000000,0.15,0.15,0.15,0.15,111299,0
RIBBR.US,D,20250312,000000,0.1476,0.15,0.1443,0.15,1233,0
RIBBR.US,D,20250313,000000,0.15,0.15,0.15,0.15,1200,0
RIBBR.US,D,20250318,000000,0.155,0.1551,0.155,0.155,2803,0
RIBBR.US,D,20250319,000000,0.155,0.17,0.155,0.16,250812,0
RIBBR.US,D,20250320,000000,0.17,0.1701,0.168,0.17,141873,0
RIBBR.US,D,20250321,000000,0.17,0.17,0.168,0.17,7900,0
RIBBR.US,D,20250324,000000,0.18,0.18,0.18,0.18,6400,0
