<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNWV.US,D,20250307,000000,31.54,31.54,26.0001,29,33550,0
SNWV.US,D,20250310,000000,29,29.1,27.1101,27.5,10924,0
SNWV.US,D,20250311,000000,28.04,28.2788,26.51,27.425,28596,0
SNWV.US,D,20250312,000000,27.62,28.2802,26.001,28.2,14730,0
SNWV.US,D,20250313,000000,27.67,28.5,27.0786,28.17,5030,0
SNWV.US,D,20250314,000000,27.57,29.5,27.57,28.75,13417,0
SNWV.US,D,20250317,000000,28.75,32.4,28.65,31.75,42026,0
SNWV.US,D,20250318,000000,31.75,32,30,31.75,22007,0
SNWV.US,D,20250319,000000,31.75,31.75,30.675,31.71,16126,0
SNWV.US,D,20250320,000000,31.1728,32,31,32,46609,0
SNWV.US,D,20250321,000000,33.39,37.94,31.8,37.61,182871,0
SNWV.US,D,20250324,000000,37.59,39.5,37,38.71,78164,0
