<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPCY.US,D,20250306,000000,18.18,18.94,17.9059,17.9059,482,0
SPCY.US,D,20250307,000000,17.6247,18.8331,17.6247,18.8331,1096,0
SPCY.US,D,20250310,000000,18.62,18.62,16.66,17.1514,738,0
SPCY.US,D,20250311,000000,17.15,19.59,17.15,19.3975,1994,0
SPCY.US,D,20250312,000000,21.68,22.16,21.105,21.2884,4401,0
SPCY.US,D,20250313,000000,21.52,21.52,19.5599,19.5599,5045,0
SPCY.US,D,20250314,000000,21,22.1233,21,22.1233,3664,0
SPCY.US,D,20250317,000000,22.69,22.69,21.315,21.6553,6738,0
SPCY.US,D,20250318,000000,19.87,20.56,18.8058,18.8058,2001,0
SPCY.US,D,20250319,000000,19.61,20.89,19.61,20.1638,2641,0
SPCY.US,D,20250320,000000,20.41,20.5199,19.675,19.8169,2382,0
SPCY.US,D,20250321,000000,19.52,21.26,19.52,21.1971,3734,0
SPCY.US,D,20250324,000000,20.98,21.93,20.94,21.84,3185,0
