<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STAK.US,D,20250226,000000,3.62,4.53,3.53,3.73,1597447,0
STAK.US,D,20250227,000000,3.8,3.85,3.51,3.63,140973,0
STAK.US,D,20250228,000000,3.6,4.02,2.78,3.97,174227,0
STAK.US,D,20250303,000000,3.88,4.09,3.8,3.98,15337,0
STAK.US,D,20250304,000000,3.9,3.95,3.62,3.705,109836,0
STAK.US,D,20250305,000000,3.6663,3.9501,3.54,3.54,48311,0
STAK.US,D,20250306,000000,3.7,3.88,3.5,3.86,34295,0
STAK.US,D,20250307,000000,4,4.39,3.955,4.15,167627,0
STAK.US,D,20250310,000000,4.0519,4.24,3.93,3.98,37262,0
STAK.US,D,20250311,000000,3.98,4.18,3.68,3.68,231625,0
STAK.US,D,20250312,000000,3.99,3.99,3.75,3.75,17963,0
STAK.US,D,20250313,000000,3.97,4.1473,3.75,3.77,14036,0
STAK.US,D,20250314,000000,3.89,4.1,3.75,3.75,13196,0
STAK.US,D,20250317,000000,3.8,3.93,3.57,3.57,37020,0
STAK.US,D,20250318,000000,3.6,3.91,2.97,3.255,78802,0
STAK.US,D,20250319,000000,3.6,3.6,3.125,3.28,84864,0
STAK.US,D,20250320,000000,3.25,3.89,3.16,3.43,148141,0
STAK.US,D,20250321,000000,3.48,3.95,3.31,3.64,33311,0
STAK.US,D,20250324,000000,3.54,3.805,3.31,3.65,52341,0
