<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TQQY.US,D,20250226,000000,25.27,25.27,25.0131,25.0131,1548,0
TQQY.US,D,20250227,000000,25.3747,25.3747,24.0948,24.0948,3621,0
TQQY.US,D,20250228,000000,24.03,24.6983,23.72,24.6983,33995,0
TQQY.US,D,20250303,000000,24.6,24.6,23.594,23.594,2753,0
TQQY.US,D,20250304,000000,23.38,23.86,23.127,23.56,3184,0
TQQY.US,D,20250305,000000,23.58,24.02,23.4199,24.02,1417,0
TQQY.US,D,20250306,000000,23.21,23.62,22.8,22.89,2186,0
TQQY.US,D,20250307,000000,22.69,22.82,22.19,22.72,1411,0
TQQY.US,D,20250310,000000,22.13,22.161,21.77,21.8,1824,0
TQQY.US,D,20250311,000000,21.7,21.9197,21.66,21.66,1283,0
TQQY.US,D,20250312,000000,21.89,21.9093,21.79,21.79,2060,0
TQQY.US,D,20250313,000000,21.59,21.75,21.1899,21.23,17989,0
TQQY.US,D,20250314,000000,21.34,21.54,21.2829,21.54,3481,0
TQQY.US,D,20250317,000000,21.26,21.64,21.26,21.62,4158,0
TQQY.US,D,20250318,000000,21.1234,21.23,21.1234,21.23,1575,0
TQQY.US,D,20250319,000000,21.3798,21.776,21.35,21.68,9904,0
TQQY.US,D,20250320,000000,21.42,21.8299,21.42,21.7,2875,0
TQQY.US,D,20250321,000000,21.23,22.0378,21.23,22.0378,2364,0
TQQY.US,D,20250324,000000,22.2676,22.2676,22.1768,22.2676,6529,0
