<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWNP.US,D,20250129,000000,18,20.35,14.25,17.1,19406,0
TWNP.US,D,20250130,000000,17.45,19.04,16,17.1,132595,0
TWNP.US,D,20250131,000000,18.19,18.19,14.8,14.95,146630,0
TWNP.US,D,20250203,000000,15.34,15.4,14.01,14.01,124803,0
TWNP.US,D,20250204,000000,14,14.1,10.41,11.37,269665,0
TWNP.US,D,20250205,000000,11.51,11.51,10.825,10.95,65307,0
TWNP.US,D,20250206,000000,11,11,9.12,9.48,156600,0
TWNP.US,D,20250207,000000,9.65,10,9.16,9.5,71099,0
TWNP.US,D,20250210,000000,9.64,9.9115,9,9.58,47439,0
TWNP.US,D,20250211,000000,9.5,10.5399,9.31,9.92,57628,0
TWNP.US,D,20250212,000000,9.9,10.7399,9.58,10.36,34918,0
TWNP.US,D,20250213,000000,10.4,10.64,10.281,10.36,22804,0
TWNP.US,D,20250214,000000,10.75,10.75,9.59,9.95,25157,0
TWNP.US,D,20250218,000000,9.96,10.07,9.53,9.75,21089,0
TWNP.US,D,20250219,000000,9.74,9.82,9.29,9.3,22024,0
TWNP.US,D,20250220,000000,9.26,9.27,8.05,8.12,62131,0
TWNP.US,D,20250221,000000,8.2,8.68,7.9,8.41,52006,0
