<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UMBFP.US,D,20250205,000000,25.17,25.39,25.16,25.2779,16085,0
UMBFP.US,D,20250206,000000,25.16,25.27,25.16,25.25,5076,0
UMBFP.US,D,20250207,000000,25.26,25.3809,25.2501,25.3809,2651,0
UMBFP.US,D,20250210,000000,25.26,25.26,25.17,25.25,6743,0
UMBFP.US,D,20250211,000000,25.23,25.3499,25.2001,25.3,5468,0
UMBFP.US,D,20250212,000000,25.23,25.28,25.19,25.19,5521,0
UMBFP.US,D,20250213,000000,25.19,25.3,25.19,25.3,1248,0
UMBFP.US,D,20250214,000000,25.29,25.295,25.27,25.272,8966,0
UMBFP.US,D,20250218,000000,25.23,25.45,25.2209,25.31,8309,0
UMBFP.US,D,20250219,000000,25.25,25.38,25.25,25.38,2360,0
UMBFP.US,D,20250220,000000,25.35,25.45,25.3,25.45,21405,0
UMBFP.US,D,20250221,000000,25.3935,25.47,25.3675,25.4,3636,0
