<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XHLD.US,D,20250213,000000,6,8.54,6,6.8,1860904,0
XHLD.US,D,20250214,000000,7.03,7.03,1.45,2.1,5268786,0
XHLD.US,D,20250218,000000,1.99,2.04,1.4,1.56,1389764,0
XHLD.US,D,20250219,000000,1.62,2.09,1.62,1.93,4274669,0
XHLD.US,D,20250220,000000,1.93,2.02,1.712,1.88,955761,0
XHLD.US,D,20250221,000000,1.71,1.7214,1.45,1.45,849948,0
XHLD.US,D,20250224,000000,1.5,1.54,1.4,1.5,336228,0
XHLD.US,D,20250225,000000,1.44,1.49,1.15,1.22,431990,0
XHLD.US,D,20250226,000000,1.22,1.3806,1.18,1.3,260650,0
XHLD.US,D,20250227,000000,1.28,1.32,1.2,1.29,149692,0
XHLD.US,D,20250228,000000,1.24,1.32,1.2,1.32,138599,0
XHLD.US,D,20250303,000000,1.38,1.38,1.16,1.17,148434,0
XHLD.US,D,20250304,000000,1.1,1.1,0.83,0.92,479786,0
XHLD.US,D,20250305,000000,0.8924,1,0.7603,0.825,724427,0
XHLD.US,D,20250306,000000,0.82,0.94,0.6513,0.6993,1089425,0
XHLD.US,D,20250307,000000,0.68,0.78,0.57,0.57,1207621,0
XHLD.US,D,20250310,000000,0.599999,0.6054,0.5121,0.525,1774731,0
XHLD.US,D,20250311,000000,0.5215,0.57,0.483,0.51,735803,0
XHLD.US,D,20250312,000000,0.504,0.549,0.461,0.51,1463824,0
XHLD.US,D,20250313,000000,0.54,0.55,0.46,0.4833,1384059,0
XHLD.US,D,20250314,000000,0.465,0.509,0.4501,0.4639,1122785,0
XHLD.US,D,20250317,000000,0.46,0.499,0.453,0.496,656118,0
XHLD.US,D,20250318,000000,0.4811,0.649,0.461,0.5852,4792572,0
XHLD.US,D,20250319,000000,0.7132,1.74,0.7038,1.59,216405104,0
XHLD.US,D,20250320,000000,1.56,1.59,0.95,0.9974,15300278,0
XHLD.US,D,20250321,000000,1.13,1.88,1.08,1.4,58662135,0
XHLD.US,D,20250324,000000,2.535,2.6106,1.92,2.15,107748275,0
