<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFTY.US,D,20150603,000000,16.367,16.426,16.361,16.367,90110,0
AFTY.US,D,20150604,000000,16.77,16.959,16.642,16.642,48244,0
AFTY.US,D,20150605,000000,16.707,16.872,16.642,16.642,70701,0
AFTY.US,D,20150608,000000,17.758,17.852,17.47,17.766,128373,0
AFTY.US,D,20150609,000000,17.305,17.319,17.089,17.241,60632,0
AFTY.US,D,20150610,000000,17.168,17.254,17.067,17.14,117505,0
AFTY.US,D,20150611,000000,16.879,17.045,16.879,16.966,218552,0
AFTY.US,D,20150612,000000,17.102,17.132,17.053,17.089,504481,0
AFTY.US,D,20150615,000000,16.461,16.662,16.367,16.453,91220,0
AFTY.US,D,20150616,000000,16.187,16.187,15.986,16.114,152495,0
AFTY.US,D,20150617,000000,16.237,16.302,16.114,16.215,213492,0
AFTY.US,D,20150618,000000,15.697,15.79,15.589,15.755,58918,0
AFTY.US,D,20150619,000000,14.909,15.053,14.896,14.968,219315,0
AFTY.US,D,20150622,000000,15.148,15.184,15.053,15.053,34797,0
AFTY.US,D,20150623,000000,15.458,15.524,15.4,15.494,31595,0
AFTY.US,D,20150624,000000,15.905,16.012,15.755,15.79,247041,0
AFTY.US,D,20150625,000000,15.249,15.422,15.17,15.17,153465,0
AFTY.US,D,20150626,000000,14.211,14.419,13.813,13.85,85122,0
AFTY.US,D,20150629,000000,14.059,14.348,13.857,14.044,216958,0
AFTY.US,D,20150630,000000,15.264,15.264,14.902,14.954,140005,0
AFTY.US,D,20150701,000000,14.412,14.463,14.239,14.412,174537,0
AFTY.US,D,20150702,000000,14.261,14.297,14.167,14.261,42975,0
AFTY.US,D,20150706,000000,14.443,14.521,14.354,14.427,303187,0
AFTY.US,D,20150707,000000,14.269,14.29,13.705,14.282,517373,0
AFTY.US,D,20150708,000000,12.847,13.05,12.572,12.63,570192,0
AFTY.US,D,20150709,000000,14.419,14.909,13.259,14.909,985947,0
AFTY.US,D,20150710,000000,15.617,15.617,15.018,15.5,1182943,0
AFTY.US,D,20150713,000000,14.889,14.954,14.751,14.917,705217,0
AFTY.US,D,20150714,000000,14.542,14.542,14.377,14.434,85746,0
AFTY.US,D,20150715,000000,14.282,14.362,14.153,14.174,189807,0
AFTY.US,D,20150716,000000,14.412,14.729,14.412,14.722,210026,0
AFTY.US,D,20150717,000000,15.011,15.011,14.758,14.896,76108,0
AFTY.US,D,20150720,000000,14.499,14.628,14.443,14.448,46025,0
AFTY.US,D,20150721,000000,14.427,14.521,14.404,14.404,69454,0
AFTY.US,D,20150722,000000,14.339,14.39,14.275,14.334,102586,0
AFTY.US,D,20150723,000000,14.679,14.716,14.534,14.571,158040,0
