<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHOY.US,D,20220608,000000,20.37,20.37,19.9404,19.9404,3777,0
AHOY.US,D,20220609,000000,19.71,19.71,19.5799,19.5799,302,0
AHOY.US,D,20220610,000000,19.5,19.5,19.09,19.1403,2169,0
AHOY.US,D,20220613,000000,19.26,19.26,18.46,18.5287,2792,0
AHOY.US,D,20220614,000000,18.51,18.51,18.39,18.4,11074,0
AHOY.US,D,20220615,000000,18.68,18.985,18.5,18.985,8454,0
AHOY.US,D,20220616,000000,18.78,18.78,18.0689,18.0689,1013,0
AHOY.US,D,20220617,000000,18.1963,18.1963,18.1963,18.1963,63,0
AHOY.US,D,20220621,000000,18.5804,18.5804,18.5804,18.5804,20,0
AHOY.US,D,20220622,000000,18.71,18.71,18.6001,18.6001,2305,0
AHOY.US,D,20220623,000000,18.67,18.97,18.67,18.95,37311,0
AHOY.US,D,20220624,000000,19.1701,19.41,19.1701,19.3565,4256,0
AHOY.US,D,20220627,000000,19.37,19.37,19.3549,19.3549,1226,0
AHOY.US,D,20220628,000000,19.2001,19.2001,18.9952,18.9952,741,0
AHOY.US,D,20220629,000000,19.044,19.044,19.0212,19.0212,127,0
AHOY.US,D,20220630,000000,18.99,18.99,18.8893,18.8893,225,0
AHOY.US,D,20220701,000000,19.0823,19.0823,19.0823,19.0823,12,0
AHOY.US,D,20220705,000000,19.17,19.17,19.0814,19.0814,189,0
AHOY.US,D,20220706,000000,19.1957,19.28,19.1957,19.2619,20702,0
AHOY.US,D,20220707,000000,19.253,19.406,19.253,19.406,635,0
AHOY.US,D,20220708,000000,19.46,19.46,19.4194,19.4194,516,0
AHOY.US,D,20220711,000000,19.2224,19.2224,19.2224,19.2224,41,0
AHOY.US,D,20220712,000000,19.11,19.11,19.0421,19.0421,17600,0
AHOY.US,D,20220713,000000,18.89,19.04,18.89,18.9329,1611,0
AHOY.US,D,20220714,000000,18.8375,18.8375,18.8375,18.8375,47,0
AHOY.US,D,20220715,000000,19.13,19.13,19.1048,19.1048,100,0
AHOY.US,D,20220718,000000,18.9138,18.9138,18.9138,18.9138,70,0
AHOY.US,D,20220719,000000,19.4091,19.4091,19.4091,19.4091,29,0
AHOY.US,D,20220720,000000,19.4687,19.4687,19.4687,19.4687,51,0
AHOY.US,D,20220721,000000,19.54,19.7496,19.54,19.7496,133,0
AHOY.US,D,20220722,000000,19.64,19.64,19.6216,19.6216,137,0
AHOY.US,D,20220725,000000,19.61,19.6527,19.61,19.6527,156,0
AHOY.US,D,20220726,000000,19.5321,19.5321,19.5321,19.5321,2,0
AHOY.US,D,20220727,000000,19.95,19.95,19.9133,19.9133,129,0
AHOY.US,D,20220728,000000,20.1797,20.1797,20.1797,20.1797,10,0
AHOY.US,D,20220729,000000,20.3815,20.3815,20.3815,20.3815,5,0
AHOY.US,D,20220801,000000,20.358,20.358,20.358,20.358,12,0
AHOY.US,D,20220802,000000,20.2015,20.2015,20.2015,20.2015,126,0
