<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMNA.US,D,20200629,000000,20.523,20.7192,20.5142,20.5492,21162.79661721,0
AMNA.US,D,20200630,000000,20.4181,21.0803,20.3307,21.0803,28937.284507779,0
AMNA.US,D,20200702,000000,21.1571,21.1755,20.9298,20.9638,6809.4997923495,0
AMNA.US,D,20200706,000000,21.3687,21.4581,20.4259,20.5842,66159.872377544,0
AMNA.US,D,20200707,000000,20.356,20.8133,20.2327,20.4444,86300.008182019,0
AMNA.US,D,20200708,000000,22.4096,22.4096,20.3734,20.4512,1848.6164741784,0
AMNA.US,D,20200714,000000,20.1627,20.32,20.154,20.32,456.23236660781,0
AMNA.US,D,20200715,000000,20.7434,21.0697,20.7434,21.0697,112.25581932337,0
AMNA.US,D,20200716,000000,20.7803,21.0425,20.7803,21.0425,338.8271977742,0
AMNA.US,D,20200721,000000,21.3775,21.3775,21.3775,21.3775,1.0298699020492,0
AMNA.US,D,20200722,000000,21.1755,21.1833,21.1755,21.1833,230.69085805903,0
AMNA.US,D,20200723,000000,20.9376,21.0172,20.9201,21.0172,1174.0516883361,0
AMNA.US,D,20200724,000000,20.9298,20.9298,20.8609,20.8609,228.63111825493,0
AMNA.US,D,20200727,000000,20.621,20.6734,20.6114,20.6608,3292.4940768514,0
AMNA.US,D,20200728,000000,20.7346,20.7609,20.6434,20.6434,6694.15436332,0
AMNA.US,D,20200729,000000,20.6997,21.3075,20.655,21.2989,17136.005300198,0
AMNA.US,D,20200730,000000,20.7434,20.9997,20.7269,20.9463,76144.461077911,0
AMNA.US,D,20200731,000000,20.6648,20.8318,20.4978,20.8318,8057.7021136332,0
AMNA.US,D,20200803,000000,21.0997,21.0997,20.9978,20.9978,170.95840374017,0
AMNA.US,D,20200804,000000,21.3522,21.828,21.2551,21.828,4417.1120098891,0
AMNA.US,D,20200806,000000,22.0134,22.0134,21.9882,21.9882,170.95840374017,0
AMNA.US,D,20200807,000000,21.8115,21.894,21.7396,21.894,2042.2320157636,0
AMNA.US,D,20200810,000000,22.2057,22.4271,22.0746,22.4096,16227.66004659,0
AMNA.US,D,20200811,000000,22.6913,22.7533,22.329,22.329,27694.231536005,0
AMNA.US,D,20200812,000000,22.6029,22.7359,22.4795,22.6291,42327.652974223,0
AMNA.US,D,20200813,000000,22.5591,22.5591,22.2776,22.4019,17247.231249619,0
AMNA.US,D,20200814,000000,22.5863,22.5863,22.5145,22.5145,112.25581932337,0
AMNA.US,D,20200817,000000,22.6203,22.6203,22.6029,22.6115,1701.3450781853,0
AMNA.US,D,20200818,000000,22.5679,22.5679,22.2552,22.2552,1135.9465019603,0
AMNA.US,D,20200819,000000,22.2863,22.2863,22.1048,22.1048,566.42844612708,0
AMNA.US,D,20200820,000000,22.0387,22.1533,21.9328,22.0484,11348.136450681,0
AMNA.US,D,20200821,000000,21.8115,21.9494,21.8018,21.9494,1590.119128764,0
AMNA.US,D,20200824,000000,21.996,21.996,21.996,21.996,42.224665984018,0
AMNA.US,D,20200825,000000,21.8902,21.8902,21.5988,21.7824,4878.4937260072,0
AMNA.US,D,20200826,000000,21.6086,21.6163,21.2279,21.2949,7036.0711708003,0
AMNA.US,D,20200827,000000,21.4143,21.46,21.2377,21.46,9418.1602542402,0
AMNA.US,D,20200828,000000,21.4755,21.7222,21.4056,21.6833,4425.3509691055,0
AMNA.US,D,20200831,000000,21.4056,21.4483,21.3337,21.3337,4878.4937260072,0
AMNA.US,D,20200901,000000,21.2027,21.4309,21.2027,21.3347,5106.0949743601,0
AMNA.US,D,20200902,000000,21.528,21.528,21.3445,21.4134,3972.2082122039,0
AMNA.US,D,20200903,000000,21.4581,21.4581,21.0172,21.1007,6694.15436332,0
AMNA.US,D,20200908,000000,20.5764,20.7269,20.4356,20.5346,10172.02502254,0
AMNA.US,D,20200909,000000,20.8056,20.9638,20.7522,20.7978,3972.2082122039,0
AMNA.US,D,20200910,000000,20.69,20.7609,20.356,20.3579,6013.4103580654,0
AMNA.US,D,20200911,000000,20.4793,20.4793,20.2055,20.3132,1590.119128764,0
AMNA.US,D,20200914,000000,20.4259,20.6822,20.4181,20.5774,3081.3707469313,0
AMNA.US,D,20200915,000000,20.6386,20.7609,20.3307,20.3307,2399.5968717747,0
AMNA.US,D,20200916,000000,20.6648,20.9551,20.6648,20.7346,4368.7081244928,0
AMNA.US,D,20200917,000000,20.5696,20.6298,20.4793,20.6152,1590.119128764,0
AMNA.US,D,20200918,000000,20.3307,20.4618,20.2851,20.4006,3292.4940768514,0
AMNA.US,D,20200921,000000,19.7656,19.9589,19.7229,19.9589,4085.4939014293,0
AMNA.US,D,20200922,000000,20.1453,20.1453,19.8801,19.9763,2496.4046425673,0
AMNA.US,D,20200923,000000,19.7471,19.8267,19.1422,19.1422,3176.1187779198,0
AMNA.US,D,20200924,000000,18.8043,19.2538,18.7703,19.1082,2269.8332641165,0
AMNA.US,D,20200925,000000,19.017,19.2412,18.948,19.2412,1701.3450781853,0
AMNA.US,D,20200928,000000,19.5821,19.5821,19.5821,19.5821,1.0298699020492,0
AMNA.US,D,20200929,000000,19.5316,19.5316,19.5316,19.5316,1.0298699020492,0
AMNA.US,D,20200930,000000,19.1296,19.1296,19.1296,19.1296,1.0298699020492,0
AMNA.US,D,20201001,000000,18.8859,18.8859,18.8859,18.8859,1.0298699020492,0
AMNA.US,D,20201002,000000,19.1354,19.1354,19.1354,19.1354,1.0298699020492,0
AMNA.US,D,20201005,000000,19.586,19.586,19.586,19.586,1.0298699020492,0
AMNA.US,D,20201006,000000,19.2432,19.2432,19.2432,19.2432,1.0298699020492,0
AMNA.US,D,20201007,000000,19.4316,19.4316,19.4316,19.4316,1.0298699020492,0
AMNA.US,D,20201008,000000,20.2414,20.3307,20.2414,20.3259,454.17262680371,0
AMNA.US,D,20201009,000000,20.3035,20.3035,20.1404,20.1491,1440.7879929669,0
AMNA.US,D,20201012,000000,20.1219,20.2482,20.1219,20.2482,1107.1101447029,0
AMNA.US,D,20201013,000000,20.1948,20.1948,20.1404,20.1715,666.32582662585,0
AMNA.US,D,20201014,000000,20.5182,20.5182,20.3307,20.3307,666.32582662585,0
AMNA.US,D,20201015,000000,20.2754,20.42,20.2754,20.4055,554.07000730249,0
AMNA.US,D,20201016,000000,20.2666,20.2938,20.0948,20.0948,666.32582662585,0
AMNA.US,D,20201019,000000,19.8181,19.8181,19.8181,19.8181,1.0298699020492,0
AMNA.US,D,20201020,000000,20.0589,20.0589,20.0579,20.0579,110.19607951927,0
AMNA.US,D,20201021,000000,19.8793,19.8869,19.8345,19.8345,1219.3659640263,0
AMNA.US,D,20201022,000000,20.4385,20.5114,20.42,20.5074,1331.6217833497,0
AMNA.US,D,20201023,000000,20.2123,20.3288,20.2123,20.3288,1107.1101447029,0
AMNA.US,D,20201026,000000,19.7801,19.7801,19.5811,19.7724,1440.7879929669,0
AMNA.US,D,20201027,000000,19.6267,19.7423,19.5899,19.619,1552.0139423882,0
AMNA.US,D,20201028,000000,19.2733,19.2733,19.0024,19.0024,1329.5620435456,0
AMNA.US,D,20201029,000000,19.0306,19.249,19.0306,19.249,6759.0361671491,0
AMNA.US,D,20201030,000000,18.9034,19.1334,18.9034,19.1334,222.45189884263,0
AMNA.US,D,20201102,000000,19.148,19.148,19.0402,19.0402,110.19607951927,0
