<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMND.US,D,20200723,000000,21.5558,21.7103,21.4707,21.5838,1163.6933140483,0
AMND.US,D,20200724,000000,21.634,21.634,21.4351,21.4563,705.04906304886,0
AMND.US,D,20200727,000000,21.1791,21.2023,21.1791,21.2023,116.99052000664,0
AMND.US,D,20200729,000000,21.4022,21.8532,21.4022,21.8532,3498.3271424994,0
AMND.US,D,20200730,000000,21.5471,21.5471,21.3761,21.5046,19795.210110858,0
AMND.US,D,20200731,000000,21.324,21.325,21.324,21.325,116.99052000664,0
AMND.US,D,20200804,000000,21.917,22.3536,21.917,22.3536,1163.6933140483,0
AMND.US,D,20200805,000000,22.6366,22.6366,22.6366,22.6366,1.0353143363419,0
AMND.US,D,20200807,000000,22.4492,22.5313,22.4492,22.5313,116.99052000664,0
AMND.US,D,20200810,000000,23.1109,23.1109,23.0761,23.079,236.05166868596,0
AMND.US,D,20200811,000000,23.0596,23.0596,22.993,22.993,116.99052000664,0
AMND.US,D,20200812,000000,23.3176,23.3176,23.2741,23.3098,232.94572567694,0
AMND.US,D,20200817,000000,23.2702,23.2702,23.2702,23.2702,2.0706286726839,0
AMND.US,D,20200818,000000,22.8617,22.8675,22.8617,22.8675,1164.7286283847,0
AMND.US,D,20200819,000000,22.8617,22.8713,22.7245,22.7245,581.84665702417,0
AMND.US,D,20200821,000000,22.5361,22.5719,22.5361,22.5719,1182.3289721025,0
AMND.US,D,20200824,000000,22.6984,22.6984,22.5603,22.5835,933.85353138043,0
AMND.US,D,20200825,000000,22.3787,22.3787,22.3787,22.3787,1.0353143363419,0
AMND.US,D,20200827,000000,21.9943,22.002,21.9943,22.002,116.99052000664,0
AMND.US,D,20200828,000000,22.2609,22.2831,22.2609,22.2831,116.99052000664,0
AMND.US,D,20200831,000000,22.0541,22.0541,21.9093,21.9093,581.84665702417,0
AMND.US,D,20200901,000000,21.7876,21.7876,21.7857,21.7857,116.99052000664,0
AMND.US,D,20200903,000000,21.5094,21.5094,21.5094,21.5094,3.1059430090258,0
AMND.US,D,20200908,000000,20.9212,20.9966,20.9212,20.9966,798.22735331963,0
AMND.US,D,20200910,000000,20.8865,20.8865,20.8033,20.8033,116.99052000664,0
AMND.US,D,20200911,000000,20.7492,20.7492,20.671,20.7164,232.94572567694,0
