<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKC.US,D,20231116,000000,24.93,24.95,24.4329,24.4329,4056,0
ARKC.US,D,20231117,000000,24.69,25,24.69,24.77,672,0
ARKC.US,D,20231120,000000,25.23,25.4338,25.23,25.4338,3301,0
ARKC.US,D,20231121,000000,24.96,25.36,24.96,25.0227,806,0
ARKC.US,D,20231122,000000,24.85,25.45,24.8342,25.45,1663,0
ARKC.US,D,20231124,000000,25.79,25.94,25.6279,25.6279,424,0
ARKC.US,D,20231127,000000,24.81,24.98,24.81,24.8148,342,0
ARKC.US,D,20231128,000000,25.28,25.838,25.28,25.838,726,0
ARKC.US,D,20231129,000000,25.4498,25.46,25.3129,25.3129,796,0
ARKC.US,D,20231130,000000,25.37,25.46,25.3672,25.3672,6984,0
ARKC.US,D,20231201,000000,25.85,26.07,25.85,26.0317,2273,0
ARKC.US,D,20231204,000000,27.77,27.95,27.601,27.9188,7618,0
ARKC.US,D,20231205,000000,28.17,29.0685,28.17,29.0685,1581,0
ARKC.US,D,20231206,000000,29.54,29.54,29.0458,29.0458,2449,0
ARKC.US,D,20231207,000000,28.84,29.02,28.71,28.7489,1286,0
ARKC.US,D,20231208,000000,29.1507,29.4543,29.1507,29.4543,553,0
ARKC.US,D,20231211,000000,27.81,27.81,27.0702,27.1025,1581,0
ARKC.US,D,20231212,000000,27.539,27.539,27.3905,27.3905,223,0
ARKC.US,D,20231213,000000,27.77,28.4,27.77,28.4,3607,0
ARKC.US,D,20231214,000000,28.1548,28.64,28.09,28.3821,1045,0
ARKC.US,D,20231215,000000,27.94,27.95,27.8,27.9301,2153,0
ARKC.US,D,20231218,000000,27.69,27.7989,27.45,27.7989,1210,0
ARKC.US,D,20231219,000000,28.01,28.0601,27.92,27.9252,3698,0
ARKC.US,D,20231220,000000,29.07,29.17,28.7394,28.7394,1602,0
ARKC.US,D,20231221,000000,28.862,28.862,28.862,28.862,146,0
ARKC.US,D,20231222,000000,28.7,28.8724,28.7,28.8672,887,0
ARKC.US,D,20231226,000000,28.2,28.2,27.7501,27.9073,2083,0
ARKC.US,D,20231227,000000,28.32,28.7431,28.32,28.7431,1253,0
ARKC.US,D,20231228,000000,28.18,28.18,27.9,27.9636,6061,0
ARKC.US,D,20231229,000000,28.1608,28.1608,27.5711,27.6978,2828,0
ARKC.US,D,20240102,000000,29.4156,29.4156,29.4156,29.4156,286,0
ARKC.US,D,20240103,000000,27.7783,28.0856,27.7783,28.0856,428,0
ARKC.US,D,20240104,000000,28.671,29.38,28.671,28.9799,2594,0
ARKC.US,D,20240105,000000,28.73,28.97,28.49,28.8123,3883,0
ARKC.US,D,20240108,000000,29.53,30.65,29.3198,30.62,2265,0
ARKC.US,D,20240109,000000,30.42,30.5599,30.4107,30.4107,2897,0
ARKC.US,D,20240110,000000,29.62,30.2993,29.2402,29.867,7204,0
ARKC.US,D,20240111,000000,31.19,31.83,29.8124,30.0584,19848,0
ARKC.US,D,20240112,000000,30.1,30.1,28.3497,28.4849,3443,0
ARKC.US,D,20240116,000000,28.06,28.38,27.58,28.15,12666,0
ARKC.US,D,20240117,000000,28.05,28.05,27.885,27.885,792,0
ARKC.US,D,20240118,000000,28.02,28.02,26.73,26.8454,1587,0
ARKC.US,D,20240119,000000,27.07,27.39,26.9935,27.35,2988,0
ARKC.US,D,20240122,000000,26.605,26.605,26.31,26.3331,1596,0
ARKC.US,D,20240123,000000,25.72,25.9267,25.72,25.79,1572,0
ARKC.US,D,20240124,000000,26.34,26.34,25.978,25.978,1931,0
ARKC.US,D,20240125,000000,26.09,26.09,26.04,26.04,3718,0
ARKC.US,D,20240126,000000,27.46,27.46,27.3785,27.4245,433,0
ARKC.US,D,20240129,000000,27.671,28.1214,27.67,28.1214,1604,0
ARKC.US,D,20240130,000000,28.269,28.3782,28.23,28.3782,1018,0
ARKC.US,D,20240131,000000,28.02,28.02,27.7837,27.7837,333,0
ARKC.US,D,20240201,000000,28,28,27.88,27.9777,553,0
ARKC.US,D,20240202,000000,27.92,28,27.92,27.9487,337,0
ARKC.US,D,20240205,000000,28.19,28.19,27.577,27.577,334,0
ARKC.US,D,20240206,000000,28.0443,28.0443,28.0443,28.0443,156,0
ARKC.US,D,20240207,000000,27.91,28.6761,27.91,28.6761,556,0
ARKC.US,D,20240208,000000,29.1706,29.4801,29.1706,29.4801,1064,0
ARKC.US,D,20240209,000000,30.55,30.73,30.415,30.7134,1559,0
ARKC.US,D,20240212,000000,31.4,32.2684,31.4,32.2684,6593,0
ARKC.US,D,20240213,000000,31.56,31.7839,31.29,31.7839,858,0
ARKC.US,D,20240214,000000,33.1,33.1793,33.1,33.1793,889,0
ARKC.US,D,20240215,000000,33.62,33.79,33.11,33.14,4209,0
ARKC.US,D,20240216,000000,33.45,33.6,33.11,33.2034,7148,0
ARKC.US,D,20240220,000000,33.55,33.55,33.2851,33.2851,401,0
ARKC.US,D,20240221,000000,32.5605,32.5605,32.5605,32.5605,48,0
ARKC.US,D,20240222,000000,32.97,33.2071,32.97,33.2071,302,0
ARKC.US,D,20240223,000000,32.63,32.6521,32.5519,32.6521,719,0
ARKC.US,D,20240226,000000,32.77,34.7552,32.77,34.7552,3618,0
ARKC.US,D,20240227,000000,36.075,36.3189,36.075,36.12,715,0
ARKC.US,D,20240228,000000,38.12,38.95,38.0641,38.0641,4013,0
ARKC.US,D,20240229,000000,39.86,39.9797,38.1901,39.1502,4794,0
ARKC.US,D,20240301,000000,38.91,39.64,38.91,39.64,1135,0
ARKC.US,D,20240304,000000,41.05,42.38,41.05,42.38,2095,0
ARKC.US,D,20240305,000000,42.18,43.25,38,38.9809,3133,0
ARKC.US,D,20240306,000000,41.62,42.1594,41.62,42.0897,967,0
ARKC.US,D,20240307,000000,42.3617,42.3617,42.3617,42.3617,301,0
ARKC.US,D,20240308,000000,43.47,43.47,42.52,43.0513,751,0
ARKC.US,D,20240311,000000,44.59,44.799,44.329,44.5035,3127,0
ARKC.US,D,20240312,000000,44.3928,44.3928,43.19,44.0952,5482,0
ARKC.US,D,20240313,000000,44.7621,45.17,44.71,45.17,2352,0
ARKC.US,D,20240314,000000,43.96,43.96,43.057,43.057,228,0
ARKC.US,D,20240315,000000,42.34,42.8599,42.34,42.7827,6052,0
ARKC.US,D,20240318,000000,42.04,42.0654,41.78,41.8621,2967,0
ARKC.US,D,20240319,000000,39.6711,41.08,39.6711,40.6395,3070,0
ARKC.US,D,20240320,000000,40.26,41.3888,39.55,41.33,1708,0
ARKC.US,D,20240321,000000,42.24,42.24,40.91,40.92,1922,0
ARKC.US,D,20240322,000000,40.07,40.38,39.88,40.3,2447,0
ARKC.US,D,20240325,000000,41.8,43.75,41.8,43.71,48656,0
ARKC.US,D,20240326,000000,43.55,43.55,42.9235,42.9235,496,0
ARKC.US,D,20240327,000000,44.14,44.14,42.35,42.35,817,0
ARKC.US,D,20240328,000000,43.7215,43.7215,43.47,43.47,3824,0
ARKC.US,D,20240401,000000,42.88,42.88,42.88,42.88,204,0
ARKC.US,D,20240402,000000,40.915,40.96,40.821,40.96,1446,0
ARKC.US,D,20240403,000000,40.92,40.92,40.92,40.92,232,0
ARKC.US,D,20240404,000000,42.193,42.193,42.193,42.193,550,0
ARKC.US,D,20240405,000000,41.75,41.9,41.66,41.66,978,0
ARKC.US,D,20240408,000000,43.7887,43.7887,43.7887,43.7887,235,0
ARKC.US,D,20240409,000000,43.2794,43.2794,42.14,42.4158,2419,0
ARKC.US,D,20240410,000000,42.3227,42.9217,42.3227,42.9217,545,0
ARKC.US,D,20240411,000000,42.92,43.1,42.92,43.1,551,0
ARKC.US,D,20240412,000000,42.24,42.24,40.99,41.43,2292,0
ARKC.US,D,20240415,000000,40.59,40.59,39.41,39.6,1567,0
ARKC.US,D,20240416,000000,39.3084,39.3084,39.3084,39.3084,97,0
ARKC.US,D,20240417,000000,38.37,38.44,37.87,38.44,1927,0
ARKC.US,D,20240418,000000,39.145,39.6234,39.145,39.6234,248,0
ARKC.US,D,20240419,000000,39.7643,39.7643,39.7643,39.7643,955,0
ARKC.US,D,20240422,000000,41.01,41.22,40.7619,41.1734,1277,0
ARKC.US,D,20240423,000000,41.2213,41.2213,41.1041,41.1041,226,0
ARKC.US,D,20240424,000000,39.8654,39.8654,39.8654,39.8654,47,0
ARKC.US,D,20240425,000000,40.162,40.162,40.162,40.162,38,0
ARKC.US,D,20240426,000000,39.73,39.73,39.73,39.73,145,0
ARKC.US,D,20240429,000000,39.3317,39.3317,39.3018,39.3018,284,0
ARKC.US,D,20240430,000000,38.489,38.489,37.4307,37.4307,812,0
ARKC.US,D,20240501,000000,36.501,36.501,36.4118,36.4118,550,0
ARKC.US,D,20240502,000000,37.532,37.532,37.532,37.532,107,0
ARKC.US,D,20240503,000000,38.8739,38.8739,38.8739,38.8739,167,0
ARKC.US,D,20240506,000000,39.8,39.8022,39.4016,39.4016,2490,0
ARKC.US,D,20240507,000000,39.789,39.789,39.308,39.308,406,0
ARKC.US,D,20240508,000000,38.9235,38.9235,38.9235,38.9235,18,0
ARKC.US,D,20240509,000000,39.0502,39.0502,39.0502,39.0502,23,0
ARKC.US,D,20240510,000000,38.1799,38.1799,38.1799,38.1799,139,0
ARKC.US,D,20240513,000000,39.3,39.3773,39.3,39.3773,203,0
ARKC.US,D,20240514,000000,38.77,38.77,38.5779,38.5779,250,0
ARKC.US,D,20240515,000000,40.43,40.8328,40.43,40.8328,347,0
ARKC.US,D,20240516,000000,40.381,40.47,40.38,40.388,561,0
