<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARP.US,D,20230120,000000,25.6472,25.6472,25.64,25.6472,132,0
ARP.US,D,20230123,000000,25.65,25.74,25.65,25.74,790,0
ARP.US,D,20230124,000000,25.73,25.76,25.7,25.7,9251,0
ARP.US,D,20230125,000000,25.71,25.71,25.7089,25.7089,494,0
ARP.US,D,20230126,000000,25.74,25.74,25.7128,25.7128,3651,0
ARP.US,D,20230127,000000,25.6814,25.6814,25.6814,25.6814,10,0
ARP.US,D,20230130,000000,25.6,25.6,25.5903,25.5903,1842,0
ARP.US,D,20230131,000000,25.6451,25.6538,25.64,25.6538,12797,0
ARP.US,D,20230201,000000,25.59,25.6884,25.59,25.6884,6960,0
ARP.US,D,20230202,000000,25.56,25.56,25.4715,25.4829,4782,0
ARP.US,D,20230203,000000,25.2,25.2,25.196,25.196,100,0
ARP.US,D,20230206,000000,25.116,25.13,25.1152,25.1157,4481,0
ARP.US,D,20230207,000000,25.16,25.1899,25.1399,25.1399,638,0
ARP.US,D,20230208,000000,25.17,25.17,25.14,25.14,308,0
ARP.US,D,20230209,000000,25.0795,25.0795,25.0795,25.0795,89,0
ARP.US,D,20230210,000000,25.0483,25.0483,25.0483,25.0483,9,0
ARP.US,D,20230213,000000,25.075,25.0814,25.075,25.0814,321,0
ARP.US,D,20230214,000000,25.075,25.0756,25.075,25.0756,9,0
ARP.US,D,20230215,000000,24.9627,24.9627,24.9627,24.9627,149,0
ARP.US,D,20230216,000000,24.9217,24.9217,24.9217,24.9217,60,0
ARP.US,D,20230217,000000,24.9,24.9,24.9,24.9,32,0
ARP.US,D,20230221,000000,24.78,24.84,24.7501,24.81,4770,0
ARP.US,D,20230222,000000,24.74,24.74,24.7331,24.7331,520,0
ARP.US,D,20230223,000000,24.73,24.7771,24.73,24.7771,2010,0
ARP.US,D,20230224,000000,24.6083,24.6083,24.5901,24.5901,1829,0
ARP.US,D,20230227,000000,24.65,24.7099,24.65,24.6758,6717,0
ARP.US,D,20230228,000000,24.6401,24.6625,24.6401,24.6625,582,0
ARP.US,D,20230301,000000,24.8,24.8,24.74,24.773,9645,0
ARP.US,D,20230302,000000,24.8085,24.8085,24.8085,24.8085,1013,0
ARP.US,D,20230303,000000,24.89,24.89,24.8601,24.8601,867,0
ARP.US,D,20230306,000000,24.86,24.86,24.84,24.84,1568,0
ARP.US,D,20230307,000000,24.8399,24.84,24.8,24.8,3494,0
ARP.US,D,20230308,000000,24.81,24.81,24.81,24.81,8,0
ARP.US,D,20230309,000000,24.82,24.82,24.7703,24.7703,114,0
ARP.US,D,20230310,000000,24.78,24.78,24.7501,24.7501,76081,0
ARP.US,D,20230313,000000,24.69,24.7247,24.69,24.7247,3917,0
ARP.US,D,20230314,000000,24.7323,24.7323,24.7323,24.7323,36,0
ARP.US,D,20230315,000000,24.7045,24.7045,24.7045,24.7045,35,0
ARP.US,D,20230316,000000,24.78,24.78,24.69,24.7345,910,0
ARP.US,D,20230317,000000,24.79,24.79,24.7414,24.7414,349,0
ARP.US,D,20230320,000000,24.7934,24.7934,24.7914,24.7914,225,0
ARP.US,D,20230321,000000,24.795,24.795,24.7901,24.7901,1000,0
ARP.US,D,20230322,000000,24.7778,24.7778,24.7778,24.7778,25,0
ARP.US,D,20230323,000000,24.819,24.819,24.819,24.819,25,0
ARP.US,D,20230324,000000,24.8092,24.8092,24.8092,24.8092,25,0
ARP.US,D,20230327,000000,24.83,24.83,24.83,24.83,25,0
ARP.US,D,20230328,000000,24.8218,24.8218,24.8218,24.8218,97,0
ARP.US,D,20230329,000000,24.895,24.895,24.895,24.895,25,0
ARP.US,D,20230330,000000,24.75,24.95,24.75,24.9259,762,0
ARP.US,D,20230331,000000,24.98,24.98,24.95,24.9691,499,0
ARP.US,D,20230403,000000,25,25.0099,24.9701,24.9951,15069,0
ARP.US,D,20230404,000000,25.0203,25.0308,24.99,25.0308,3685,0
ARP.US,D,20230405,000000,25.0006,25.0006,25.0006,25.0006,11,0
ARP.US,D,20230406,000000,25,25.0155,25,25.0155,342,0
ARP.US,D,20230410,000000,24.98,25.01,24.98,24.9907,835,0
ARP.US,D,20230411,000000,25.02,25.02,25.02,25.02,111,0
ARP.US,D,20230412,000000,25.0655,25.0655,25.0655,25.0655,25,0
ARP.US,D,20230413,000000,25.16,25.2,25.13,25.199,1240,0
ARP.US,D,20230414,000000,25.08,25.08,25.0725,25.0725,146,0
ARP.US,D,20230417,000000,25.09,25.09,25.077,25.077,666,0
ARP.US,D,20230418,000000,25.13,25.13,25.1199,25.1199,394,0
ARP.US,D,20230419,000000,25.0704,25.0704,25.0704,25.0704,17,0
ARP.US,D,20230420,000000,25.0612,25.0612,25.0612,25.0612,106,0
ARP.US,D,20230421,000000,25.05,25.06,25.0399,25.0399,1068,0
ARP.US,D,20230424,000000,25.05,25.05,25.05,25.05,1,0
ARP.US,D,20230425,000000,24.96,24.96,24.96,24.96,1,0
ARP.US,D,20230426,000000,24.96,24.96,24.913,24.913,513,0
ARP.US,D,20230427,000000,24.9501,25.0508,24.95,25.0508,2396,0
ARP.US,D,20230428,000000,25.0812,25.1087,25.0812,25.1087,121,0
ARP.US,D,20230501,000000,25.11,25.15,25.09,25.0953,4091,0
ARP.US,D,20230502,000000,25.09,25.15,25.07,25.15,2300,0
ARP.US,D,20230503,000000,25.26,25.29,25.21,25.2159,12436,0
ARP.US,D,20230504,000000,25.255,25.2552,25.255,25.2552,111,0
ARP.US,D,20230505,000000,25.2892,25.2892,25.2892,25.2892,1,0
ARP.US,D,20230508,000000,25.31,25.31,25.28,25.2802,551,0
ARP.US,D,20230509,000000,25.2949,25.2949,25.2949,25.2949,1,0
