<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BECO.US,D,20210809,000000,25.0212,25.0808,25.0112,25.04,1374.4973616912,0
BECO.US,D,20210810,000000,25.2074,25.2074,25.2074,25.2074,51.2422262034,0
BECO.US,D,20210811,000000,25.3297,25.3297,25.3256,25.3256,683.229682712,0
BECO.US,D,20210812,000000,25.2899,25.2899,25.2194,25.2194,1146.4192176094,0
BECO.US,D,20210813,000000,25.3884,25.3884,25.3209,25.3209,839.9706099224,0
BECO.US,D,20210816,000000,25.2799,25.2799,25.1705,25.2429,1617.646748774,0
BECO.US,D,20210817,000000,24.9614,24.9614,24.8868,24.9483,652.0824471766,0
BECO.US,D,20210818,000000,25.1197,25.1197,24.9744,24.9744,109.5176991406,0
BECO.US,D,20210819,000000,24.7624,24.839,24.7624,24.839,1306.17439342,0
BECO.US,D,20210820,000000,24.9216,25.0403,24.9216,25.0403,461.1800358306,0
BECO.US,D,20210823,000000,25.2302,25.342,25.2302,25.342,799.7806285864,0
BECO.US,D,20210824,000000,25.4093,25.4989,25.4093,25.4569,2235.567711815,0
BECO.US,D,20210825,000000,25.5309,25.5309,25.5309,25.5309,169.8026711446,0
BECO.US,D,20210826,000000,25.469,25.469,25.316,25.316,667.1536901776,0
BECO.US,D,20210827,000000,25.3795,25.5359,25.3795,25.5359,429.0280507618,0
BECO.US,D,20210830,000000,25.6084,25.6084,25.5879,25.5879,291.377364686,0
BECO.US,D,20210831,000000,25.6382,25.6482,25.6029,25.6029,1034.892019402,0
BECO.US,D,20210901,000000,25.7179,25.7975,25.677,25.677,2048.6842986026,0
BECO.US,D,20210902,000000,25.9169,25.9866,25.8716,25.9251,2903.726151526,0
BECO.US,D,20210903,000000,25.9139,25.9666,25.9129,25.9467,1902.9956162596,0
BECO.US,D,20210907,000000,25.9667,25.9667,25.8174,25.8174,1843.715393789,0
BECO.US,D,20210908,000000,25.6472,25.6472,25.5984,25.5984,1124.3147278746,0
BECO.US,D,20210909,000000,25.5745,25.6084,25.5288,25.5387,2877.6026636576,0
BECO.US,D,20210910,000000,25.6283,25.6581,25.469,25.469,1679.9412198448,0
BECO.US,D,20210913,000000,25.5984,25.5984,25.502,25.502,4671.0805807766,0
BECO.US,D,20210914,000000,25.478,25.4889,25.3815,25.3815,798.775879053,0
BECO.US,D,20210915,000000,25.4591,25.5188,25.4591,25.5188,921.3553221278,0
BECO.US,D,20210916,000000,25.3516,25.3516,25.3516,25.3516,801.7901276532,0
BECO.US,D,20210917,000000,25.2998,25.3496,24.9435,25.0311,2340.0616632886,0
BECO.US,D,20210920,000000,24.0856,24.4837,24.0856,24.4837,3040.3720880684,0
BECO.US,D,20210921,000000,24.7922,24.7922,24.6728,24.7027,997.7162866662,0
BECO.US,D,20210922,000000,24.9016,24.9415,24.8517,24.8517,904.27458006,0
BECO.US,D,20210923,000000,25.1232,25.1232,25.1232,25.1232,26.1234878684,0
BECO.US,D,20210924,000000,24.8818,24.8818,24.8158,24.8158,308.4581067538,0
BECO.US,D,20210927,000000,24.633,24.643,24.633,24.643,725.4291631148,0
BECO.US,D,20210928,000000,24.2448,24.2448,24.0657,24.0657,1654.8224815098,0
BECO.US,D,20210929,000000,23.976,23.9761,23.8167,23.8167,874.132094058,0
BECO.US,D,20210930,000000,23.7522,23.7522,23.7288,23.7288,274.2966226182,0
BECO.US,D,20211001,000000,23.8503,23.8503,23.8503,23.8503,33.1567346022,0
BECO.US,D,20211004,000000,23.7472,23.7472,23.578,23.578,641.0302023092,0
BECO.US,D,20211005,000000,23.7671,23.787,23.7076,23.7076,398.8855647598,0
BECO.US,D,20211006,000000,23.6546,23.6546,23.6546,23.6546,7.0332467338,0
BECO.US,D,20211007,000000,23.8567,23.8567,23.8567,23.8567,263.2443777508,0
BECO.US,D,20211008,000000,23.6974,23.7373,23.6974,23.7373,397.8808152264,0
BECO.US,D,20211011,000000,23.588,23.588,23.4984,23.4984,649.0681985764,0
BECO.US,D,20211012,000000,23.6138,23.6138,23.5681,23.5681,324.5340992882,0
BECO.US,D,20211013,000000,23.7472,23.8749,23.7472,23.8749,1012.7875296672,0
BECO.US,D,20211014,000000,24.2286,24.2286,24.2286,24.2286,54.2564748036,0
BECO.US,D,20211015,000000,24.3842,24.3842,24.3046,24.3543,602.84972004,0
BECO.US,D,20211018,000000,24.2249,24.3643,24.2249,24.3127,6084.7631742704,0
BECO.US,D,20211019,000000,24.5534,24.5534,24.5414,24.5414,126.5984412084,0
BECO.US,D,20211020,000000,24.7713,24.7713,24.7333,24.7333,641.0302023092,0
BECO.US,D,20211021,000000,24.6529,24.7041,24.6529,24.7041,438.0707965624,0
BECO.US,D,20211022,000000,24.7823,24.7823,24.7823,24.7823,286.353617019,0
BECO.US,D,20211025,000000,24.7425,24.795,24.7425,24.7562,2466.660104497,0
BECO.US,D,20211026,000000,24.9017,24.9017,24.738,24.738,270.2776244846,0
BECO.US,D,20211027,000000,24.8948,24.8948,24.6828,24.6828,2646.5102709756,0
BECO.US,D,20211028,000000,25.1356,25.2007,25.1356,25.2007,369.7478282912,0
BECO.US,D,20211029,000000,25.0112,25.061,25.0013,25.061,1104.2197372066,0
BECO.US,D,20211101,000000,25.2451,25.3171,25.2451,25.3171,485.2940246322,0
BECO.US,D,20211102,000000,25.479,25.484,25.4335,25.4335,674.1869369114,0
BECO.US,D,20211103,000000,25.6671,25.6671,25.634,25.634,437.066047029,0
BECO.US,D,20211104,000000,25.6462,25.7601,25.6462,25.7601,600.8402209732,0
BECO.US,D,20211105,000000,25.7577,25.7975,25.7079,25.7728,2389.2943904252,0
BECO.US,D,20211108,000000,25.8845,25.8845,25.8845,25.8845,108.5129496072,0
BECO.US,D,20211109,000000,25.9766,25.9766,25.907,25.9412,264.2491272842,0
BECO.US,D,20211110,000000,25.7477,25.7477,25.5974,25.6124,2966.0206225968,0
BECO.US,D,20211111,000000,25.7676,25.8454,25.7676,25.8454,422.9995535614,0
BECO.US,D,20211112,000000,26.0652,26.0752,26.0363,26.0363,347.6433385564,0
BECO.US,D,20211115,000000,26.0662,26.0662,26.0083,26.0083,445.1040432962,0
BECO.US,D,20211116,000000,25.9423,26.0612,25.9423,26.0154,1627.694244108,0
BECO.US,D,20211117,000000,26.0264,26.0264,25.9937,25.9937,708.348421047,0
BECO.US,D,20211118,000000,26.0961,26.0961,25.9866,26.0171,3995.8888943318,0
BECO.US,D,20211119,000000,26.0732,26.0732,25.9931,25.9931,601.8449705066,0
BECO.US,D,20211122,000000,26.0264,26.0816,25.8665,25.8665,1106.2292362734,0
BECO.US,D,20211123,000000,25.5785,25.5785,25.469,25.576,1264.9796625506,0
BECO.US,D,20211124,000000,25.2501,25.3511,25.2501,25.3511,885.1843389254,0
BECO.US,D,20211126,000000,25.2003,25.2003,25.1031,25.1031,437.066047029,0
BECO.US,D,20211129,000000,25.3496,25.3496,25.2406,25.2937,468.2132825644,0
BECO.US,D,20211130,000000,25.2003,25.2003,24.8321,24.8456,1089.1484942056,0
BECO.US,D,20211201,000000,25.2292,25.2292,24.5937,24.5937,335.5863441556,0
BECO.US,D,20211202,000000,24.9515,24.9614,24.8597,24.8597,406.923561027,0
BECO.US,D,20211203,000000,24.6339,24.6339,24.6339,24.6339,54.2564748036,0
BECO.US,D,20211206,000000,24.8659,24.9017,24.859,24.859,807.8186248536,0
BECO.US,D,20211207,000000,25.4193,25.4541,25.4193,25.4237,447.113542363,0
BECO.US,D,20211208,000000,25.5278,25.5586,25.5165,25.5165,468.2132825644,0
BECO.US,D,20211209,000000,25.3406,25.3406,25.2446,25.2446,253.1968824168,0
BECO.US,D,20211210,000000,25.3098,25.3197,25.2998,25.2998,420.9900544946,0
BECO.US,D,20211213,000000,25.0809,25.1207,24.9994,24.9994,1465.9295692306,0
BECO.US,D,20211214,000000,24.7534,24.7534,24.5744,24.6024,961.5453034638,0
BECO.US,D,20211215,000000,24.7216,24.9654,24.7216,24.9654,359.7003329572,0
BECO.US,D,20211216,000000,25.0212,25.0898,24.8225,24.8378,1411.673094427,0
BECO.US,D,20211217,000000,24.5932,24.7919,24.5892,24.6124,687.2486808456,0
BECO.US,D,20211220,000000,24.3045,24.3046,24.2251,24.3046,786.7188846522,0
