<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKDV.US,D,20241108,000000,26.06,26.06,26.0584,26.06,3415,0
BKDV.US,D,20241111,000000,26.24,26.24,26.2284,26.2285,235,0
BKDV.US,D,20241112,000000,26.1233,26.1233,25.9701,25.9701,575,0
BKDV.US,D,20241113,000000,26.03,26.03,25.99,26,2116,0
BKDV.US,D,20241114,000000,25.87,25.87,25.78,25.79,1803,0
BKDV.US,D,20241115,000000,25.7689,25.7689,25.67,25.706,672,0
BKDV.US,D,20241119,000000,25.74,25.74,25.7178,25.7178,300,0
BKDV.US,D,20241120,000000,25.74,25.8442,25.74,25.8442,101,0
BKDV.US,D,20241122,000000,26.34,26.36,26.3397,26.3397,39228,0
BKDV.US,D,20241125,000000,26.5599,26.5599,26.4607,26.4607,713,0
BKDV.US,D,20241126,000000,26.32,26.4574,26.32,26.4574,1476,0
BKDV.US,D,20241127,000000,26.42,26.42,26.4197,26.4197,3077,0
BKDV.US,D,20241129,000000,26.55,26.57,26.5291,26.5291,10542,0
BKDV.US,D,20241202,000000,26.439,26.6,26.4197,26.4197,6677,0
BKDV.US,D,20241203,000000,26.32,26.32,26.265,26.2668,10973,0
BKDV.US,D,20241204,000000,26.19,26.2197,26.13,26.1995,7336,0
BKDV.US,D,20241205,000000,26.249,26.249,26.1299,26.1299,6047,0
BKDV.US,D,20241206,000000,26.04,26.04,25.9779,25.9852,11719,0
BKDV.US,D,20241209,000000,25.99,25.99,25.77,25.77,2084,0
BKDV.US,D,20241210,000000,25.56,25.67,25.5392,25.5392,1746,0
BKDV.US,D,20241211,000000,25.57,25.6,25.52,25.5605,13284,0
BKDV.US,D,20241212,000000,25.5812,25.59,25.4803,25.4803,2998,0
BKDV.US,D,20241213,000000,25.43,25.43,25.38,25.39,1002,0
BKDV.US,D,20241216,000000,25.41,25.41,25.22,25.22,2996,0
BKDV.US,D,20241217,000000,25.06,25.06,25.0099,25.0243,1844,0
BKDV.US,D,20241218,000000,25.02,25.054,24.4144,24.4144,1360,0
BKDV.US,D,20241219,000000,24.5082,24.5082,24.3626,24.3626,9306,0
BKDV.US,D,20241220,000000,24.6,24.81,24.5999,24.7251,7795,0
BKDV.US,D,20241223,000000,24.61,24.7361,24.555,24.7361,3893,0
BKDV.US,D,20241224,000000,24.73,24.93,24.73,24.907,16736,0
BKDV.US,D,20241226,000000,24.92,24.9958,24.9199,24.9958,3694,0
BKDV.US,D,20241227,000000,24.8277,24.85,24.7098,24.7856,15781,0
BKDV.US,D,20241230,000000,24.45,24.68,24.45,24.66,19043,0
BKDV.US,D,20241231,000000,24.68,24.71,24.59,24.6222,14016,0
BKDV.US,D,20250102,000000,24.84,24.84,24.62,24.6752,1487,0
BKDV.US,D,20250103,000000,24.78,24.88,24.77,24.8473,3850,0
BKDV.US,D,20250106,000000,25.1,25.1401,24.8683,24.8683,675,0
BKDV.US,D,20250107,000000,25.03,25.05,24.82,24.855,5727,0
BKDV.US,D,20250108,000000,24.78,24.9354,24.78,24.9354,584,0
BKDV.US,D,20250110,000000,24.77,24.79,24.6551,24.6551,3202,0
BKDV.US,D,20250113,000000,24.63,24.8357,24.63,24.8357,4056,0
BKDV.US,D,20250114,000000,24.94,25.0999,24.94,25.0816,2458,0
BKDV.US,D,20250115,000000,25.42,25.5,25.29,25.379,6009,0
BKDV.US,D,20250116,000000,25.41,25.5006,25.34,25.5006,48363,0
BKDV.US,D,20250117,000000,25.66,25.675,25.6486,25.6486,1438,0
BKDV.US,D,20250121,000000,25.85,25.9049,25.85,25.9049,275,0
BKDV.US,D,20250122,000000,25.86,25.92,25.86,25.878,32230,0
BKDV.US,D,20250123,000000,25.89,25.985,25.83,25.985,2715,0
BKDV.US,D,20250124,000000,26.02,26.08,25.9948,25.9948,16051,0
BKDV.US,D,20250127,000000,25.86,25.92,25.8,25.92,773,0
BKDV.US,D,20250128,000000,25.94,25.97,25.8,25.82,1364,0
BKDV.US,D,20250129,000000,25.94,25.95,25.8,25.8,4595,0
BKDV.US,D,20250130,000000,26.07,26.16,26.06,26.07,3848,0
BKDV.US,D,20250131,000000,25.98,26.04,25.8,25.8,6005,0
BKDV.US,D,20250203,000000,25.65,25.78,25.65,25.67,3771,0
BKDV.US,D,20250204,000000,25.72,25.7792,25.71,25.71,17499,0
BKDV.US,D,20250205,000000,25.77,25.926,25.77,25.92,3600,0
BKDV.US,D,20250206,000000,25.95,26.03,25.825,26,148139,0
BKDV.US,D,20250207,000000,25.98,26.02,25.8102,25.83,11422,0
BKDV.US,D,20250210,000000,25.86,25.89,25.81,25.89,10394,0
BKDV.US,D,20250211,000000,25.86,25.95,25.8108,25.94,28069,0
BKDV.US,D,20250212,000000,25.81,25.86,25.81,25.8557,2774,0
BKDV.US,D,20250213,000000,25.96,26.11,25.875,26.11,23635,0
BKDV.US,D,20250214,000000,26.2,26.22,26.16,26.16,38939,0
BKDV.US,D,20250218,000000,26.169,26.3,26.15,26.3,65915,0
BKDV.US,D,20250219,000000,26.21,26.31,26.17,26.31,16118,0
