<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOAT.US,D,20210805,000000,19.4519,19.9801,19.4519,19.7445,6415.9936883402,0
BOAT.US,D,20210806,000000,20.0158,20.0158,19.5232,19.6826,10947.155275272,0
BOAT.US,D,20210809,000000,19.6478,19.6478,19.5408,19.566,2604.7244959935,0
BOAT.US,D,20210810,000000,19.4764,19.8118,19.4519,19.7889,11718.738717454,0
BOAT.US,D,20210811,000000,20.3322,20.4774,20.3322,20.4774,4480.7312965929,0
BOAT.US,D,20210812,000000,20.6019,20.7509,20.6019,20.743,11486.759381896,0
BOAT.US,D,20210813,000000,20.8059,20.8059,20.6725,20.6884,8251.6562566686,0
BOAT.US,D,20210816,000000,20.6964,20.743,20.5559,20.7193,19056.345961734,0
BOAT.US,D,20210817,000000,20.9152,21.181,20.8605,21.0152,26609.542697212,0
BOAT.US,D,20210818,000000,20.9627,21.1342,20.9072,21.0097,19906.096353941,0
BOAT.US,D,20210819,000000,20.4774,20.4774,20.0705,20.2625,10033.106262883,0
BOAT.US,D,20210820,000000,19.7096,19.8667,19.6478,19.8667,10280.214685543,0
BOAT.US,D,20210823,000000,20.3204,20.5321,20.2498,20.5321,14308.334126344,0
BOAT.US,D,20210824,000000,20.7034,21.0556,20.7034,21.0001,18030.089553342,0
BOAT.US,D,20210825,000000,20.9937,21.0794,20.966,21.0437,6422.2974746327,0
BOAT.US,D,20210826,000000,21.165,21.2713,20.9232,21.1144,11986.019256248,0
BOAT.US,D,20210827,000000,21.3767,21.7837,21.3767,21.7837,10164.225017764,0
BOAT.US,D,20210830,000000,22.8718,22.8718,22.0256,22.1201,22297.752873254,0
BOAT.US,D,20210831,000000,21.9869,22.0812,21.909,22.0011,7846.9531767006,0
BOAT.US,D,20210901,000000,22.0495,22.285,22.0495,22.2454,38656.078301868,0
BOAT.US,D,20210902,000000,22.511,24.3734,22.4889,22.5388,24176.28118837,0
BOAT.US,D,20210903,000000,22.5268,22.8633,22.5268,22.7697,13854.461513297,0
BOAT.US,D,20210907,000000,24.7486,24.7486,23.1257,23.4034,34538.445095713,0
BOAT.US,D,20210908,000000,23.1607,23.4263,22.7149,22.8323,21333.273570526,0
BOAT.US,D,20210909,000000,23.0829,23.474,23.0829,23.3558,21039.517129303,0
BOAT.US,D,20210910,000000,23.5129,23.6929,23.3558,23.474,31752.171554499,0
BOAT.US,D,20210913,000000,23.6929,23.8651,23.5169,23.5993,28020.330069436,0
BOAT.US,D,20210914,000000,24.0213,24.0213,23.7088,23.7635,29349.168219861,0
BOAT.US,D,20210915,000000,24.0371,25.0389,23.9745,24.433,68808.348895371,0
BOAT.US,D,20210916,000000,24.6161,24.7186,24.4385,24.5043,78403.972389567,0
BOAT.US,D,20210917,000000,24.6557,24.7416,24.2569,24.287,26469.598641522,0
BOAT.US,D,20210920,000000,24.287,24.287,22.6998,22.9418,67468.16392962,0
BOAT.US,D,20210921,000000,23.271,23.271,22.9886,23.1218,29505.50211991,0
BOAT.US,D,20210922,000000,23.5843,23.8269,23.5843,23.6548,27470.639904744,0
BOAT.US,D,20210923,000000,23.8896,24.0545,23.7644,24.0229,36023.617146188,0
BOAT.US,D,20210924,000000,24.2108,24.2108,23.7135,24.0079,121490.35169768,0
