<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBOJ.US,D,20250205,000000,25.009,25.03,24.98,24.9801,129187,0
CBOJ.US,D,20250206,000000,25,25.01,24.9201,24.9766,73721,0
CBOJ.US,D,20250207,000000,25.0021,25.03,24.9401,24.9663,30916,0
CBOJ.US,D,20250210,000000,25,25,24.9447,24.985,23651,0
CBOJ.US,D,20250211,000000,24.98,24.98,24.92,24.9351,28989,0
CBOJ.US,D,20250212,000000,24.93,24.9594,24.91,24.955,17037,0
CBOJ.US,D,20250213,000000,24.902,24.97,24.9011,24.942,51366,0
CBOJ.US,D,20250214,000000,24.975,25,24.9511,24.98,29394,0
CBOJ.US,D,20250218,000000,24.952,25,24.88,24.92,88106,0
CBOJ.US,D,20250219,000000,24.959,24.98,24.92,24.98,20902,0
