<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNBS.US,D,20190725,000000,23.759,24.075,23.626,23.628,19460,0
CNBS.US,D,20190726,000000,23.631,23.837,23.619,23.759,12601,0
CNBS.US,D,20190729,000000,23.799,23.867,23.159,23.443,13327,0
CNBS.US,D,20190730,000000,23.295,23.728,23.275,23.621,17756,0
CNBS.US,D,20190731,000000,23.669,23.906,23.418,23.529,22403,0
CNBS.US,D,20190801,000000,23.521,23.521,23.077,23.107,15400,0
CNBS.US,D,20190802,000000,23.521,24.293,23.521,24.293,15072,0
CNBS.US,D,20190805,000000,24.075,24.075,23.659,23.839,11878,0
CNBS.US,D,20190806,000000,24.688,24.688,24.035,24.31,7904,0
CNBS.US,D,20190807,000000,24.243,24.331,23.948,24.286,5186,0
CNBS.US,D,20190808,000000,24.53,24.556,24.24,24.463,74023,0
CNBS.US,D,20190809,000000,24.54,24.608,24.085,24.115,7818,0
CNBS.US,D,20190812,000000,24.006,24.006,23.749,23.832,10569,0
CNBS.US,D,20190813,000000,23.937,24.64,23.937,24.639,37703,0
CNBS.US,D,20190814,000000,24.194,24.194,23.341,23.546,26426,0
CNBS.US,D,20190815,000000,23.343,23.343,22.03,22.176,20918,0
CNBS.US,D,20190816,000000,22.414,22.751,22.395,22.673,7358,0
CNBS.US,D,20190819,000000,23.117,23.117,22.49,22.517,6643,0
CNBS.US,D,20190820,000000,22.444,22.692,22.389,22.521,4580,0
CNBS.US,D,20190821,000000,22.721,22.721,22.286,22.372,9044,0
CNBS.US,D,20190822,000000,22.245,22.245,21.778,21.778,6126,0
CNBS.US,D,20190823,000000,21.742,21.755,21.13,21.186,5325,0
CNBS.US,D,20190826,000000,21.377,21.377,20.893,21.006,5184,0
CNBS.US,D,20190827,000000,21.03,21.03,20.034,20.068,7759,0
CNBS.US,D,20190828,000000,19.954,20.552,19.651,20.552,7476,0
CNBS.US,D,20190829,000000,20.833,20.866,20.555,20.555,8290,0
CNBS.US,D,20190830,000000,20.645,20.735,20.287,20.352,6614,0
CNBS.US,D,20190903,000000,20.25,20.701,20.201,20.701,3783,0
CNBS.US,D,20190904,000000,20.695,20.793,20.477,20.702,8307,0
CNBS.US,D,20190905,000000,20.952,21.486,20.919,21.452,24826,0
CNBS.US,D,20190906,000000,21.545,22.117,21.456,21.908,22648,0
CNBS.US,D,20190909,000000,22.128,22.225,21.406,21.406,12803,0
CNBS.US,D,20190910,000000,21.407,21.734,21.095,21.734,20671,0
CNBS.US,D,20190911,000000,21.899,21.97,21.832,21.832,4911,0
CNBS.US,D,20190912,000000,21.528,21.634,21.357,21.363,22154,0
CNBS.US,D,20190913,000000,21.418,21.534,21.289,21.521,4343,0
CNBS.US,D,20190916,000000,21.407,21.407,21.108,21.108,2270,0
CNBS.US,D,20190917,000000,21.169,21.169,20.775,20.891,6626,0
CNBS.US,D,20190918,000000,20.755,20.783,20.438,20.669,4278,0
CNBS.US,D,20190919,000000,20.765,20.765,20.192,20.209,6834,0
CNBS.US,D,20190920,000000,20.26,20.26,19.974,20.042,7774,0
CNBS.US,D,20190923,000000,20.092,20.197,19.845,19.846,3798,0
CNBS.US,D,20190924,000000,19.894,19.894,18.994,19.081,18604,0
CNBS.US,D,20190925,000000,19.074,19.074,18.463,18.896,16046,0
