<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWCR.US,D,20210811,000000,35.6633,35.7021,35.6184,35.7021,967.4797172528,0
DWCR.US,D,20210816,000000,35.467,35.6563,35.467,35.6563,220.794126344,0
DWCR.US,D,20210823,000000,34.9807,34.9807,34.9807,34.9807,155.559498106,0
DWCR.US,D,20210824,000000,35.3833,35.4849,35.3833,35.4849,274.9890482648,0
DWCR.US,D,20210827,000000,35.4331,35.4331,35.4331,35.4331,102.3681858504,0
DWCR.US,D,20210831,000000,36.3259,36.3348,36.2771,36.3348,2435.7606574404,0
DWCR.US,D,20210902,000000,36.5869,36.5869,36.581,36.581,271.9782192692,0
DWCR.US,D,20210907,000000,36.6507,36.6507,36.6507,36.6507,627.25604075,0
DWCR.US,D,20210915,000000,36.1296,36.1296,36.1296,36.1296,1032.7143454908,0
DWCR.US,D,20210917,000000,36.0509,36.0509,36.0509,36.0509,109.3934535068,0
DWCR.US,D,20210920,000000,34.7326,34.7326,34.7326,34.7326,755.7180778956,0
DWCR.US,D,20210927,000000,35.6573,35.6573,35.6085,35.6174,5775.773623226,0
DWCR.US,D,20210928,000000,34.9877,34.9877,34.9877,34.9877,444.5990816836,0
DWCR.US,D,20210929,000000,34.1617,34.1617,34.0112,34.0112,217.7832973484,0
DWCR.US,D,20210930,000000,34.4865,34.4865,34.4467,34.4467,752.7072489,0
DWCR.US,D,20211007,000000,34.5054,34.5254,34.4008,34.4008,6223.3835339052,0
DWCR.US,D,20211008,000000,33.7581,33.9803,33.7581,33.9803,224.8085650048,0
DWCR.US,D,20211011,000000,34.0899,34.1099,33.8757,33.8757,1354.87304802,0
DWCR.US,D,20211018,000000,35.1352,35.1352,35.0973,35.0973,360.2958698068,0
DWCR.US,D,20211019,000000,35.6473,35.6473,35.5706,35.5706,694.4978883184,0
DWCR.US,D,20211020,000000,35.6961,35.8048,35.6961,35.749,643.3137953932,0
DWCR.US,D,20211022,000000,35.9333,35.9333,35.7759,35.8964,896.2234310236,0
DWCR.US,D,20211025,000000,35.7669,35.9233,35.7669,35.8785,581.0899961508,0
DWCR.US,D,20211026,000000,36.1266,36.1595,36.0668,36.0668,296.064851234,0
DWCR.US,D,20211028,000000,36.4544,36.6118,36.4544,36.5521,666.3968176928,0
DWCR.US,D,20211029,000000,35.8048,36.0509,35.7948,35.9313,1724.2014048136,0
DWCR.US,D,20211101,000000,36.2482,36.4444,36.2482,36.3209,950.4183529444,0
DWCR.US,D,20211102,000000,36.4843,36.4843,36.4126,36.4126,232.8374423264,0
DWCR.US,D,20211104,000000,36.6019,36.6896,36.5232,36.6896,2675.6233674232,0
DWCR.US,D,20211105,000000,36.7454,36.7454,36.7254,36.7254,154.5558884408,0
DWCR.US,D,20211109,000000,37.0453,37.0453,37.0443,37.0443,131.4728661412,0
DWCR.US,D,20211111,000000,36.9666,36.9666,36.8141,36.8141,241.8699293132,0
DWCR.US,D,20211115,000000,37.0453,37.0503,37.0453,37.0463,1052.7865387948,0
DWCR.US,D,20211116,000000,37.0453,37.1429,37.0303,37.0303,3376.1429137328,0
