<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDV.US,D,20071213,000000,56.1149,56.1149,55.7877,55.7877,303.50331308674,0
EDV.US,D,20071214,000000,55.2459,55.2459,55.2046,55.2046,1638.3088539197,0
EDV.US,D,20071219,000000,56.5729,57.9561,56.3769,57.4477,7313.5162902674,0
EDV.US,D,20071220,000000,57.765,58.1837,57.765,57.8576,4176.9770346218,0
EDV.US,D,20071221,000000,56.505,56.505,56.4045,56.4045,4922.0319904936,0
EDV.US,D,20071226,000000,55.4587,55.6804,54.7159,54.7159,6270.0333275478,0
EDV.US,D,20071227,000000,55.2597,55.2597,55.2597,55.2597,154.28930966282,0
EDV.US,D,20071228,000000,56.0637,56.7374,56.0637,56.7374,2096.1014766693,0
EDV.US,D,20071231,000000,57.0655,57.3827,57.0655,57.3827,1193.7120273913,0
EDV.US,D,20080102,000000,58.8822,58.8822,58.8822,58.8822,303.50331308674,0
EDV.US,D,20080103,000000,58.3748,58.633,58.032,58.633,3875.5038440307,0
EDV.US,D,20080104,000000,58.8999,58.9146,58.8999,58.9146,445.61188777618,0
EDV.US,D,20080107,000000,58.6073,59.1324,58.5886,59.1324,598.88613619122,0
EDV.US,D,20080108,000000,58.7353,58.7353,58.3876,58.6152,4630.7094123803,0
EDV.US,D,20080109,000000,60.3097,60.3097,59.1107,59.1649,4773.8330483175,0
EDV.US,D,20080110,000000,59.0033,59.0033,57.3088,57.3088,2691.9424291172,0
EDV.US,D,20080111,000000,57.3088,57.3088,57.3088,57.3088,1342.9260308152,0
EDV.US,D,20080114,000000,57.5492,57.6851,57.4557,57.6851,2691.9424291172,0
EDV.US,D,20080115,000000,58.5817,59.1245,58.5817,59.1245,3875.5038440307,0
EDV.US,D,20080116,000000,58.9422,59.1502,58.1216,59.0359,3584.1812659173,0
EDV.US,D,20080117,000000,58.3994,59.492,58.3994,59.4043,5224.5202423326,0
EDV.US,D,20080118,000000,58.7807,58.9501,58.4881,58.9501,4029.7931536935,0
EDV.US,D,20080122,000000,59.0507,59.425,57.6054,59.425,11045.89649836,0
EDV.US,D,20080123,000000,60.0072,60.3363,60.0072,60.1964,4922.0319904936,0
EDV.US,D,20080124,000000,58.5758,58.5758,57.4015,57.4015,7166.332409339,0
EDV.US,D,20080125,000000,57.565,58.2802,57.5434,58.2802,1193.7120273913,0
EDV.US,D,20080128,000000,58.7501,58.8704,58.4319,58.4319,2987.3252522216,0
EDV.US,D,20080129,000000,57.6911,57.6911,56.5444,57.498,3135.5241943978,0
EDV.US,D,20080130,000000,57.1099,57.1099,56.2557,56.2557,5368.6589395176,0
EDV.US,D,20080131,000000,57.6014,57.6014,57.302,57.5434,745.05495587179,0
EDV.US,D,20080201,000000,57.565,57.8438,57.565,57.7818,3875.5038440307,0
EDV.US,D,20080204,000000,57.0252,57.2665,57.0252,57.2665,303.50331308674,0
EDV.US,D,20080205,000000,58.0182,58.0388,57.4477,57.7098,11642.752512056,0
EDV.US,D,20080206,000000,57.0252,57.0252,57.0252,57.0252,154.28930966282,0
EDV.US,D,20080207,000000,58.366,58.366,54.9484,54.9484,11494.553569881,0
EDV.US,D,20080208,000000,55.5464,56.1237,55.5464,56.1237,2236.1799288632,0
EDV.US,D,20080211,000000,56.6852,56.6852,56.303,56.3493,2096.1014766693,0
EDV.US,D,20080212,000000,55.7877,55.7877,55.2046,55.5907,14775.231522711,0
EDV.US,D,20080213,000000,55.0578,55.2637,54.7357,55.2637,4773.8330483175,0
EDV.US,D,20080214,000000,54.307,54.307,53.3199,53.3534,13732.763621239,0
EDV.US,D,20080215,000000,53.3406,53.9731,53.3406,53.7209,1945.8724119976,0
EDV.US,D,20080219,000000,53.2608,53.5288,52.8697,53.1387,14180.405631511,0
EDV.US,D,20080220,000000,52.5377,53.4175,52.5377,53.4175,14033.221750582,0
EDV.US,D,20080221,000000,54.9691,55.0449,54.7001,54.7001,2987.3252522216,0
EDV.US,D,20080222,000000,55.1976,55.5533,54.6066,54.6066,4176.9770346218,0
EDV.US,D,20080225,000000,54.9691,54.9691,52.4333,52.4333,17014.456635317,0
EDV.US,D,20080226,000000,53.5554,53.7652,52.5584,53.2816,4630.7094123803,0
EDV.US,D,20080227,000000,54.0263,54.0263,52.185,53.048,9107.1295150977,0
EDV.US,D,20080228,000000,55.0035,55.0035,55.0035,55.0035,154.28930966282,0
EDV.US,D,20080229,000000,56.0222,56.0222,55.4469,55.5385,3135.5241943978,0
EDV.US,D,20080303,000000,56.6123,56.6123,55.3504,56.5917,1043.4829627196,0
EDV.US,D,20080304,000000,56.5523,56.5523,55.5179,55.5297,1043.4829627196,0
EDV.US,D,20080307,000000,55.907,55.9218,55.0311,55.1424,8507.2283176587,0
EDV.US,D,20080310,000000,55.0449,55.5848,54.3198,55.5848,10297.796358746,0
EDV.US,D,20080311,000000,55.4676,55.4676,55.0912,55.0912,1945.8724119976,0
EDV.US,D,20080312,000000,54.3928,55.6114,54.3928,55.3504,4773.8330483175,0
EDV.US,D,20080313,000000,56.5306,56.5306,56.3227,56.3227,3135.5241943978,0
EDV.US,D,20080314,000000,56.5661,56.6852,56.232,56.232,5669.117068861,0
EDV.US,D,20080317,000000,57.9187,58.5886,57.7453,58.426,4029.7931536935,0
EDV.US,D,20080318,000000,59.6712,59.6712,56.766,58.2123,1789.5529798392,0
EDV.US,D,20080319,000000,58.2467,59.6191,56.8369,59.6191,3727.3049018545,0
EDV.US,D,20080320,000000,59.5127,60.2959,59.3984,60.2959,2096.1014766693,0
EDV.US,D,20080324,000000,60.3156,60.3156,58.4319,58.4319,6719.7054603151,0
EDV.US,D,20080325,000000,58.629,58.6477,57.8724,58.1147,3727.3049018545,0
EDV.US,D,20080326,000000,59.1107,59.1107,58.4959,58.4959,1193.7120273913,0
EDV.US,D,20080327,000000,58.0644,58.0644,57.5088,57.5088,898.32920428683,0
EDV.US,D,20080331,000000,58.8014,59.1462,58.6822,58.6822,1494.1701567347,0
EDV.US,D,20080401,000000,57.8783,57.8783,57.166,57.166,745.05495587179,0
EDV.US,D,20080402,000000,57.2468,57.8142,57.1897,57.6576,3135.5241943978,0
EDV.US,D,20080403,000000,57.7896,58.0644,57.6615,57.6615,1945.8724119976,0
EDV.US,D,20080404,000000,58.5886,58.5886,58.5758,58.5886,445.61188777618,0
EDV.US,D,20080408,000000,58.1275,58.1275,58.1275,58.1275,154.28930966282,0
EDV.US,D,20080409,000000,58.5758,58.5758,58.5157,58.5157,445.61188777618,0
EDV.US,D,20080410,000000,58.3876,58.633,58.1905,58.1905,1043.4829627196,0
EDV.US,D,20080411,000000,58.8742,58.9146,58.8742,58.9146,2236.1799288632,0
EDV.US,D,20080414,000000,60.3895,60.3895,56.9926,58.5413,3875.5038440307,0
EDV.US,D,20080415,000000,57.6054,57.6054,57.2025,57.2025,445.61188777618,0
EDV.US,D,20080416,000000,56.6852,56.7374,56.3857,56.3857,1494.1701567347,0
EDV.US,D,20080417,000000,56.038,56.038,55.306,55.377,3135.5241943978,0
EDV.US,D,20080418,000000,55.2272,55.2637,55.2272,55.2637,445.61188777618,0
EDV.US,D,20080421,000000,55.706,56.4666,55.706,56.303,1043.4829627196,0
EDV.US,D,20080422,000000,56.3769,56.4468,56.3109,56.4114,1638.3088539197,0
EDV.US,D,20080423,000000,56.3719,56.3719,55.5385,56.3493,745.05495587179,0
EDV.US,D,20080428,000000,55.2459,55.2459,54.5938,55.1238,2691.9424291172,0
EDV.US,D,20080429,000000,53.9387,55.8922,53.9387,55.3918,2994.4306809561,0
EDV.US,D,20080430,000000,55.8922,55.8922,55.6282,55.7877,1342.9260308152,0
EDV.US,D,20080501,000000,56.8301,56.8301,53.5406,56.2557,1789.5529798392,0
EDV.US,D,20080502,000000,55.5139,55.5139,55.5139,55.5139,154.28930966282,0
EDV.US,D,20080506,000000,54.3987,54.3987,54.3987,54.3987,154.28930966282,0
EDV.US,D,20080507,000000,55.6045,55.6045,54.2184,54.7357,3641.0246957931,0
EDV.US,D,20080508,000000,54.974,54.974,54.8508,54.8844,598.88613619122,0
EDV.US,D,20080509,000000,55.8695,55.8695,55.8695,55.8695,445.61188777618,0
EDV.US,D,20080512,000000,56.3287,56.4734,56.0695,56.0695,576.55478874002,0
EDV.US,D,20080513,000000,54.4529,54.8844,54.4529,54.8508,445.61188777618,0
EDV.US,D,20080514,000000,53.5475,55.2597,53.5475,54.307,3956.7087438532,0
EDV.US,D,20080515,000000,54.7287,55.0223,54.7287,55.0223,2096.1014766693,0
EDV.US,D,20080516,000000,55.6114,55.6872,55.4784,55.6872,12091.409583576,0
EDV.US,D,20080519,000000,55.5011,55.5011,54.8706,54.8706,1521.5768104248,0
EDV.US,D,20080521,000000,55.6754,55.7592,55.6754,55.7296,745.05495587179,0
EDV.US,D,20080522,000000,54.9376,54.9376,54.6352,54.6352,732.87422089841,0
EDV.US,D,20080523,000000,55.4252,55.4252,55.2529,55.2529,1638.3088539197,0
EDV.US,D,20080527,000000,54.8706,54.8706,54.4529,54.4687,3164.9609705834,0
EDV.US,D,20080528,000000,54.1495,54.1495,52.2638,53.1387,11494.553569881,0
EDV.US,D,20080529,000000,53.1179,53.4086,52.7909,53.2421,8654.4121985871,0
EDV.US,D,20080530,000000,53.8637,53.8637,53.6697,53.6697,1845.3813484672,0
EDV.US,D,20080602,000000,53.8913,53.8913,52.4993,52.4993,4321.1157318068,0
EDV.US,D,20080603,000000,53.6755,54.5268,53.6755,54.5081,4684.5076585127,0
EDV.US,D,20080604,000000,53.6323,53.6323,53.6323,53.6323,303.50331308674,0
EDV.US,D,20080605,000000,53.8046,53.8795,53.5406,53.5406,1945.8724119976,0
EDV.US,D,20080606,000000,54.307,54.9691,54.307,54.9691,15968.943550102,0
EDV.US,D,20080609,000000,54.9897,55.0656,54.9691,54.9957,4630.7094123803,0
EDV.US,D,20080610,000000,55.0223,55.0223,54.0608,54.0608,1420.0706856466,0
EDV.US,D,20080611,000000,54.5149,54.642,53.6963,53.7347,3436.9973849889,0
EDV.US,D,20080612,000000,53.785,53.9387,53.7722,53.8568,1193.7120273913,0
EDV.US,D,20080613,000000,53.5406,53.845,53.4175,53.4175,2236.1799288632,0
EDV.US,D,20080616,000000,53.2608,53.2608,53.2608,53.2608,220.26829076864,0
EDV.US,D,20080617,000000,52.4708,53.6421,52.4708,53.4924,1789.5529798392,0
EDV.US,D,20080618,000000,53.8244,53.9997,53.7574,53.9997,1278.977172205,0
EDV.US,D,20080619,000000,53.8244,53.8244,53.8244,53.8244,276.09665939663,0
EDV.US,D,20080620,000000,54.4263,54.4263,54.4263,54.4263,165.45498338842,0
EDV.US,D,20080623,000000,54.4815,54.4815,54.4815,54.4815,1494.1701567347,0
EDV.US,D,20080624,000000,54.1927,54.575,54.1927,54.575,598.88613619122,0
EDV.US,D,20080625,000000,54.1179,54.5011,53.8795,54.5011,3285.7532590695,0
EDV.US,D,20080626,000000,54.9435,55.1198,54.8706,55.0223,1638.3088539197,0
EDV.US,D,20080627,000000,55.6872,55.6872,52.9742,54.8203,27767.000433069,0
EDV.US,D,20080630,000000,55.7681,56.2242,55.7681,56.1355,3776.027841748,0
EDV.US,D,20080701,000000,56.7788,56.8369,55.9651,55.9651,22316.121532481,0
EDV.US,D,20080702,000000,56.1149,56.4173,56.1149,56.4173,1494.1701567347,0
EDV.US,D,20080707,000000,55.9464,56.8369,55.9464,56.8271,2236.1799288632,0
EDV.US,D,20080708,000000,56.6055,57.0399,56.5789,56.965,598.88613619122,0
EDV.US,D,20080710,000000,57.4557,58.1403,57.4557,57.4832,480.12397020076,0
EDV.US,D,20080711,000000,57.7453,57.7453,55.972,56.168,8654.4121985871,0
EDV.US,D,20080714,000000,56.5188,57.0882,56.5188,57.0813,1638.3088539197,0
EDV.US,D,20080715,000000,57.0813,57.0813,56.5256,56.5256,445.61188777618,0
EDV.US,D,20080716,000000,55.2124,55.2124,54.8972,54.9957,1342.9260308152,0
EDV.US,D,20080717,000000,55.0834,55.0834,54.4529,54.4529,598.88613619122,0
EDV.US,D,20080721,000000,54.3268,54.3692,54.3268,54.3692,303.50331308674,0
EDV.US,D,20080723,000000,53.851,53.8637,53.851,53.8637,1494.1701567347,0
EDV.US,D,20080724,000000,54.5081,54.8342,54.5081,54.8342,598.88613619122,0
EDV.US,D,20080725,000000,54.3928,54.3928,53.9869,53.9869,2096.1014766693,0
EDV.US,D,20080728,000000,54.7829,55.0311,54.776,54.776,2211.8184589164,0
EDV.US,D,20080730,000000,54.5268,54.5268,54.5268,54.5268,745.05495587179,0
EDV.US,D,20080804,000000,55.44,55.44,55.44,55.44,445.61188777618,0
EDV.US,D,20080807,000000,54.2125,54.2125,54.2125,54.2125,154.28930966282,0
EDV.US,D,20080811,000000,55.6114,55.6114,54.5938,54.9553,6865.8742799956,0
EDV.US,D,20080812,000000,55.7464,55.7464,55.6045,55.7237,2837.0961875499,0
EDV.US,D,20080813,000000,55.643,56.038,55.643,55.7877,20446.378714068,0
EDV.US,D,20080814,000000,55.9286,56.1769,55.9286,56.0637,598.88613619122,0
EDV.US,D,20080815,000000,56.7611,56.8635,56.7611,56.8635,2837.0961875499,0
EDV.US,D,20080818,000000,58.0388,58.0388,56.9926,57.5492,3135.5241943978,0
EDV.US,D,20080819,000000,57.3158,57.3158,56.8153,56.965,5669.117068861,0
EDV.US,D,20080820,000000,57.3374,57.3374,57.1975,57.2094,1638.3088539197,0
EDV.US,D,20080821,000000,56.8635,56.8921,56.7444,56.8921,1043.4829627196,0
EDV.US,D,20080822,000000,56.7788,56.7788,56.6321,56.6705,600.91625868679,0
EDV.US,D,20080825,000000,58.1403,58.1403,57.9345,58.1403,705.4675672083,0
EDV.US,D,20080826,000000,57.7532,58.0862,57.7532,58.0862,2385.3939322871,0
EDV.US,D,20080827,000000,57.629,58.1147,57.629,58.1147,1929.6314320331,0
EDV.US,D,20080828,000000,56.7316,58.1433,56.7316,58.1433,5064.1405651831,0
EDV.US,D,20080829,000000,57.6517,57.8212,57.5876,57.8212,1562.1792603361,0
EDV.US,D,20080902,000000,58.9078,60.2535,57.2527,59.2378,85783.841111282,0
EDV.US,D,20080903,000000,60.5776,60.5776,58.633,59.6388,14371.237146094,0
EDV.US,D,20080904,000000,59.2191,59.9304,59.0634,59.9304,9432.9641756356,0
EDV.US,D,20080905,000000,61.3736,61.3736,60.0141,60.1688,18283.283195044,0
EDV.US,D,20080908,000000,60.9353,60.9353,58.7295,60.3028,28804.393028302,0
EDV.US,D,20080909,000000,61.5963,61.9795,60.288,61.9795,41069.378085249,0
EDV.US,D,20080910,000000,60.5737,61.4958,60.491,61.0751,19388.684893879,0
EDV.US,D,20080911,000000,61.0692,61.1519,60.7185,60.9401,8567.1169312778,0
EDV.US,D,20080912,000000,60.1964,60.8052,59.3087,59.3442,63295.159166678,0
EDV.US,D,20080915,000000,59.3846,63.206,59.3846,63.206,35326.161545299,0
EDV.US,D,20080916,000000,65.1261,65.1527,61.6623,62.7411,18583.741324388,0
EDV.US,D,20080917,000000,64.6315,65.1872,62.5391,63.4642,55795.886668067,0
EDV.US,D,20080918,000000,64.7232,65.1872,59.9018,61.5175,28573.974125056,0
EDV.US,D,20080919,000000,55.7947,58.7295,36.4638,57.8438,45262.596099835,0
EDV.US,D,20080922,000000,57.8438,58.8742,57.5039,58.3384,25866.805777222,0
EDV.US,D,20080923,000000,56.7611,58.1787,56.6705,57.2025,13026.280992783,0
EDV.US,D,20080924,000000,55.5976,57.829,55.5907,56.698,14984.334139754,0
EDV.US,D,20080925,000000,56.6705,59.1688,56.6705,58.7738,28272.500934465,0
EDV.US,D,20080926,000000,59.687,59.7668,58.6073,59.7668,61200.072751256,0
EDV.US,D,20080929,000000,57.0813,59.9018,57.0813,58.8388,72553.532807695,0
EDV.US,D,20080930,000000,58.7295,59.8673,58.7295,59.3087,9039.1204114963,0
EDV.US,D,20081001,000000,61.4279,61.4279,59.3087,59.6388,11836.629210383,0
EDV.US,D,20081002,000000,61.1647,61.2524,60.4762,61.2524,9880.6061859074,0
EDV.US,D,20081003,000000,61.6288,73.039,60.157,61.7628,25338.973928376,0
EDV.US,D,20081006,000000,63.9469,64.9843,63.1243,63.5519,53466.321104408,0
EDV.US,D,20081007,000000,62.8878,64.4779,62.5391,63.0829,14918.355158648,0
EDV.US,D,20081008,000000,63.0641,64.3153,62.0632,62.4465,20072.836174884,0
EDV.US,D,20081009,000000,62.8563,65.9911,61.614,62.3194,17538.228239173,0
EDV.US,D,20081010,000000,64.5971,64.5971,61.614,61.7105,23102.793999512,0
EDV.US,D,20081013,000000,61.6623,61.6623,58.7738,60.3511,16476.474173993,0
EDV.US,D,20081014,000000,60.1964,60.6033,59.886,60.3777,12478.147918981,0
EDV.US,D,20081015,000000,59.6447,60.5963,59.4999,60.2288,13297.302345941,0
EDV.US,D,20081016,000000,61.6554,61.6554,59.7186,60.9845,13916.489707088,0
EDV.US,D,20081017,000000,59.9018,59.9304,57.5492,59.1748,19664.781553276,0
EDV.US,D,20081020,000000,58.4615,60.2821,58.2871,60.2821,13667.799701381,0
EDV.US,D,20081021,000000,60.7008,61.2013,60.5116,60.5963,2762.9967164619,0
EDV.US,D,20081022,000000,61.5628,63.2316,61.548,62.6326,14286.987062528,0
EDV.US,D,20081023,000000,64.6709,65.7793,62.7292,63.7193,71262.374900517,0
EDV.US,D,20081024,000000,66.063,66.063,62.2977,62.8386,8012.893489989,0
EDV.US,D,20081027,000000,62.8425,64.8937,59.4565,64.8937,7391.6760063466,0
EDV.US,D,20081028,000000,61.6288,64.5744,60.6633,60.6801,6213.189897672,0
