<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEMD.US,D,20171130,000000,21.2302,21.2302,21.1548,21.1548,2769.0618628029,0
EEMD.US,D,20171201,000000,21.1548,21.1548,21.1548,21.1548,116.27000086907,0
EEMD.US,D,20171204,000000,21.3058,21.3058,21.3058,21.3058,134.62842205892,0
EEMD.US,D,20171205,000000,21.3322,21.3322,21.3322,21.3322,11990.088861552,0
EEMD.US,D,20171206,000000,21.1146,21.1616,21.1067,21.1381,2999.5620399643,0
EEMD.US,D,20171207,000000,20.9704,21.0106,20.9518,20.9518,4815.0059131832,0
EEMD.US,D,20171208,000000,21.0361,21.0627,21.0361,21.0371,1350.3638697426,0
EEMD.US,D,20171211,000000,21.1803,21.189,21.1803,21.189,621.12658359004,0
EEMD.US,D,20171212,000000,21.0273,21.0371,21.0273,21.0371,244.77894919805,0
EEMD.US,D,20171213,000000,21.3685,21.4204,21.3685,21.4204,469.15965262959,0
EEMD.US,D,20171215,000000,21.5136,21.5136,21.5136,21.5136,127.48903604065,0
EEMD.US,D,20171218,000000,21.6842,21.6842,21.6842,21.6842,116.27000086907,0
EEMD.US,D,20171219,000000,21.5686,21.5783,21.5686,21.5696,709.85895267434,0
EEMD.US,D,20171222,000000,21.8999,21.8999,21.8911,21.8911,419.18395050166,0
EEMD.US,D,20171226,000000,21.9088,21.9088,21.9088,21.9088,116.27000086907,0
EEMD.US,D,20171227,000000,22.0058,22.0058,22.0058,22.0058,196.84307164676,0
EEMD.US,D,20171228,000000,22.1578,22.1578,22.1578,22.1578,656.82351368142,0
EEMD.US,D,20171229,000000,22.3117,22.3117,22.3117,22.3117,189.70368562849,0
EEMD.US,D,20180102,000000,22.6009,22.6009,22.549,22.549,351.86973947219,0
EEMD.US,D,20180103,000000,22.7726,22.7804,22.7726,22.7804,467.11982805293,0
EEMD.US,D,20180104,000000,22.7646,22.8716,22.7646,22.8618,9448.4674390445,0
EEMD.US,D,20180108,000000,22.9775,23.0392,22.9775,23.0392,734.33684759414,0
EEMD.US,D,20180109,000000,23.004,23.004,22.9775,22.9775,978.09588450385,0
EEMD.US,D,20180110,000000,22.952,22.952,22.952,22.952,225.40061571986,0
EEMD.US,D,20180111,000000,22.9942,22.9942,22.9932,22.9942,3791.0139757047,0
EEMD.US,D,20180116,000000,23.2157,23.2157,23.2157,23.2157,286.59535301938,0
EEMD.US,D,20180117,000000,23.3686,23.3686,23.3686,23.3686,237.63956317977,0
EEMD.US,D,20180123,000000,23.7021,23.7207,23.7021,23.7207,404.9051784651,0
EEMD.US,D,20180124,000000,23.9432,24.0099,23.9432,23.9677,1903.1563300148,0
EEMD.US,D,20180125,000000,24.0334,24.0334,24.0177,24.0177,1305.4877290562,0
EEMD.US,D,20180126,000000,24.2237,24.2413,24.2237,24.2413,378.38745896864,0
EEMD.US,D,20180129,000000,23.8982,23.9609,23.8982,23.9512,778.19307599212,0
EEMD.US,D,20180130,000000,23.7951,23.7951,23.7482,23.7482,1124.9632540227,0
EEMD.US,D,20180201,000000,23.7834,23.7834,23.7628,23.7628,497.71719670269,0
EEMD.US,D,20180202,000000,23.4276,23.4276,23.15,23.15,1755.2690482076,0
EEMD.US,D,20180205,000000,23.1608,23.1608,23.153,23.153,603.78807468852,0
EEMD.US,D,20180206,000000,22.2323,22.9932,22.2323,22.946,11272.07061057,0
EEMD.US,D,20180207,000000,22.848,22.8559,22.848,22.849,917.92105949267,0
EEMD.US,D,20180208,000000,22.5088,22.5088,22.5088,22.5088,679.26158402457,0
EEMD.US,D,20180209,000000,22.0499,22.0499,22.0499,22.0499,486.49816153112,0
EEMD.US,D,20180212,000000,22.4264,22.4264,22.4264,22.4264,23606.889825575,0
EEMD.US,D,20180213,000000,22.5343,22.648,22.5343,22.648,2511.0240538567,0
EEMD.US,D,20180214,000000,23.0157,23.0157,23.0157,23.0157,128.50894832897,0
EEMD.US,D,20180215,000000,23.2118,23.2118,23.2118,23.2118,234.5798263148,0
EEMD.US,D,20180220,000000,22.9902,22.9902,22.9902,22.9902,346.77017803057,0
EEMD.US,D,20180222,000000,22.9725,22.9725,22.9638,22.9638,1812.3841363539,0
EEMD.US,D,20180223,000000,23.2118,23.2187,23.2118,23.2187,709.85895267434,0
EEMD.US,D,20180227,000000,23.1608,23.1686,22.9451,22.9451,654.78368910477,0
EEMD.US,D,20180305,000000,22.5931,22.5931,22.5931,22.5931,143.80763265386,0
EEMD.US,D,20180308,000000,22.7706,22.8725,22.7706,22.8725,731.27711072916,0
EEMD.US,D,20180309,000000,22.8725,22.8725,22.8725,22.8725,15.298684324878,0
EEMD.US,D,20180313,000000,23.15,23.15,23.15,23.15,116.27000086907,0
