<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQUL.US,D,20211105,000000,25.3179,25.3179,25.3179,25.3179,30.25968992163,0
EQUL.US,D,20211108,000000,25.3644,25.3644,25.3644,25.3644,5.043281653605,0
EQUL.US,D,20211109,000000,25.2851,25.2851,25.2851,25.2851,44.380878551724,0
EQUL.US,D,20211110,000000,25.185,25.185,25.185,25.185,1.008656330721,0
EQUL.US,D,20211111,000000,25.2781,25.2781,25.2187,25.2197,355.04702841379,0
EQUL.US,D,20211112,000000,25.3922,25.3922,25.3922,25.3922,1.008656330721,0
EQUL.US,D,20211115,000000,25.424,25.424,25.424,25.424,105.90891472571,0
EQUL.US,D,20211116,000000,25.4428,25.4428,25.4428,25.4428,4.034625322884,0
EQUL.US,D,20211117,000000,25.5151,25.5151,25.2286,25.2801,305.62286820846,0
EQUL.US,D,20211118,000000,25.0928,25.0928,25.0928,25.0928,11.095219637931,0
EQUL.US,D,20211119,000000,24.9917,24.9917,24.9917,24.9917,2.017312661442,0
EQUL.US,D,20211122,000000,25.0105,25.0105,25.0105,25.0105,34.294315244514,0
EQUL.US,D,20211123,000000,25.0472,25.0472,25.0472,25.0472,10.08656330721,0
EQUL.US,D,20211124,000000,24.9292,24.9292,24.9292,24.9292,1.008656330721,0
EQUL.US,D,20211126,000000,24.381,24.381,24.381,24.381,83.718475449843,0
EQUL.US,D,20211129,000000,24.8231,24.8231,24.4374,24.4751,379.2547803511,0
EQUL.US,D,20211130,000000,24.2501,24.2501,23.7723,23.7723,204.75723513636,0
EQUL.US,D,20211201,000000,23.5521,23.5521,23.5521,23.5521,1.008656330721,0
EQUL.US,D,20211202,000000,23.903,23.903,23.903,23.903,3.025968992163,0
EQUL.US,D,20211203,000000,23.7445,23.7445,23.7445,23.7445,4.034625322884,0
EQUL.US,D,20211206,000000,24.0915,24.0915,24.0617,24.0617,114.98682170219,0
EQUL.US,D,20211207,000000,24.4286,24.4286,24.4286,24.4286,1.008656330721,0
EQUL.US,D,20211208,000000,24.4276,24.5435,24.4276,24.5435,508.36279068339,0
EQUL.US,D,20211209,000000,24.372,24.372,24.372,24.372,10.08656330721,0
EQUL.US,D,20211210,000000,24.5079,24.5079,24.5079,24.5079,10.08656330721,0
EQUL.US,D,20211213,000000,24.3552,24.3552,24.3552,24.3552,1.008656330721,0
EQUL.US,D,20211214,000000,24.137,24.137,24.137,24.137,20.17312661442,0
EQUL.US,D,20211215,000000,24.3898,24.3898,24.3898,24.3898,4.034625322884,0
EQUL.US,D,20211216,000000,24.4791,24.4791,24.4791,24.4791,1.008656330721,0
EQUL.US,D,20211217,000000,24.2074,24.2074,24.2074,24.2074,1.008656330721,0
EQUL.US,D,20211220,000000,23.8544,23.8544,23.8544,23.8544,2.017312661442,0
EQUL.US,D,20211221,000000,24.2231,24.2231,24.2231,24.2231,1.008656330721,0
EQUL.US,D,20211222,000000,24.3839,24.3839,24.3839,24.3839,1.008656330721,0
EQUL.US,D,20211223,000000,24.6107,24.6107,24.6107,24.6107,1.008656330721,0
EQUL.US,D,20211227,000000,24.8287,24.8287,24.8287,24.8287,1.008656330721,0
EQUL.US,D,20211228,000000,24.8255,24.8255,24.8255,24.8255,1.008656330721,0
EQUL.US,D,20211229,000000,24.8925,24.8925,24.8925,24.8925,1.008656330721,0
EQUL.US,D,20211230,000000,24.8908,24.8908,24.8908,24.8908,1.008656330721,0
EQUL.US,D,20211231,000000,24.8618,24.8618,24.8618,24.8618,1.008656330721,0
EQUL.US,D,20220103,000000,25.0771,25.0771,25.0771,25.0771,21.181782945141,0
EQUL.US,D,20220104,000000,25.3688,25.3688,25.3688,25.3688,10.08656330721,0
EQUL.US,D,20220105,000000,25.2811,25.2811,24.9967,24.9967,217.86976743574,0
EQUL.US,D,20220106,000000,25.0179,25.0179,25.0179,25.0179,24.207751937304,0
EQUL.US,D,20220107,000000,25.1476,25.1476,25.1476,25.1476,2.017312661442,0
EQUL.US,D,20220110,000000,24.9172,24.9172,24.9172,24.9172,2.017312661442,0
EQUL.US,D,20220111,000000,25.1958,25.1958,25.1958,25.1958,2.017312661442,0
EQUL.US,D,20220112,000000,25.1132,25.1132,25.1132,25.1132,1.008656330721,0
EQUL.US,D,20220113,000000,25.0488,25.0488,25.0488,25.0488,1.008656330721,0
EQUL.US,D,20220114,000000,24.9902,24.9902,24.9902,24.9902,2.017312661442,0
EQUL.US,D,20220118,000000,24.4917,24.4917,24.4917,24.4917,1.008656330721,0
EQUL.US,D,20220119,000000,24.3167,24.3167,24.3167,24.3167,1.008656330721,0
EQUL.US,D,20220120,000000,23.9954,23.9954,23.9954,23.9954,70.60594315047,0
EQUL.US,D,20220121,000000,23.6314,23.6314,23.6314,23.6314,2.017312661442,0
EQUL.US,D,20220124,000000,23.1298,23.645,23.1298,23.645,102.88294573354,0
EQUL.US,D,20220125,000000,23.4682,23.4682,23.4682,23.4682,67.579974158307,0
EQUL.US,D,20220126,000000,23.1427,23.1427,23.1427,23.1427,11.095219637931,0
EQUL.US,D,20220127,000000,23.0986,23.0986,23.0986,23.0986,1.008656330721,0
EQUL.US,D,20220128,000000,23.4811,23.4811,23.4811,23.4811,1.008656330721,0
EQUL.US,D,20220131,000000,23.9584,23.9584,23.9584,23.9584,52.450129197492,0
EQUL.US,D,20220201,000000,24.1722,24.1722,24.1722,24.1722,1.008656330721,0
EQUL.US,D,20220202,000000,24.0423,24.0423,24.0423,24.0423,2.017312661442,0
EQUL.US,D,20220203,000000,23.6319,23.6319,23.6319,23.6319,24.207751937304,0
EQUL.US,D,20220204,000000,23.6283,23.6283,23.6283,23.6283,2.017312661442,0
EQUL.US,D,20220207,000000,23.5688,23.5688,23.5688,23.5688,4.034625322884,0
EQUL.US,D,20220208,000000,23.8003,23.8003,23.8003,23.8003,2.017312661442,0
EQUL.US,D,20220209,000000,24.2065,24.2065,24.2065,24.2065,27.233720929467,0
EQUL.US,D,20220210,000000,23.8984,23.8984,23.8984,23.8984,9.077906976489,0
EQUL.US,D,20220211,000000,23.6088,23.6088,23.6088,23.6088,62.536692504702,0
EQUL.US,D,20220214,000000,23.4578,23.4578,23.4578,23.4578,8.069250645768,0
EQUL.US,D,20220215,000000,23.8238,23.8837,23.8238,23.8837,123.05607234796,0
EQUL.US,D,20220216,000000,23.7919,23.7919,23.7919,23.7919,99.856976741379,0
EQUL.US,D,20220217,000000,23.36,23.36,23.36,23.36,3.025968992163,0
EQUL.US,D,20220218,000000,23.2068,23.2068,23.2068,23.2068,3.025968992163,0
EQUL.US,D,20220222,000000,22.935,22.935,22.935,22.935,3.025968992163,0
EQUL.US,D,20220223,000000,22.8026,22.8026,22.5727,22.5727,191.64470283699,0
EQUL.US,D,20220224,000000,22.6034,22.6034,22.6034,22.6034,40.34625322884,0
EQUL.US,D,20220225,000000,23.1927,23.1927,23.1927,23.1927,40.34625322884,0
EQUL.US,D,20220228,000000,22.9912,22.9912,22.9912,22.9912,5.043281653605,0
EQUL.US,D,20220301,000000,22.5455,22.5455,22.5455,22.5455,40.34625322884,0
EQUL.US,D,20220302,000000,23.0384,23.0384,23.0384,23.0384,40.34625322884,0
EQUL.US,D,20220303,000000,22.8276,22.8276,22.8276,22.8276,40.34625322884,0
EQUL.US,D,20220304,000000,22.4418,22.4418,22.4418,22.4418,36.311627905956,0
EQUL.US,D,20220307,000000,21.7284,21.7284,21.7284,21.7284,5.043281653605,0
EQUL.US,D,20220308,000000,21.6199,21.6199,21.6199,21.6199,1.008656330721,0
EQUL.US,D,20220309,000000,22.1672,22.1672,22.1672,22.1672,1.008656330721,0
EQUL.US,D,20220310,000000,21.9605,21.9605,21.9605,21.9605,2.017312661442,0
EQUL.US,D,20220311,000000,21.5977,21.5977,21.5977,21.5977,30.25968992163,0
EQUL.US,D,20220314,000000,21.7224,21.7224,21.7224,21.7224,73.631912142633,0
EQUL.US,D,20220315,000000,22.1255,22.1255,22.1255,22.1255,2.017312661442,0
EQUL.US,D,20220316,000000,22.6417,22.6417,22.6417,22.6417,1.008656330721,0
EQUL.US,D,20220317,000000,22.9207,22.9207,22.9207,22.9207,1.008656330721,0
EQUL.US,D,20220318,000000,23.051,23.1242,23.051,23.1242,100.47297475,0
EQUL.US,D,20220321,000000,22.88,22.88,22.88,22.88,1.0047297475,0
EQUL.US,D,20220322,000000,23.1747,23.1747,23.1747,23.1747,1.0047297475,0
EQUL.US,D,20220323,000000,22.9913,22.9913,22.8794,22.8794,110.520272225,0
EQUL.US,D,20220324,000000,23.0666,23.0666,23.0666,23.0666,5.0236487375,0
EQUL.US,D,20220325,000000,23.157,23.157,23.157,23.157,7.0331082325,0
EQUL.US,D,20220328,000000,23.2159,23.2159,23.2159,23.2159,4.01891899,0
EQUL.US,D,20220329,000000,23.7851,23.7851,23.7851,23.7851,4.01891899,0
EQUL.US,D,20220330,000000,23.5326,23.5326,23.5326,23.5326,5.0236487375,0
EQUL.US,D,20220331,000000,23.459,23.459,23.459,23.459,202.955408995,0
EQUL.US,D,20220401,000000,23.2988,23.2988,23.2988,23.2988,11.0520272225,0
EQUL.US,D,20220404,000000,23.5188,23.5287,23.4945,23.4945,200.9459495,0
EQUL.US,D,20220405,000000,23.1895,23.1895,23.1895,23.1895,1.0047297475,0
EQUL.US,D,20220406,000000,22.9776,22.9776,22.9776,22.9776,1.0047297475,0
EQUL.US,D,20220407,000000,22.9588,22.9588,22.9588,22.9588,6.028378485,0
EQUL.US,D,20220408,000000,22.9818,22.9818,22.9818,22.9818,1.0047297475,0
EQUL.US,D,20220411,000000,22.8146,22.8146,22.8146,22.8146,1.0047297475,0
EQUL.US,D,20220412,000000,22.7036,22.7036,22.7036,22.7036,10.047297475,0
EQUL.US,D,20220413,000000,22.9863,22.9863,22.9863,22.9863,1.0047297475,0
EQUL.US,D,20220414,000000,22.8159,22.8159,22.8159,22.8159,20.09459495,0
EQUL.US,D,20220418,000000,22.6896,22.6896,22.6896,22.6896,1.0047297475,0
EQUL.US,D,20220419,000000,23.051,23.146,23.051,23.146,103.4871639925,0
EQUL.US,D,20220420,000000,23.1262,23.1262,23.1262,23.1262,25.1182436875,0
EQUL.US,D,20220421,000000,22.8132,22.8132,22.8132,22.8132,3.0141892425,0
EQUL.US,D,20220422,000000,22.2846,22.2846,22.2846,22.2846,2.009459495,0
EQUL.US,D,20220426,000000,21.9032,21.9032,21.9032,21.9032,2.009459495,0
EQUL.US,D,20220427,000000,21.8782,21.8782,21.8782,21.8782,2.009459495,0
EQUL.US,D,20220428,000000,22.3242,22.3242,22.3242,22.3242,2.009459495,0
EQUL.US,D,20220429,000000,21.6759,21.6759,21.6759,21.6759,7.0331082325,0
EQUL.US,D,20220502,000000,21.766,21.766,21.766,21.766,1.0047297475,0
EQUL.US,D,20220503,000000,21.8922,21.8922,21.8922,21.8922,4.01891899,0
EQUL.US,D,20220504,000000,22.3408,22.3408,22.3408,22.3408,11.0520272225,0
EQUL.US,D,20220505,000000,21.6377,21.6377,21.6377,21.6377,2.009459495,0
EQUL.US,D,20220506,000000,21.4286,21.4286,21.4286,21.4286,2.009459495,0
EQUL.US,D,20220509,000000,20.9201,20.9201,20.9201,20.9201,14.066216465,0
EQUL.US,D,20220510,000000,20.8564,20.8564,20.8564,20.8564,20.09459495,0
EQUL.US,D,20220511,000000,20.5312,20.5312,20.5312,20.5312,32.15135192,0
EQUL.US,D,20220512,000000,20.6486,20.6486,20.6486,20.6486,2.009459495,0
EQUL.US,D,20220513,000000,21.1531,21.1531,21.1531,21.1531,2.009459495,0
EQUL.US,D,20220516,000000,21.0803,21.0803,21.0803,21.0803,1.0047297475,0
EQUL.US,D,20220517,000000,21.4876,21.4876,21.4876,21.4876,2.009459495,0
EQUL.US,D,20220518,000000,20.5891,20.5891,20.5891,20.5891,7.0331082325,0
EQUL.US,D,20220519,000000,20.5349,20.5349,20.5349,20.5349,2.009459495,0
EQUL.US,D,20220520,000000,20.5659,20.5659,20.5659,20.5659,10.047297475,0
EQUL.US,D,20220523,000000,20.8918,20.8918,20.8918,20.8918,4.01891899,0
EQUL.US,D,20220524,000000,20.6623,20.6623,20.6191,20.6191,1014.777044975,0
EQUL.US,D,20220525,000000,20.7518,20.9303,20.722,20.9303,1014.777044975,0
EQUL.US,D,20220526,000000,21.3617,21.3617,21.3617,21.3617,2.009459495,0
EQUL.US,D,20220527,000000,21.8106,21.8106,21.8106,21.8106,1.0047297475,0
EQUL.US,D,20220531,000000,21.6348,21.6348,21.6348,21.6348,1.0047297475,0
EQUL.US,D,20220601,000000,21.3736,21.3736,21.3736,21.3736,5.0236487375,0
EQUL.US,D,20220602,000000,21.705,21.705,21.705,21.705,4.01891899,0
EQUL.US,D,20220603,000000,21.4159,21.4159,21.4159,21.4159,13.0614867175,0
