<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAM.US,D,20050225,000000,6.32684,6.35387,6.27916,6.31675,248248.44335316,0
FAM.US,D,20050228,000000,6.34389,6.36461,6.25675,6.26098,157895.02472025,0
FAM.US,D,20050301,000000,6.29312,6.30941,6.2415,6.2673,208779.72957198,0
FAM.US,D,20050302,000000,6.30036,6.30292,6.23875,6.26381,111688.60447406,0
FAM.US,D,20050303,000000,6.27446,6.27446,6.20777,6.21916,163166.72005746,0
FAM.US,D,20050304,000000,6.21134,6.25186,6.20014,6.23603,127781.81859249,0
FAM.US,D,20050307,000000,6.24459,6.30686,6.23159,6.2673,126605.61270572,0
FAM.US,D,20050308,000000,6.28199,6.33908,6.23875,6.33531,189188.68296544,0
FAM.US,D,20050309,000000,6.36733,6.36733,6.18921,6.25186,214905.9788251,0
FAM.US,D,20050310,000000,6.24459,6.36461,6.23875,6.30036,261121.95309024,0
FAM.US,D,20050311,000000,6.30941,6.35387,6.27446,6.32684,103805.47729442,0
FAM.US,D,20050314,000000,6.35735,6.41565,6.30941,6.30941,111688.60447406,0
FAM.US,D,20050315,000000,6.34389,6.39514,6.28558,6.30686,146195.59775462,0
FAM.US,D,20050316,000000,6.30036,6.31675,6.25448,6.2706,167260.08639259,0
FAM.US,D,20050317,000000,6.27446,6.27916,6.16293,6.18921,175456.3730818,0
FAM.US,D,20050318,000000,6.18619,6.21134,6.15144,6.15915,85376.836325048,0
FAM.US,D,20050321,000000,6.1926,6.21465,6.0298,6.07371,161113.66754393,0
FAM.US,D,20050322,000000,6.07371,6.07371,5.67373,5.74937,515800.25118715,0
FAM.US,D,20050323,000000,5.74937,5.76897,5.46828,5.74542,247374.78139938,0
FAM.US,D,20050324,000000,5.81127,5.81127,5.56362,5.71567,188602.70313737,0
FAM.US,D,20050328,000000,5.7296,5.7296,5.42383,5.47254,471371.94002067,0
FAM.US,D,20050329,000000,5.50926,5.7622,5.50597,5.74937,274564.45773282,0
FAM.US,D,20050330,000000,5.71567,5.7622,5.59037,5.74297,99126.131131232,0
FAM.US,D,20050331,000000,5.66007,5.77236,5.66007,5.69059,59640.432427497,0
FAM.US,D,20050401,000000,5.67978,5.74033,5.63738,5.67373,154675.32033892,0
FAM.US,D,20050404,000000,5.67742,5.79017,5.67742,5.72216,109060.18770907,0
FAM.US,D,20050405,000000,5.75428,5.82041,5.70417,5.72216,93860.805139981,0
FAM.US,D,20050406,000000,5.71152,5.77905,5.69059,5.7622,105850.03734667,0
FAM.US,D,20050407,000000,5.74033,5.76897,5.70746,5.7622,49995.119533043,0
FAM.US,D,20050408,000000,5.72216,5.7622,5.62674,5.64115,83326.968484504,0
FAM.US,D,20050411,000000,5.65592,5.73535,5.59037,5.62249,114912.55508603,0
FAM.US,D,20050412,000000,5.61252,5.67034,5.51737,5.64115,111992.20996468,0
FAM.US,D,20050413,000000,5.61758,5.70417,5.55779,5.60875,173392.70499167,0
FAM.US,D,20050414,000000,5.59507,5.72216,5.59507,5.69682,180718.51440008,0
FAM.US,D,20050415,000000,5.72216,5.77236,5.65592,5.7622,78951.227811937,0
FAM.US,D,20050418,000000,5.73535,5.89586,5.73535,5.75692,226906.88816606,0
FAM.US,D,20050419,000000,5.79017,5.81683,5.55779,5.67742,220179.79727764,0
FAM.US,D,20050420,000000,5.62249,5.67373,5.56681,5.63738,113739.53387226,0
FAM.US,D,20050421,000000,5.60074,5.73535,5.59037,5.73535,80120.002795076,0
FAM.US,D,20050422,000000,5.7622,5.76512,5.57407,5.70011,149709.35360765,0
FAM.US,D,20050425,000000,5.67034,5.70417,5.60875,5.64878,154091.46362618,0
FAM.US,D,20050426,000000,5.62249,5.83643,5.6045,5.83643,227481.19085986,0
FAM.US,D,20050427,000000,5.83643,5.83992,5.75692,5.82362,120773.41492429,0
FAM.US,D,20050428,000000,5.81381,5.86902,5.81127,5.84707,101751.36322324,0
FAM.US,D,20050429,000000,5.80194,5.86496,5.79017,5.85367,70473.628342961,0
FAM.US,D,20050502,000000,5.86902,5.87202,5.82041,5.8271,104393.58023781,0
FAM.US,D,20050503,000000,5.798,5.83255,5.74297,5.75428,112593.05159999,0
FAM.US,D,20050504,000000,5.74937,5.80194,5.74937,5.79017,58182.913760967,0
FAM.US,D,20050505,000000,5.798,5.82041,5.7622,5.82041,71056.423498042,0
FAM.US,D,20050506,000000,5.77236,5.79017,5.64878,5.70746,126306.25344575,0
FAM.US,D,20050509,000000,5.69059,5.75428,5.65592,5.70011,142105.41609248,0
FAM.US,D,20050510,000000,5.70011,5.78404,5.6875,5.77905,82170.93219328,0
FAM.US,D,20050511,000000,5.79017,5.85367,5.74937,5.77557,122511.18481294,0
FAM.US,D,20050512,000000,5.79422,5.81381,5.75692,5.81381,123701.19094926,0
FAM.US,D,20050513,000000,5.81127,5.81381,5.70417,5.7864,115217.22213433,0
FAM.US,D,20050516,000000,5.67742,5.81683,5.67742,5.80562,97953.109917456,0
FAM.US,D,20050517,000000,5.81683,5.95079,5.798,5.86902,234507.64100825,0
FAM.US,D,20050518,000000,5.86902,5.91951,5.84707,5.91951,94442.538737402,0
FAM.US,D,20050519,000000,5.89332,6.03868,5.89002,5.89879,67261.354865236,0
FAM.US,D,20050520,000000,5.92676,5.93402,5.85809,5.87617,105548.55497136,0
FAM.US,D,20050523,000000,5.90575,5.93741,5.87617,5.93402,135970.67437806,0
FAM.US,D,20050524,000000,5.91951,5.93402,5.85367,5.90858,91513.70115477,0
FAM.US,D,20050525,000000,5.91951,5.94777,5.87202,5.92676,113158.86183251,0
FAM.US,D,20050526,000000,5.93741,5.94068,5.85809,5.91951,83619.958398533,0
FAM.US,D,20050527,000000,5.91951,5.94777,5.83643,5.93402,150302.76433932,0
FAM.US,D,20050531,000000,5.89586,5.93741,5.884,5.91603,113445.48240058,0
FAM.US,D,20050601,000000,5.85367,5.94777,5.85367,5.93402,91513.70115477,0
FAM.US,D,20050602,000000,5.89332,5.93741,5.89332,5.91603,68132.893703706,0
FAM.US,D,20050603,000000,5.90575,5.94401,5.89332,5.93741,92702.64573344,0
FAM.US,D,20050606,000000,5.94777,5.95276,5.89879,5.93741,74566.994678094,0
FAM.US,D,20050607,000000,5.90189,5.94401,5.86496,5.89332,152348.38594923,0
FAM.US,D,20050608,000000,5.87202,5.89332,5.84707,5.86902,162290.93498834,0
FAM.US,D,20050609,000000,5.884,5.95079,5.86176,5.90575,133624.63195051,0
FAM.US,D,20050610,000000,5.91951,5.94777,5.89332,5.94777,105260.87284563,0
FAM.US,D,20050613,000000,5.89586,5.93402,5.89332,5.90189,74566.994678094,0
FAM.US,D,20050614,000000,5.92676,5.93005,5.83057,5.85367,89767.438804849,0
FAM.US,D,20050615,000000,5.93005,5.93005,5.83057,5.89332,95604.944374583,0
FAM.US,D,20050616,000000,5.90189,5.94068,5.85367,5.87617,264039.11353862,0
FAM.US,D,20050617,000000,5.88908,5.90189,5.85809,5.90189,119882.76804795,0
