<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLDZ.US,D,20220104,000000,25.15,25.15,25.1055,25.1055,4162,0
FLDZ.US,D,20220105,000000,24.5679,24.5679,24.5679,24.5679,50,0
FLDZ.US,D,20220106,000000,24.5959,24.5959,24.5959,24.5959,13,0
FLDZ.US,D,20220107,000000,24.62,24.62,24.5542,24.5542,1336,0
FLDZ.US,D,20220110,000000,24.21,24.4383,24.21,24.4383,101676,0
FLDZ.US,D,20220111,000000,24.66,24.67,24.635,24.6469,581,0
FLDZ.US,D,20220112,000000,24.656,24.656,24.656,24.656,27,0
FLDZ.US,D,20220113,000000,24.4353,24.4353,24.4353,24.4353,6,0
FLDZ.US,D,20220114,000000,24.41,24.41,24.3527,24.3527,151,0
FLDZ.US,D,20220118,000000,23.8412,23.8412,23.8412,23.8412,2,0
FLDZ.US,D,20220119,000000,23.5715,23.5715,23.5715,23.5715,1,0
FLDZ.US,D,20220120,000000,23.57,23.57,23.2787,23.2787,102,0
FLDZ.US,D,20220121,000000,22.8663,22.8663,22.8663,22.8663,1,0
FLDZ.US,D,20220124,000000,22.84,23.24,22.84,23.2348,578,0
FLDZ.US,D,20220125,000000,22.9974,22.9974,22.9974,22.9974,50,0
FLDZ.US,D,20220126,000000,22.7604,22.7604,22.7604,22.7604,20,0
FLDZ.US,D,20220127,000000,22.5803,22.5803,22.5803,22.5803,22,0
FLDZ.US,D,20220128,000000,22.9515,22.9515,22.9515,22.9515,2,0
FLDZ.US,D,20220131,000000,23.4418,23.4418,23.4418,23.4418,1,0
FLDZ.US,D,20220201,000000,23.6606,23.6606,23.6606,23.6606,16,0
FLDZ.US,D,20220202,000000,23.6876,23.6876,23.6876,23.6876,21,0
FLDZ.US,D,20220203,000000,23.478,23.4799,23.3972,23.3972,4970,0
FLDZ.US,D,20220204,000000,23.4834,23.4834,23.4834,23.4834,1,0
FLDZ.US,D,20220207,000000,23.4511,23.4511,23.4511,23.4511,12,0
FLDZ.US,D,20220208,000000,23.71,23.711,23.71,23.711,176,0
FLDZ.US,D,20220209,000000,24.0932,24.0932,24.0932,24.0932,1,0
FLDZ.US,D,20220210,000000,23.7679,23.7679,23.7679,23.7679,1,0
FLDZ.US,D,20220211,000000,23.6685,23.6685,23.6685,23.6685,12,0
FLDZ.US,D,20220214,000000,23.4276,23.4276,23.4276,23.4276,12,0
FLDZ.US,D,20220215,000000,23.7664,23.7664,23.7664,23.7664,12,0
FLDZ.US,D,20220216,000000,23.8243,23.8243,23.8243,23.8243,12,0
FLDZ.US,D,20220217,000000,23.4149,23.4149,23.4149,23.4149,12,0
FLDZ.US,D,20220218,000000,23.2638,23.2638,23.2638,23.2638,2,0
FLDZ.US,D,20220222,000000,22.949,22.949,22.949,22.949,1,0
FLDZ.US,D,20220223,000000,22.59,22.6142,22.59,22.6142,300,0
FLDZ.US,D,20220224,000000,22.9523,22.9523,22.9523,22.9523,12,0
FLDZ.US,D,20220225,000000,23.6223,23.6223,23.6223,23.6223,12,0
FLDZ.US,D,20220228,000000,23.7646,23.7646,23.7646,23.7646,12,0
FLDZ.US,D,20220301,000000,23.4041,23.4041,23.4041,23.4041,12,0
FLDZ.US,D,20220302,000000,23.9051,23.9051,23.9051,23.9051,12,0
FLDZ.US,D,20220303,000000,23.7233,23.7233,23.7233,23.7233,12,0
FLDZ.US,D,20220304,000000,23.6604,23.6604,23.6604,23.6604,12,0
FLDZ.US,D,20220307,000000,23.0155,23.0155,23.0155,23.0155,12,0
FLDZ.US,D,20220308,000000,22.9658,22.9658,22.9658,22.9658,12,0
FLDZ.US,D,20220309,000000,23.3904,23.3904,23.3904,23.3904,12,0
FLDZ.US,D,20220310,000000,23.4321,23.4321,23.4321,23.4321,2,0
FLDZ.US,D,20220311,000000,23.1902,23.1902,23.1902,23.1902,12,0
FLDZ.US,D,20220314,000000,22.8769,22.8769,22.8769,22.8769,1,0
FLDZ.US,D,20220315,000000,23.1792,23.1792,23.1792,23.1792,12,0
FLDZ.US,D,20220316,000000,23.6716,23.6716,23.6716,23.6716,32,0
FLDZ.US,D,20220317,000000,23.9813,23.9813,23.9813,23.9813,2,0
FLDZ.US,D,20220318,000000,24.1564,24.1564,24.1564,24.1564,7,0
FLDZ.US,D,20220321,000000,24.0699,24.0699,24.0699,24.0699,3,0
FLDZ.US,D,20220322,000000,24.24,24.24,24.24,24.24,3,0
FLDZ.US,D,20220323,000000,23.9835,23.9835,23.9835,23.9835,64,0
FLDZ.US,D,20220324,000000,24.1791,24.1791,24.1791,24.1791,3,0
FLDZ.US,D,20220325,000000,26.47,26.47,24.33,24.3461,2210,0
FLDZ.US,D,20220328,000000,24.34,24.3767,24.34,24.3767,196,0
FLDZ.US,D,20220329,000000,24.8094,24.8094,24.8094,24.8094,4,0
FLDZ.US,D,20220330,000000,24.5693,24.5693,24.5693,24.5693,4,0
FLDZ.US,D,20220331,000000,24.55,24.55,24.2829,24.2829,150,0
FLDZ.US,D,20220401,000000,24.38,24.4056,24.34,24.4056,901,0
FLDZ.US,D,20220404,000000,24.4332,24.4332,24.4332,24.4332,1,0
FLDZ.US,D,20220405,000000,24.45,24.45,24.1842,24.1842,150,0
FLDZ.US,D,20220406,000000,23.97,24.1415,23.97,24.1415,445,0
FLDZ.US,D,20220407,000000,24.1249,24.1249,24.1249,24.1249,1,0
FLDZ.US,D,20220408,000000,24.2362,24.2362,24.2362,24.2362,44,0
FLDZ.US,D,20220411,000000,24.0948,24.0948,24.0939,24.0939,200,0
FLDZ.US,D,20220412,000000,24.1096,24.1096,24.1096,24.1096,1,0
FLDZ.US,D,20220413,000000,24.3969,24.3969,24.3969,24.3969,1,0
FLDZ.US,D,20220414,000000,24.2851,24.2851,24.2851,24.2851,17,0
FLDZ.US,D,20220418,000000,24.169,24.169,24.169,24.169,28,0
FLDZ.US,D,20220419,000000,24.5981,24.5981,24.5981,24.5981,11,0
FLDZ.US,D,20220420,000000,24.7731,24.7731,24.7731,24.7731,10,0
FLDZ.US,D,20220421,000000,24.5,24.5,24.3182,24.3182,101,0
FLDZ.US,D,20220422,000000,23.6564,23.6564,23.6564,23.6564,11,0
FLDZ.US,D,20220426,000000,23.2158,23.2158,23.2158,23.2158,11,0
FLDZ.US,D,20220427,000000,23.128,23.128,23.128,23.128,11,0
FLDZ.US,D,20220428,000000,23.5036,23.5036,23.5036,23.5036,11,0
FLDZ.US,D,20220429,000000,22.7646,22.7646,22.7646,22.7646,11,0
FLDZ.US,D,20220502,000000,22.5,22.8496,22.5,22.8496,200,0
FLDZ.US,D,20220503,000000,23.1353,23.1353,23.1353,23.1353,11,0
FLDZ.US,D,20220504,000000,23.7314,23.7314,23.7314,23.7314,11,0
FLDZ.US,D,20220505,000000,22.9866,22.9866,22.9866,22.9866,11,0
FLDZ.US,D,20220506,000000,22.8442,22.8442,22.8442,22.8442,11,0
FLDZ.US,D,20220509,000000,22.0126,22.0126,22.0126,22.0126,1,0
FLDZ.US,D,20220510,000000,21.8952,21.8952,21.8952,21.8952,11,0
FLDZ.US,D,20220511,000000,21.5909,21.5909,21.5909,21.5909,11,0
FLDZ.US,D,20220512,000000,21.6862,21.6862,21.6862,21.6862,11,0
FLDZ.US,D,20220513,000000,22.2639,22.2639,22.2639,22.2639,11,0
FLDZ.US,D,20220516,000000,22.2315,22.2315,22.2315,22.2315,1,0
FLDZ.US,D,20220517,000000,22.6927,22.6927,22.6927,22.6927,1,0
FLDZ.US,D,20220518,000000,21.8705,21.8705,21.8705,21.8705,1,0
FLDZ.US,D,20220519,000000,21.8818,21.8818,21.8818,21.8818,1,0
FLDZ.US,D,20220520,000000,21.8136,21.8136,21.8136,21.8136,1,0
FLDZ.US,D,20220523,000000,22.0913,22.0913,22.0913,22.0913,1,0
FLDZ.US,D,20220524,000000,21.9299,21.9299,21.9299,21.9299,1,0
FLDZ.US,D,20220525,000000,22.3976,22.3976,22.3976,22.3976,1,0
FLDZ.US,D,20220526,000000,22.8451,22.8451,22.8451,22.8451,1,0
FLDZ.US,D,20220527,000000,23.122,23.3276,23.122,23.3276,150,0
FLDZ.US,D,20220531,000000,23.15,23.15,23.0983,23.0983,101,0
FLDZ.US,D,20220601,000000,22.85,22.9775,22.85,22.9775,100,0
FLDZ.US,D,20220602,000000,23.2744,23.2744,23.2744,23.2744,1,0
FLDZ.US,D,20220603,000000,23.0803,23.0803,23.0803,23.0803,1,0
FLDZ.US,D,20220606,000000,23.1755,23.1755,23.1755,23.1755,1,0
FLDZ.US,D,20220607,000000,23.426,23.426,23.426,23.426,64,0
FLDZ.US,D,20220608,000000,23.0849,23.0849,23.0849,23.0849,1,0
FLDZ.US,D,20220609,000000,22.946,22.946,22.6359,22.6359,200,0
FLDZ.US,D,20220610,000000,22.05,22.23,22.05,22.1263,200,0
FLDZ.US,D,20220613,000000,21.21,21.21,21.0654,21.0654,135,0
FLDZ.US,D,20220614,000000,20.863,20.863,20.863,20.863,1,0
FLDZ.US,D,20220615,000000,21.0516,21.0516,21.0516,21.0516,1,0
FLDZ.US,D,20220616,000000,20.1995,20.1995,20.1995,20.1995,1,0
FLDZ.US,D,20220617,000000,20.2539,20.2539,20.2539,20.2539,1,0
FLDZ.US,D,20220621,000000,20.6251,20.6251,20.6251,20.6251,1,0
