<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FM.US,D,20120913,000000,18.4609,18.6793,18.4531,18.5745,29906.235820048,0
FM.US,D,20120914,000000,18.693,18.693,18.5814,18.6107,54328.844964229,0
FM.US,D,20120917,000000,18.7224,18.8909,18.6107,18.6519,27659.082158982,0
FM.US,D,20120918,000000,18.6587,18.6587,18.5676,18.644,8974.321072587,0
FM.US,D,20120919,000000,18.9369,18.9369,18.7508,18.885,16690.807837844,0
FM.US,D,20120920,000000,18.885,18.9869,18.8507,18.8507,35810.501890898,0
FM.US,D,20120921,000000,19.0691,19.0691,18.8213,18.8566,13315.482983923,0
FM.US,D,20120924,000000,18.979,19.0339,18.979,19.0015,8286.1876934148,0
FM.US,D,20120925,000000,19.0642,19.2043,18.8155,18.8155,11880.000000071,0
FM.US,D,20120926,000000,18.7449,18.8155,18.7106,18.7106,1551.873496056,0
FM.US,D,20120927,000000,18.7018,19.0015,18.7018,19.0015,31207.971811805,0
FM.US,D,20120928,000000,18.8507,18.9869,18.8507,18.9869,3104.7679615173,0
FM.US,D,20121001,000000,18.9927,19.0486,18.9927,18.9927,9551.1687865815,0
FM.US,D,20121002,000000,19.2405,19.2405,19.029,19.029,5735.8061189754,0
FM.US,D,20121003,000000,19.029,19.0907,19.029,19.076,3528.4702647168,0
FM.US,D,20121004,000000,19.121,19.1965,19.0907,19.1837,9412.3169474607,0
FM.US,D,20121005,000000,19.3326,19.3326,19.1289,19.1289,8906.9370918372,0
FM.US,D,20121008,000000,18.9438,19.1681,18.9438,19.1622,1201.6809900381,0
FM.US,D,20121009,000000,19.2337,19.2337,19.076,19.1112,988.2983843304,0
FM.US,D,20121010,000000,19.1475,19.2836,19.0691,19.0907,5362.1313166356,0
FM.US,D,20121011,000000,19.1837,19.1837,19.1328,19.1475,2658.6043314012,0
FM.US,D,20121012,000000,19.1681,19.1681,19.0417,19.0966,8778.2949467694,0
