<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAST.US,D,20220106,000000,25.16,25.16,25.1,25.1003,617,0
GAST.US,D,20220107,000000,24.5351,24.5351,24.3937,24.3937,209,0
GAST.US,D,20220110,000000,24.21,24.21,24.1921,24.1921,408,0
GAST.US,D,20220111,000000,24.3518,24.3518,24.3518,24.3518,190,0
GAST.US,D,20220112,000000,24.52,24.52,24.4574,24.4574,252,0
GAST.US,D,20220113,000000,24.42,24.42,24.2817,24.2817,155,0
GAST.US,D,20220114,000000,24.2,24.2255,24.2,24.2255,225,0
GAST.US,D,20220118,000000,23.8391,23.8391,23.8391,23.8391,27,0
GAST.US,D,20220119,000000,23.6813,23.6813,23.6813,23.6813,21,0
GAST.US,D,20220120,000000,23.99,23.99,23.405,23.405,327,0
GAST.US,D,20220121,000000,23.1892,23.1892,23.1892,23.1892,93,0
GAST.US,D,20220124,000000,23.3259,23.3259,23.3259,23.3259,7,0
GAST.US,D,20220125,000000,22.9508,22.9508,22.9508,22.9508,61,0
GAST.US,D,20220126,000000,22.7396,22.7396,22.7396,22.7396,6,0
GAST.US,D,20220127,000000,22.54,22.5481,22.54,22.5481,205,0
GAST.US,D,20220128,000000,22.8532,22.8532,22.8532,22.8532,13,0
GAST.US,D,20220131,000000,23.31,23.31,23.31,23.31,1,0
GAST.US,D,20220201,000000,23.4766,23.4766,23.4766,23.4766,2,0
GAST.US,D,20220202,000000,23.5522,23.574,23.5192,23.574,300,0
GAST.US,D,20220203,000000,23.1765,23.1765,23.1765,23.1765,28,0
GAST.US,D,20220204,000000,23.1912,23.1912,23.1912,23.1912,25,0
GAST.US,D,20220207,000000,23.1312,23.1312,23.1312,23.1312,25,0
GAST.US,D,20220208,000000,23.3813,23.3813,23.3813,23.3813,25,0
GAST.US,D,20220209,000000,23.6939,23.6939,23.6939,23.6939,25,0
GAST.US,D,20220210,000000,23.3312,23.3312,23.3312,23.3312,75,0
GAST.US,D,20220211,000000,22.937,22.937,22.937,22.937,3,0
GAST.US,D,20220214,000000,22.835,22.835,22.835,22.835,4,0
GAST.US,D,20220215,000000,23.14,23.2595,23.05,23.2595,600,0
GAST.US,D,20220216,000000,23.3856,23.3856,23.3856,23.3856,2,0
GAST.US,D,20220217,000000,23.083,23.083,22.9329,22.9329,162,0
GAST.US,D,20220218,000000,22.6937,22.6937,22.6937,22.6937,2,0
GAST.US,D,20220222,000000,22.5072,22.5072,22.5072,22.5072,17,0
GAST.US,D,20220223,000000,22.1579,22.1579,22.1579,22.1579,5,0
GAST.US,D,20220224,000000,22.4729,22.4729,22.4729,22.4729,13,0
GAST.US,D,20220225,000000,22.8238,22.8238,22.8238,22.8238,158,0
GAST.US,D,20220228,000000,22.7878,22.7878,22.7878,22.7878,4,0
GAST.US,D,20220301,000000,22.3599,22.3599,22.3599,22.3599,1,0
GAST.US,D,20220302,000000,22.62,22.8036,22.62,22.8036,203,0
GAST.US,D,20220303,000000,22.704,22.704,22.704,22.704,5,0
GAST.US,D,20220304,000000,22.4073,22.4073,22.4073,22.4073,73,0
GAST.US,D,20220307,000000,21.9064,21.9064,21.9064,21.9064,13,0
GAST.US,D,20220308,000000,21.8914,21.8914,21.8914,21.8914,1,0
GAST.US,D,20220309,000000,22.3625,22.3625,22.3625,22.3625,125,0
GAST.US,D,20220310,000000,22.31,22.31,22.2037,22.2037,1104,0
GAST.US,D,20220311,000000,21.8582,21.8582,21.8582,21.8582,34,0
GAST.US,D,20220314,000000,21.7083,21.7083,21.7083,21.7083,1,0
GAST.US,D,20220315,000000,21.9819,21.9819,21.9819,21.9819,2,0
GAST.US,D,20220316,000000,22.5061,22.5061,22.5061,22.5061,2,0
GAST.US,D,20220317,000000,22.7988,22.7988,22.7988,22.7988,66,0
GAST.US,D,20220318,000000,23.0777,23.0777,23.0777,23.0777,2,0
GAST.US,D,20220321,000000,23.05,23.13,22.9467,22.9467,2121,0
GAST.US,D,20220322,000000,23.0189,23.0189,23.0189,23.0189,4,0
GAST.US,D,20220323,000000,22.6772,22.6772,22.6772,22.6772,50,0
GAST.US,D,20220324,000000,22.726,22.726,22.726,22.726,4,0
GAST.US,D,20220325,000000,22.86,22.86,22.8059,22.8059,110,0
GAST.US,D,20220328,000000,22.8069,22.8069,22.8069,22.8069,1,0
GAST.US,D,20220329,000000,23.1665,23.1665,23.1665,23.1665,1,0
GAST.US,D,20220330,000000,22.9075,22.9075,22.9075,22.9075,1,0
GAST.US,D,20220331,000000,22.6643,22.6643,22.6643,22.6643,1,0
GAST.US,D,20220401,000000,22.7869,22.7869,22.7869,22.7869,3,0
GAST.US,D,20220404,000000,22.65,22.8054,22.65,22.8054,1102,0
GAST.US,D,20220405,000000,22.8,22.8,22.42,22.42,503,0
GAST.US,D,20220406,000000,22.2151,22.2151,22.2151,22.2151,1,0
GAST.US,D,20220407,000000,22.2019,22.2019,22.2019,22.2019,1,0
GAST.US,D,20220408,000000,22.0895,22.0895,22.0895,22.0895,1,0
GAST.US,D,20220411,000000,21.9673,21.9673,21.9673,21.9673,3,0
GAST.US,D,20220412,000000,22.21,22.21,21.8872,21.8872,1109,0
GAST.US,D,20220413,000000,22.1375,22.1375,22.1375,22.1375,1,0
GAST.US,D,20220414,000000,21.86,21.86,21.86,21.86,300,0
GAST.US,D,20220418,000000,21.7753,21.7753,21.7753,21.7753,1,0
GAST.US,D,20220419,000000,22.19,22.19,22.1817,22.1817,300,0
GAST.US,D,20220420,000000,22.25,22.25,22.25,22.25,300,0
GAST.US,D,20220421,000000,22.01,22.01,22.01,22.01,300,0
GAST.US,D,20220422,000000,21.6133,21.6133,21.6133,21.6133,81,0
GAST.US,D,20220425,000000,21.39,21.39,21.39,21.39,601,0
GAST.US,D,20220426,000000,21.03,21.03,21.03,21.03,300,0
GAST.US,D,20220427,000000,21.0522,21.0522,21.0522,21.0522,1,0
GAST.US,D,20220428,000000,21.39,21.39,21.39,21.39,300,0
GAST.US,D,20220429,000000,21.46,21.46,20.9914,20.9914,701,0
GAST.US,D,20220502,000000,21.0975,21.0975,21.0975,21.0975,1,0
GAST.US,D,20220503,000000,21.0359,21.0359,21.0359,21.0359,1,0
GAST.US,D,20220504,000000,21.4846,21.4846,21.4846,21.4846,1,0
GAST.US,D,20220505,000000,20.82,20.82,20.82,20.82,300,0
GAST.US,D,20220506,000000,20.62,20.62,20.62,20.62,1,0
GAST.US,D,20220509,000000,20.04,20.04,20.04,20.04,300,0
GAST.US,D,20220510,000000,19.88,19.9011,19.88,19.9011,620,0
GAST.US,D,20220511,000000,19.54,19.54,19.54,19.54,300,0
GAST.US,D,20220512,000000,19.746,19.746,19.746,19.746,1,0
GAST.US,D,20220513,000000,20.16,20.16,20.1454,20.1454,202,0
GAST.US,D,20220516,000000,20,20,20,20,302,0
GAST.US,D,20220517,000000,20.47,20.47,20.4496,20.4496,400,0
GAST.US,D,20220518,000000,19.9148,19.9148,19.9148,19.9148,2,0
GAST.US,D,20220519,000000,20.0172,20.0172,20.0172,20.0172,2,0
GAST.US,D,20220520,000000,19.993,19.993,19.993,19.993,2,0
GAST.US,D,20220523,000000,20.2318,20.2318,20.2318,20.2318,28,0
GAST.US,D,20220524,000000,20.04,20.04,20.04,20.04,100,0
GAST.US,D,20220525,000000,20.2039,20.2039,20.2039,20.2039,2,0
GAST.US,D,20220526,000000,20.5944,20.5944,20.5944,20.5944,1,0
GAST.US,D,20220527,000000,21.0367,21.0367,21.0367,21.0367,1,0
GAST.US,D,20220531,000000,20.9533,20.9533,20.9533,20.9533,1,0
GAST.US,D,20220601,000000,20.88,20.88,20.88,20.88,100,0
GAST.US,D,20220602,000000,21.3435,21.3435,21.3435,21.3435,1,0
GAST.US,D,20220603,000000,21.13,21.13,21.13,21.13,100,0
GAST.US,D,20220606,000000,21.3949,21.3949,21.3949,21.3949,1,0
GAST.US,D,20220607,000000,21.39,21.39,21.3098,21.3098,200,0
GAST.US,D,20220608,000000,21.0982,21.0982,21.0982,21.0982,3,0
GAST.US,D,20220609,000000,20.87,20.87,20.761,20.761,100,0
GAST.US,D,20220610,000000,20.2883,20.2883,20.2883,20.2883,30,0
GAST.US,D,20220613,000000,19.665,19.665,19.665,19.665,1,0
GAST.US,D,20220614,000000,19.5856,19.5856,19.5856,19.5856,20,0
GAST.US,D,20220615,000000,19.8835,19.8835,19.8835,19.8835,1,0
GAST.US,D,20220616,000000,19.243,19.243,19.243,19.243,2,0
GAST.US,D,20220617,000000,19.2799,19.2799,19.2799,19.2799,1,0
GAST.US,D,20220621,000000,19.4708,19.4708,19.4708,19.4708,52,0
GAST.US,D,20220622,000000,19.4665,19.4665,19.4665,19.4665,1,0
GAST.US,D,20220623,000000,19.5473,19.5473,19.5473,19.5473,30,0
GAST.US,D,20220624,000000,20.0228,20.0228,20.0228,20.0228,1,0
GAST.US,D,20220627,000000,20.0092,20.0092,20.0092,20.0092,2,0
GAST.US,D,20220628,000000,19.6717,19.6717,19.6717,19.6717,2,0
GAST.US,D,20220629,000000,19.6004,19.6004,19.6004,19.6004,1,0
GAST.US,D,20220630,000000,19.5265,19.5265,19.5265,19.5265,2,0
GAST.US,D,20220701,000000,19.6779,19.6779,19.6779,19.6779,2,0
GAST.US,D,20220705,000000,19.7522,19.7522,19.7522,19.7522,2,0
GAST.US,D,20220706,000000,19.6699,19.6699,19.6699,19.6699,2,0
GAST.US,D,20220707,000000,19.9635,19.9635,19.9635,19.9635,74,0
GAST.US,D,20220708,000000,19.9222,19.9222,19.9222,19.9222,2,0
GAST.US,D,20220711,000000,19.6775,19.6775,19.6775,19.6775,2,0
GAST.US,D,20220712,000000,19.5243,19.5243,19.5243,19.5243,2,0
GAST.US,D,20220713,000000,19.4743,19.4743,19.4743,19.4743,2,0
GAST.US,D,20220714,000000,19.3375,19.3375,19.3375,19.3375,2,0
GAST.US,D,20220715,000000,19.6268,19.6268,19.6268,19.6268,34,0
GAST.US,D,20220718,000000,19.5055,19.5055,19.5055,19.5055,3,0
GAST.US,D,20220719,000000,20.0598,20.0598,20.0598,20.0598,6,0
GAST.US,D,20220720,000000,20.3299,20.3299,20.3299,20.3299,6,0
GAST.US,D,20220721,000000,20.5633,20.5633,20.5633,20.5633,5,0
GAST.US,D,20220722,000000,20.3935,20.3935,20.3935,20.3935,4,0
GAST.US,D,20220725,000000,20.3761,20.3761,20.3761,20.3761,3,0
GAST.US,D,20220726,000000,20.2612,20.2612,20.2612,20.2612,3,0
GAST.US,D,20220727,000000,20.7369,20.7369,20.7369,20.7369,9,0
GAST.US,D,20220728,000000,21.0451,21.0451,21.0451,21.0451,6,0
GAST.US,D,20220729,000000,21.3522,21.3522,21.3522,21.3522,6,0
GAST.US,D,20220801,000000,21.2898,21.2898,21.2898,21.2898,3,0
