<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDVD.US,D,20220404,000000,24.5028,24.7365,24.5028,24.7365,4169.2788987866,0
GDVD.US,D,20220405,000000,24.8005,24.8005,24.4631,24.5004,8240.7773204983,0
GDVD.US,D,20220406,000000,24.4533,24.4533,24.2489,24.343,22524.791342695,0
GDVD.US,D,20220407,000000,24.3342,24.4433,24.235,24.4328,5627.9216856687,0
GDVD.US,D,20220408,000000,24.4631,24.5822,24.4234,24.4395,3502.9603900589,0
GDVD.US,D,20220411,000000,24.3937,24.4136,24.2253,24.2253,2322.5383420707,0
GDVD.US,D,20220412,000000,24.3937,26.1496,23.8581,24.1436,15599.514255011,0
GDVD.US,D,20220413,000000,24.1656,24.3739,24.1457,24.2777,12393.927480799,0
GDVD.US,D,20220414,000000,24.4036,24.4036,24.2747,24.2747,14050.147314141,0
GDVD.US,D,20220418,000000,24.0961,24.1656,24.0238,24.0247,6447.4632100192,0
GDVD.US,D,20220419,000000,24.0862,24.245,24.0762,24.245,17288.999611482,0
GDVD.US,D,20220420,000000,24.3739,24.4433,24.245,24.3165,13501.770205597,0
GDVD.US,D,20220421,000000,24.483,24.4929,24.0171,24.0171,10109.694892633,0
GDVD.US,D,20220422,000000,24.1259,24.1259,23.6014,23.6014,5676.3079011285,0
GDVD.US,D,20220425,000000,23.3025,23.3521,23.3025,23.3125,1875.9738952229,0
GDVD.US,D,20220426,000000,23.372,23.372,23.0623,23.0623,3437.4373899571,0
GDVD.US,D,20220427,000000,23.3125,23.3521,23.1237,23.1237,5602.7205317834,0
GDVD.US,D,20220428,000000,23.3025,23.5803,23.1636,23.4943,2777.1671581618,0
GDVD.US,D,20220429,000000,23.4612,23.4612,23.0415,23.0415,1455.6186484158,0
GDVD.US,D,20220502,000000,22.8779,23.0347,22.866,22.9721,4835.5974075144,0
GDVD.US,D,20220503,000000,23.1565,23.1565,23.1565,23.1565,171.36784642015,0
GDVD.US,D,20220504,000000,23.233,23.6967,23.1884,23.6967,2320.5222497599,0
GDVD.US,D,20220505,000000,23.2529,23.2529,22.9751,23.0976,8439.3624131145,0
GDVD.US,D,20220506,000000,22.8164,22.8419,22.7965,22.8419,1614.889940971,0
GDVD.US,D,20220509,000000,22.5188,22.5188,22.2787,22.2787,614.9081548017,0
GDVD.US,D,20220510,000000,22.3403,22.3501,22.2614,22.2614,586.68286245015,0
GDVD.US,D,20220511,000000,22.5188,22.5188,22.1026,22.1026,622.97252404501,0
GDVD.US,D,20220512,000000,21.9633,22.0808,21.9236,22.0808,1536.2623408488,0
GDVD.US,D,20220513,000000,22.4792,22.5665,22.4792,22.5665,377.00926212432,0
GDVD.US,D,20220516,000000,22.6576,22.6576,22.5778,22.5778,103.8287540075,0
GDVD.US,D,20220517,000000,22.8245,22.9653,22.8164,22.9183,15170.086592805,0
GDVD.US,D,20220518,000000,22.5634,22.5634,22.1708,22.1708,358.8644313269,0
GDVD.US,D,20220519,000000,22.0426,22.0955,22.0426,22.0955,1050.38409394,0
GDVD.US,D,20220520,000000,22.2702,22.2702,22.2702,22.2702,129.02990789282,0
GDVD.US,D,20220523,000000,22.5918,22.5918,22.5918,22.5918,107.86093862915,0
GDVD.US,D,20220524,000000,22.5805,22.5805,22.5805,22.5805,756.03461655947,0
GDVD.US,D,20220525,000000,22.5585,22.7172,22.5585,22.7041,428.41961605037,0
GDVD.US,D,20220526,000000,23.0058,23.0058,23.0058,23.0058,10.080461554126,0
GDVD.US,D,20220527,000000,23.2706,23.2706,23.2706,23.2706,51.410353926044,0
GDVD.US,D,20220531,000000,23.1736,23.3125,23.1736,23.1899,656.23804717362,0
GDVD.US,D,20220601,000000,22.9156,23.0049,22.8759,22.9905,705.63230878884,0
GDVD.US,D,20220602,000000,22.9653,23.2647,22.9653,23.2647,763.09093964736,0
GDVD.US,D,20220603,000000,23.1537,23.1537,23.072,23.072,154.23106177813,0
GDVD.US,D,20220606,000000,23.243,23.243,23.1038,23.1038,211.68969263665,0
GDVD.US,D,20220607,000000,23.1239,23.2182,23.114,23.2182,252.01153885316,0
GDVD.US,D,20220608,000000,23.1834,23.1834,23.0098,23.0098,606.8437855584,0
GDVD.US,D,20220609,000000,22.866,22.866,22.5735,22.5735,867.92773981027,0
GDVD.US,D,20220610,000000,22.3204,22.3204,22.1121,22.1145,372.97707750267,0
GDVD.US,D,20220613,000000,21.5367,21.5367,21.4048,21.4048,404.22650832046,0
GDVD.US,D,20220614,000000,21.3384,21.3384,21.2193,21.2293,474.78973919935,0
GDVD.US,D,20220615,000000,21.4078,21.4845,21.4078,21.4845,211.68969263665,0
GDVD.US,D,20220616,000000,21.0506,21.0506,20.9565,20.9565,218.74601572454,0
GDVD.US,D,20220617,000000,21.1201,21.1201,20.9482,20.9482,323.58281588745,0
GDVD.US,D,20220621,000000,21.4176,21.4176,21.3423,21.3423,242.93912345444,0
GDVD.US,D,20220622,000000,21.153,21.2754,21.0694,21.2754,10193.362723533,0
GDVD.US,D,20220623,000000,21.2689,21.3287,21.2689,21.3287,134.07013866988,0
GDVD.US,D,20220624,000000,21.812,21.8608,21.812,21.8608,200.57775638,0
GDVD.US,D,20220627,000000,21.9566,22.0064,21.9274,21.9274,20380.705825772,0
GDVD.US,D,20220628,000000,22.1859,22.1859,21.6696,21.6696,7849.6104959313,0
GDVD.US,D,20220629,000000,21.6295,21.6295,21.6295,21.6295,1639.7231584065,0
GDVD.US,D,20220630,000000,21.4879,21.5876,21.4879,21.5876,202.5835339438,0
GDVD.US,D,20220701,000000,21.5976,21.7671,21.5976,21.7298,5816.75493502,0
GDVD.US,D,20220705,000000,21.5103,21.5103,21.5103,21.5103,50.144439095,0
GDVD.US,D,20220706,000000,21.6375,21.6375,21.5401,21.5401,303.8753009157,0
GDVD.US,D,20220707,000000,21.8456,21.8456,21.7983,21.7983,616.7766008685,0
GDVD.US,D,20220708,000000,21.9466,21.9466,21.7836,21.7836,6064.4684641493,0
GDVD.US,D,20220711,000000,21.6574,21.6574,21.5653,21.5653,603.7390467038,0
GDVD.US,D,20220712,000000,21.5068,21.5068,21.5068,21.5068,250.722195475,0
GDVD.US,D,20220713,000000,21.3882,21.5378,21.3583,21.514,437.2595089084,0
GDVD.US,D,20220714,000000,21.2486,21.4381,21.2486,21.4322,2331.7164179175,0
GDVD.US,D,20220715,000000,21.4878,21.6275,21.4181,21.5709,13652.324988005,0
GDVD.US,D,20220718,000000,21.6764,21.6864,21.5662,21.5662,4902.1203659272,0
GDVD.US,D,20220719,000000,21.9948,21.9948,21.9948,21.9948,208.6008666352,0
GDVD.US,D,20220720,000000,22.0862,22.0862,21.9776,21.9776,205.5922002895,0
GDVD.US,D,20220721,000000,22.0064,22.0546,22.0064,22.0546,609.7563793952,0
GDVD.US,D,20220722,000000,21.9528,21.9528,21.9528,21.9528,1.0028887819,0
GDVD.US,D,20220725,000000,22.0314,22.0314,22.0314,22.0314,52.1502166588,0
GDVD.US,D,20220726,000000,22.0386,22.0386,22.0386,22.0386,1.0028887819,0
