<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GFOF.US,D,20220203,000000,22.7479,22.9404,22.1803,22.238,38649.361034767,0
GFOF.US,D,20220204,000000,22.3631,24.0662,22.1706,23.8547,39890.181047015,0
GFOF.US,D,20220207,000000,24.7592,25.3365,24.5523,24.6022,104970.8789256,0
GFOF.US,D,20220208,000000,24.3261,24.8063,23.9557,24.8063,13614.726114288,0
GFOF.US,D,20220209,000000,25.3461,26.395,25.1345,26.395,49682.682701464,0
GFOF.US,D,20220210,000000,25.6155,27.4438,25.5963,25.6829,47911.864191522,0
GFOF.US,D,20220211,000000,25.7791,26.3661,24.3934,24.6167,27981.842252753,0
GFOF.US,D,20220214,000000,24.4608,25.1152,24.0567,24.3165,18706.868543111,0
GFOF.US,D,20220215,000000,25.3461,25.9427,25.2114,25.8708,35806.074976551,0
GFOF.US,D,20220216,000000,25.606,25.912,25.1633,25.6277,8773.0339559437,0
GFOF.US,D,20220217,000000,25.0671,25.1152,23.6911,23.7688,20766.588194933,0
GFOF.US,D,20220218,000000,23.7295,23.7776,22.7769,23.0174,41098.785464305,0
GFOF.US,D,20220222,000000,22.2092,22.7384,21.7473,22.1225,115428.47673401,0
GFOF.US,D,20220223,000000,22.5555,22.6758,21.1701,21.1701,40583.335944979,0
GFOF.US,D,20220224,000000,19.6398,22.416,19.5051,22.3448,14398.292520682,0
GFOF.US,D,20220225,000000,23.0463,23.2003,22.3727,22.9418,10516.83293463,0
GFOF.US,D,20220228,000000,22.5364,24.3646,22.5364,24.0023,8200.4277358863,0
GFOF.US,D,20220301,000000,24.99,24.99,23.7816,24.2202,28384.017583356,0
GFOF.US,D,20220302,000000,24.1818,24.4704,23.8257,24.4139,13318.550483224,0
GFOF.US,D,20220303,000000,24.557,24.557,22.9404,22.9581,12009.142430098,0
GFOF.US,D,20220304,000000,22.4016,22.4882,21.0449,21.2492,15158.996246784,0
GFOF.US,D,20220307,000000,21.295,21.3152,20.3144,20.3231,16651.305742251,0
GFOF.US,D,20220308,000000,20.1787,21.5259,20.073,20.8042,21314.253309217,0
GFOF.US,D,20220309,000000,22.4208,23.1232,22.3439,22.9704,15111.192460718,0
GFOF.US,D,20220310,000000,22.2476,22.4859,21.9108,22.4859,3405.500150868,0
GFOF.US,D,20220311,000000,22.7577,22.7577,21.0255,21.0875,10595.813102914,0
GFOF.US,D,20220314,000000,20.9966,21.0399,19.8515,20.0954,7742.1349172922,0
GFOF.US,D,20220315,000000,20.0922,20.7106,19.9557,20.7106,7391.920223718,0
GFOF.US,D,20220316,000000,21.5163,22.686,21.5163,22.686,5183.5931499938,0
GFOF.US,D,20220317,000000,22.44,23.7488,22.44,23.7488,13484.824521716,0
GFOF.US,D,20220318,000000,23.5756,24.9599,23.5756,24.9599,4895.7312208542,0
GFOF.US,D,20220321,000000,24.7976,24.7976,23.8258,24.4579,5758.2777955324,0
GFOF.US,D,20220322,000000,25.3076,26.2987,25.3076,26.087,64448.85653231,0
GFOF.US,D,20220323,000000,25.9139,26.5874,25.4231,25.8026,62603.214705047,0
GFOF.US,D,20220324,000000,26.0293,26.6259,25.4808,26.5778,40689.335644518,0
GFOF.US,D,20220325,000000,26.9243,26.9435,25.5772,25.8383,7785.7818523964,0
GFOF.US,D,20220328,000000,26.8377,27.7662,26.4239,27.2706,27239.844355982,0
GFOF.US,D,20220329,000000,27.492,28.0982,26.9146,27.8886,12363.513974634,0
GFOF.US,D,20220330,000000,27.6459,27.6459,26.3902,26.4868,10428.499851682,0
GFOF.US,D,20220331,000000,26.674,26.674,25.6103,25.6103,7985.310698587,0
GFOF.US,D,20220401,000000,25.6829,25.8754,25.3654,25.5873,6349.5898449202,0
GFOF.US,D,20220404,000000,25.7021,26.4046,25.7021,26.3133,29324.505113577,0
GFOF.US,D,20220405,000000,26.4046,26.4046,24.8939,24.9606,17081.53981685,0
GFOF.US,D,20220406,000000,24.432,24.432,23.4023,23.7681,17139.735730322,0
GFOF.US,D,20220407,000000,23.3254,23.3831,22.6037,23.139,11524.869292989,0
GFOF.US,D,20220408,000000,23.1232,23.1232,22.4785,22.4785,8640.01472515,0
GFOF.US,D,20220411,000000,21.882,22.1514,21.7761,21.7761,6284.1194422639,0
GFOF.US,D,20220412,000000,22.2669,22.4305,21.4585,21.5246,14679.919173378,0
GFOF.US,D,20220413,000000,21.93,22.185,21.93,22.1609,12062.142279867,0
GFOF.US,D,20220414,000000,21.7856,21.8242,21.2468,21.2612,14662.252556789,0
GFOF.US,D,20220418,000000,21.1411,21.2564,20.5107,21.0255,15066.506312873,0
GFOF.US,D,20220419,000000,21.0688,21.93,21.0688,21.7857,12186.847808736,0
GFOF.US,D,20220420,000000,21.9397,21.9397,20.9293,20.9428,6998.0585950397,0
GFOF.US,D,20220421,000000,21.3912,21.5913,19.9872,20.0633,10709.087291637,0
GFOF.US,D,20220422,000000,19.8901,20.1017,19.2453,19.2525,9565.9532770033,0
GFOF.US,D,20220425,000000,18.9663,19.6589,18.9663,19.5629,5822.7089854481,0
GFOF.US,D,20220426,000000,19.3128,19.3128,18.2831,18.3022,17293.539215927,0
GFOF.US,D,20220427,000000,18.3023,18.3023,18.1195,18.1292,7097.823018135,0
GFOF.US,D,20220428,000000,18.4563,19.0049,17.8356,18.8719,28103.4301434,0
GFOF.US,D,20220429,000000,18.9856,19.1588,17.9817,17.9817,11558.124100688,0
GFOF.US,D,20220502,000000,17.9463,18.6551,17.9463,18.6551,4162.0470260074,0
GFOF.US,D,20220503,000000,18.5044,18.8892,18.3985,18.5862,5564.9842257852,0
GFOF.US,D,20220504,000000,18.4082,19.4185,17.9366,19.3319,8146.3886733763,0
GFOF.US,D,20220505,000000,18.8846,18.8846,17.571,17.7459,7441.8024352657,0
GFOF.US,D,20220506,000000,17.5903,17.5903,16.8106,17.2341,13096.15895674,0
GFOF.US,D,20220509,000000,16.2622,16.2622,14.7227,14.8059,18251.693362739,0
GFOF.US,D,20220510,000000,15.377,15.7042,14.4437,14.6083,37048.97341428,0
GFOF.US,D,20220511,000000,13.8086,14.2647,12.7982,12.8559,70934.583246246,0
GFOF.US,D,20220512,000000,11.9416,12.7799,11.653,12.7097,13418.314906319,0
GFOF.US,D,20220513,000000,13.9721,14.4051,13.7413,14.1338,6331.9232283304,0
GFOF.US,D,20220516,000000,14.1646,14.1646,13.4237,13.4432,3744.2835042958,0
GFOF.US,D,20220517,000000,13.8952,14.1453,13.616,14.1453,24092.068964777,0
GFOF.US,D,20220518,000000,13.8952,14.0876,13.3322,13.3745,92174.013238141,0
GFOF.US,D,20220519,000000,13.8086,14.2669,13.8086,13.8556,44079.247604277,0
GFOF.US,D,20220520,000000,14.0491,14.0491,12.9618,13.4939,10385.892129318,0
GFOF.US,D,20220523,000000,13.3467,13.6738,13.3467,13.5391,8853.0533369681,0
GFOF.US,D,20220524,000000,13.2792,13.2792,12.596,12.6928,9588.815957296,0
GFOF.US,D,20220525,000000,12.6826,13.1734,12.6826,13.057,3426.2844056795,0
GFOF.US,D,20220526,000000,12.8752,13.445,12.7982,13.445,3313.0102169567,0
GFOF.US,D,20220527,000000,13.8855,14.2126,13.7893,14.1435,20145.138976068,0
GFOF.US,D,20220531,000000,14.7516,14.9171,14.4437,14.4437,6328.8055901087,0
GFOF.US,D,20220601,000000,14.5398,14.5398,13.5461,13.5604,10584.381762768,0
