<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPOW.US,D,20230717,000000,40.475,40.475,40.4096,40.4096,205,0
GPOW.US,D,20230718,000000,40.7703,40.7703,40.7703,40.7703,2,0
GPOW.US,D,20230719,000000,40.9856,40.9856,40.9856,40.9856,3,0
GPOW.US,D,20230720,000000,41.1933,41.1933,41.1933,41.1933,2,0
GPOW.US,D,20230721,000000,41.4815,41.4815,41.4815,41.4815,2,0
GPOW.US,D,20230724,000000,41.6,41.6314,41.6,41.6314,400,0
GPOW.US,D,20230725,000000,41.5488,41.5488,41.5488,41.5488,2,0
GPOW.US,D,20230726,000000,41.4933,41.4933,41.4933,41.4933,7,0
GPOW.US,D,20230727,000000,41,41,40.9902,40.9902,114,0
GPOW.US,D,20230728,000000,40.96,41.0943,40.96,41.0943,300,0
GPOW.US,D,20230731,000000,41.4969,41.4969,41.4969,41.4969,9,0
GPOW.US,D,20230801,000000,41.0861,41.0861,41.0861,41.0861,3,0
GPOW.US,D,20230802,000000,40.7,40.7,40.7,40.7,102,0
GPOW.US,D,20230803,000000,40.78,40.78,40.78,40.78,107,0
GPOW.US,D,20230804,000000,40.56,40.56,40.56,40.56,109,0
GPOW.US,D,20230807,000000,40.5617,40.64,40.5617,40.64,301,0
GPOW.US,D,20230808,000000,40.5151,40.5151,40.5151,40.5151,2,0
GPOW.US,D,20230809,000000,40.94,40.94,40.94,40.94,111,0
GPOW.US,D,20230810,000000,40.9084,40.9084,40.89,40.89,225,0
GPOW.US,D,20230811,000000,40.95,41.05,40.9442,41.0236,1100,0
GPOW.US,D,20230814,000000,40.7627,40.7627,40.7627,40.7627,1,0
GPOW.US,D,20230815,000000,40.21,40.21,40.21,40.21,200,0
GPOW.US,D,20230816,000000,40.1,40.11,40.07,40.07,755,0
GPOW.US,D,20230817,000000,40.26,40.26,40.26,40.26,200,0
GPOW.US,D,20230818,000000,40.4387,40.4387,40.4387,40.4387,1,0
GPOW.US,D,20230821,000000,40.4058,40.4058,40.4058,40.4058,1,0
GPOW.US,D,20230822,000000,40.32,40.32,40.32,40.32,107,0
GPOW.US,D,20230823,000000,40.31,40.4508,40.3,40.4508,2602,0
GPOW.US,D,20230824,000000,40.15,40.15,40.15,40.15,308,0
GPOW.US,D,20230825,000000,40.33,40.525,40.175,40.3479,2522,0
GPOW.US,D,20230828,000000,40.6137,40.6137,40.6137,40.6137,1,0
GPOW.US,D,20230829,000000,40.8934,40.8934,40.8934,40.8934,1,0
GPOW.US,D,20230830,000000,40.9479,40.9479,40.9479,40.9479,30,0
GPOW.US,D,20230831,000000,40.96,40.96,40.96,40.96,110,0
GPOW.US,D,20230901,000000,41.2223,41.2223,41.2223,41.2223,3,0
GPOW.US,D,20230905,000000,41.07,41.07,41.07,41.07,100,0
GPOW.US,D,20230906,000000,40.09,40.09,40.09,40.09,100,0
GPOW.US,D,20230907,000000,40.11,40.11,40.11,40.11,100,0
