<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPTY.US,D,20250205,000000,48.88,49.5137,48.55,49.07,80601,0
GPTY.US,D,20250206,000000,48.9,49.12,48.8,49.08,15422,0
GPTY.US,D,20250207,000000,48.98,49.1,48.3747,48.463,45911,0
GPTY.US,D,20250210,000000,48.5897,49.3762,48.52,49.0707,29157,0
GPTY.US,D,20250211,000000,48.86,49.11,48.32,48.376,19612,0
GPTY.US,D,20250212,000000,48.1,48.7,48.0269,48.51,32102,0
GPTY.US,D,20250213,000000,48.28,48.57,48.1438,48.5425,21893,0
GPTY.US,D,20250214,000000,48.55,48.76,48.25,48.4,19620,0
GPTY.US,D,20250218,000000,48.87,48.88,48.481,48.6896,49361,0
GPTY.US,D,20250219,000000,48.6903,48.85,48.0501,48.37,28616,0
