<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GREI.US,D,20211112,000000,39.4686,39.4884,39.371,39.4626,15192.815734805,0
GREI.US,D,20211115,000000,39.6068,39.6166,39.5121,39.5674,6714.871940413,0
GREI.US,D,20211116,000000,39.6266,39.7055,39.5278,39.5278,5508.079654155,0
GREI.US,D,20211117,000000,39.4686,39.5377,39.1459,39.5278,10245.068687116,0
GREI.US,D,20211118,000000,39.5476,39.5674,39.4499,39.5081,2124.8055619505,0
GREI.US,D,20211119,000000,39.371,39.44,39.2939,39.3413,2397.3724175369,0
GREI.US,D,20211122,000000,39.1934,39.2625,39.0769,39.1143,6340.9791162071,0
GREI.US,D,20211123,000000,39.1143,39.2052,39.0857,39.2052,10249.12172586,0
GREI.US,D,20211124,000000,39.213,39.5872,39.213,39.5595,10599.709577284,0
GREI.US,D,20211126,000000,39.1045,39.1045,38.7798,38.7837,1594.8707460706,0
GREI.US,D,20211129,000000,39.0946,39.1193,38.9377,39.0759,3070.1768491702,0
GREI.US,D,20211130,000000,39.0118,39.0118,38.4354,38.4354,11283.659865465,0
GREI.US,D,20211201,000000,38.9081,38.9328,38.2064,38.2064,1030.4851008601,0
GREI.US,D,20211202,000000,38.5588,38.8538,38.5588,38.7699,1320.2773711118,0
GREI.US,D,20211203,000000,38.8686,38.8686,38.3909,38.5745,1174.3679762998,0
GREI.US,D,20211206,000000,38.9821,39.1934,38.9821,39.1934,626.19448606839,0
GREI.US,D,20211207,000000,39.6473,39.6987,39.6473,39.6987,137.80331732249,0
GREI.US,D,20211208,000000,39.824,39.9325,39.824,39.9325,1034.5381396048,0
GREI.US,D,20211209,000000,39.6216,39.7736,39.6176,39.666,5054.1393147397,0
GREI.US,D,20211210,000000,39.5872,39.6562,39.5822,39.6038,2343.6696541686,0
GREI.US,D,20211213,000000,39.4983,39.8279,39.4983,39.8279,801.48841178008,0
GREI.US,D,20211214,000000,39.518,39.523,39.292,39.4154,1312.1712936223,0
GREI.US,D,20211215,000000,39.5081,39.9335,39.5081,39.9335,1770.1646717824,0
GREI.US,D,20211216,000000,39.9217,39.9759,39.814,39.901,866.33703169656,0
GREI.US,D,20211217,000000,40.0105,40.0845,39.7825,39.7825,4037.8398494863,0
GREI.US,D,20211220,000000,39.44,39.6957,39.2821,39.6118,7467.7238872557,0
GREI.US,D,20211221,000000,39.8427,40.0006,39.8427,39.9808,12603.937236577,0
GREI.US,D,20211222,000000,39.9217,40.3105,39.9217,40.3105,1059.8696317598,0
GREI.US,D,20211223,000000,40.3598,40.3746,40.3549,40.3746,605.92929234449,0
GREI.US,D,20211227,000000,40.5232,40.7515,40.5232,40.7515,869.37681075514,0
GREI.US,D,20211228,000000,40.9964,41.0162,40.9273,40.9718,3596.0586263053,0
GREI.US,D,20211229,000000,41.0655,41.3616,41.0309,41.2308,11071.888591051,0
GREI.US,D,20211230,000000,41.2431,41.3616,41.2431,41.2954,293.8453089965,0
GREI.US,D,20211231,000000,41.4513,41.4704,41.4513,41.4704,287.76575087933,0
GREI.US,D,20220103,000000,41.0704,41.1797,41.0704,41.1797,653.55249759564,0
GREI.US,D,20220104,000000,41.2629,41.4404,40.9805,41.0162,2645.6210406546,0
GREI.US,D,20220105,000000,40.9175,40.9175,40.1347,40.1347,11480.232244587,0
GREI.US,D,20220106,000000,39.9207,39.9207,39.6157,39.6866,2003.2143996071,0
GREI.US,D,20220107,000000,39.7135,39.7233,39.6098,39.6098,4143.2188568506,0
GREI.US,D,20220110,000000,39.3383,39.3383,39.1015,39.2496,6861.7945949112,0
GREI.US,D,20220111,000000,39.2002,39.3976,39.2002,39.3976,12803.549394758,0
GREI.US,D,20220112,000000,39.4074,39.5456,39.4074,39.5353,13528.030070387,0
GREI.US,D,20220113,000000,39.5852,39.7135,39.4765,39.4765,11288.726163897,0
GREI.US,D,20220114,000000,39.3286,39.4963,38.877,39.1904,114269.34785093,0
GREI.US,D,20220118,000000,38.7166,38.7166,38.46,38.6133,8896.4200447904,0
GREI.US,D,20220119,000000,38.9436,38.9436,38.5883,38.5883,7996.6454434494,0
GREI.US,D,20220120,000000,38.8745,38.9338,38.4094,38.4094,3300.1867979364,0
GREI.US,D,20220121,000000,38.3515,38.4403,38.1245,38.1458,4413.7591930645,0
GREI.US,D,20220124,000000,37.7001,37.9666,37.0192,37.9073,6456.4907204333,0
GREI.US,D,20220125,000000,37.4731,37.6709,37.3743,37.6709,11663.632247788,0
GREI.US,D,20220126,000000,38.006,38.0652,37.2264,37.3843,3587.9525488158,0
GREI.US,D,20220127,000000,37.2166,37.2166,36.9401,36.9401,7818.3117386791,0
GREI.US,D,20220128,000000,36.881,37.5817,36.881,37.5817,2665.8862343786,0
GREI.US,D,20220131,000000,38.0652,38.1825,38.0652,38.1825,212.78453410091,0
GREI.US,D,20220201,000000,38.1866,38.1866,38.1866,38.1866,44.583426192571,0
GREI.US,D,20220202,000000,38.4502,38.5291,38.4304,38.4897,15066.15827403,0
GREI.US,D,20220203,000000,38.3317,38.4106,38.0751,38.1442,2488.5657892944,0
GREI.US,D,20220204,000000,37.8482,37.9764,37.4831,37.7962,1641.4806916356,0
GREI.US,D,20220207,000000,37.712,37.8185,37.631,37.6705,4158.4177521435,0
GREI.US,D,20220208,000000,37.6014,37.7494,37.6014,37.6014,3907.1293499671,0
GREI.US,D,20220209,000000,38.1147,38.306,38.1147,38.306,1125.7315113625,0
GREI.US,D,20220210,000000,37.9864,38.3614,37.7483,37.7483,7161.7194620249,0
GREI.US,D,20220211,000000,37.4632,37.4632,37.1375,37.2461,3281.948123585,0
GREI.US,D,20220214,000000,36.9797,36.9797,36.6442,36.7428,17043.027921797,0
GREI.US,D,20220215,000000,37.3251,37.3449,37.2085,37.2085,2009.2939577243,0
GREI.US,D,20220216,000000,37.3645,37.4731,37.2166,37.4255,6613.5459717935,0
GREI.US,D,20220217,000000,37.2658,37.2658,37.0684,37.0882,17402.735110396,0
GREI.US,D,20220218,000000,37.0487,37.0487,36.8861,36.8861,405.30387447792,0
GREI.US,D,20220222,000000,36.8218,36.8218,36.6483,36.6483,500.55028498023,0
GREI.US,D,20220223,000000,36.9204,36.9204,36.2546,36.2546,128.68398014674,0
GREI.US,D,20220224,000000,35.7756,36.6639,35.5387,36.654,19288.411386404,0
GREI.US,D,20220225,000000,37.108,37.53,37.108,37.53,8072.639919914,0
GREI.US,D,20220228,000000,37.3837,37.5027,37.1968,37.2585,9511.4686743106,0
GREI.US,D,20220301,000000,37.0487,37.0487,36.5257,36.7342,1226.0442202957,0
GREI.US,D,20220302,000000,37.2116,37.3349,37.1573,37.3007,2907.0420396929,0
GREI.US,D,20220303,000000,37.2658,37.2658,36.9797,37.0933,3523.1039288993,0
GREI.US,D,20220304,000000,37.1375,37.1375,36.9315,37.1136,4779.5459397809,0
GREI.US,D,20220307,000000,36.9631,36.9895,36.6488,36.6488,333.36243675809,0
GREI.US,D,20220308,000000,36.7705,36.7705,36.6727,36.6727,265.47403778304,0
GREI.US,D,20220309,000000,37.7692,37.7692,37.4731,37.4731,7257.9791322134,0
GREI.US,D,20220310,000000,37.3251,37.3251,37.187,37.187,253.3149215487,0
GREI.US,D,20220311,000000,37.1573,37.1968,37.1475,37.1485,911.93371757532,0
GREI.US,D,20220314,000000,37.4203,37.4238,37.023,37.023,1474.2928434135,0
GREI.US,D,20220315,000000,37.3645,37.4731,37.2535,37.4109,7275.2045468787,0
GREI.US,D,20220316,000000,37.9568,37.9568,37.8333,37.8333,454.95359910146,0
GREI.US,D,20220317,000000,38.3614,38.4106,38.3415,38.3415,1182.4740537893,0
GREI.US,D,20220318,000000,38.4255,38.5982,38.4255,38.5534,1553.3270989366,0
GREI.US,D,20220321,000000,38.0652,38.845,38.0652,38.845,1932.2862215735,0
GREI.US,D,20220322,000000,38.3614,38.4798,38.3121,38.3712,6721.9647582163,0
GREI.US,D,20220323,000000,37.9381,38.0258,37.7988,37.7988,2906.0287800066,0
GREI.US,D,20220324,000000,38.1589,38.1589,38.1589,38.1589,64.848619916468,0
GREI.US,D,20220325,000000,38.4704,38.5989,38.3073,38.5879,1771.4644883733,0
GREI.US,D,20220328,000000,38.7571,38.797,38.7571,38.797,2618.2467709367,0
GREI.US,D,20220329,000000,39.3797,39.6374,39.3284,39.6374,638.37469569592,0
GREI.US,D,20220330,000000,39.5874,39.6417,39.5536,39.6091,3391.175879513,0
GREI.US,D,20220331,000000,39.7158,39.7158,39.3116,39.3116,406.69830058599,0
GREI.US,D,20220401,000000,39.3206,39.7926,39.3206,39.7926,1146.241727771,0
GREI.US,D,20220404,000000,39.5874,39.6664,39.5874,39.6573,396.58142743709,0
GREI.US,D,20220405,000000,39.7626,39.8345,39.6747,39.6747,788.10441829972,0
GREI.US,D,20220406,000000,39.3797,39.7563,39.3797,39.7563,1367.801249732,0
GREI.US,D,20220407,000000,39.3649,39.5982,39.3649,39.5497,16981.171580437,0
GREI.US,D,20220408,000000,39.4391,39.5726,39.3897,39.4786,1836.2124765263,0
GREI.US,D,20220411,000000,39.3995,39.3995,39.0831,39.0831,644.44481958526,0
GREI.US,D,20220412,000000,39.0635,39.0635,38.8986,38.8986,477.51641262833,0
GREI.US,D,20220413,000000,39.019,39.0945,39.019,39.0945,479.53978725811,0
GREI.US,D,20220414,000000,39.1228,39.1326,38.9595,38.9595,58596.929278459,0
GREI.US,D,20220418,000000,38.9251,38.9251,38.6234,38.748,1879.7150310666,0
GREI.US,D,20220419,000000,38.6484,39.1632,38.6484,39.1632,6229.9704850959,0
GREI.US,D,20220420,000000,39.528,39.8345,39.528,39.722,1781.5813615222,0
GREI.US,D,20220421,000000,39.953,39.963,39.2809,39.2864,3334.5213898792,0
GREI.US,D,20220422,000000,38.9251,38.9251,38.6263,38.6263,793.16285487417,0
GREI.US,D,20220425,000000,38.5297,38.5297,38.5297,38.5297,652.53831810439,0
GREI.US,D,20220426,000000,38.1936,38.1936,38.005,38.005,587.7903299514,0
GREI.US,D,20220427,000000,37.8129,37.8129,37.8129,37.8129,20.233746297811,0
GREI.US,D,20220428,000000,38.1553,38.1553,38.1553,38.1553,98.133669544381,0
GREI.US,D,20220429,000000,37.9069,37.9465,36.9383,37.0025,3193.8968531094,0
GREI.US,D,20220502,000000,36.1969,36.3502,35.9202,36.3502,895.34327367811,0
GREI.US,D,20220503,000000,36.7505,36.7505,36.6152,36.6152,1020.7925007245,0
GREI.US,D,20220504,000000,36.6912,37.0228,36.6912,37.0228,269.10882576088,0
GREI.US,D,20220505,000000,36.1883,36.1969,36.1883,36.1883,614.09420013855,0
GREI.US,D,20220506,000000,35.4533,35.8164,35.4533,35.6879,3950.6389646475,0
GREI.US,D,20220509,000000,35.169,35.169,34.2793,34.3874,1894.89034079,0
GREI.US,D,20220510,000000,34.7736,34.7736,34.0456,34.0456,559.46308513446,0
GREI.US,D,20220511,000000,34.2201,34.2201,34.1533,34.1533,505.84365744526,0
GREI.US,D,20220512,000000,33.9037,33.9174,33.9037,33.9174,1047.0963709117,0
GREI.US,D,20220513,000000,34.7242,34.8268,34.7242,34.8268,275.17894965022,0
GREI.US,D,20220516,000000,34.7944,34.9911,34.7944,34.8446,728.41486672118,0
GREI.US,D,20220517,000000,35.0306,35.3086,35.0306,35.3086,1121.9612322136,0
GREI.US,D,20220518,000000,35.0998,35.2085,34.5067,34.5351,2467.505361018,0
GREI.US,D,20220519,000000,34.8922,34.8922,34.7589,34.7589,3742.2313777801,0
GREI.US,D,20220520,000000,35.1295,35.1295,34.6846,35.0199,3312.2642689516,0
GREI.US,D,20220523,000000,35.1887,35.5149,35.1887,35.5126,3613.747088789,0
GREI.US,D,20220524,000000,35.3074,35.793,35.3074,35.793,4247.0633479104,0
GREI.US,D,20220525,000000,35.9417,35.9417,35.9202,35.9202,3053.2723163396,0
GREI.US,D,20220526,000000,36.1697,36.1697,36.1082,36.1082,530.12415300264,0
GREI.US,D,20220527,000000,36.6318,36.6758,36.6318,36.6758,734.48499061052,0
GREI.US,D,20220531,000000,36.4638,36.5034,36.3057,36.3057,2768.9881808554,0
GREI.US,D,20220601,000000,36.3452,36.3452,35.7126,36.0518,1163.4404121241,0
GREI.US,D,20220602,000000,35.8757,36.5803,35.8757,36.5803,433.00217077314,0
GREI.US,D,20220603,000000,36.3946,36.3946,36.2612,36.2612,412.76842447533,0
GREI.US,D,20220606,000000,36.4886,36.4886,36.276,36.276,238.75820631416,0
GREI.US,D,20220607,000000,35.9103,36.4446,35.9103,36.4446,731.44992866585,0
GREI.US,D,20220608,000000,35.7235,35.7235,35.7235,35.7235,2.023374629781,0
GREI.US,D,20220609,000000,35.5148,35.5644,34.9079,34.9079,32470.104371411,0
GREI.US,D,20220610,000000,34.2893,34.2904,34.2893,34.2904,367.24249530526,0
GREI.US,D,20220613,000000,33.3898,33.3898,32.6782,32.7139,2258.0860868357,0
GREI.US,D,20220614,000000,32.3024,32.3024,32.0257,32.2208,2331.9392608227,0
GREI.US,D,20220615,000000,32.9746,33.2069,32.955,32.955,2999.6528886504,0
GREI.US,D,20220616,000000,32.3173,32.3173,32.1937,32.1937,406.69830058599,0
GREI.US,D,20220617,000000,32.3717,32.4309,32.3334,32.3334,3403.3161272917,0
GREI.US,D,20220621,000000,32.8249,32.8249,32.8249,32.8249,41.479179910512,0
GREI.US,D,20220622,000000,32.4903,33.3354,32.4903,33.1526,2212.5601576656,0
GREI.US,D,20220623,000000,33.3106,33.6259,33.3106,33.6259,102.18041880394,0
GREI.US,D,20220624,000000,34.1845,34.3706,34.1446,34.3706,1031.6728091254,0
GREI.US,D,20220627,000000,34.3189,34.3189,34.2754,34.2754,263.1920895724,0
GREI.US,D,20220628,000000,34.065,34.065,33.9952,33.9952,602.72997612,0
GREI.US,D,20220629,000000,33.6071,33.7538,33.6071,33.7538,2247.1782609674,0
GREI.US,D,20220630,000000,33.3433,33.8062,33.3433,33.6967,752.4079201898,0
GREI.US,D,20220701,000000,33.8659,34.2525,33.8659,34.2525,3131.1822259434,0
GREI.US,D,20220705,000000,33.617,33.6276,33.617,33.6276,535.4251287866,0
GREI.US,D,20220706,000000,33.846,33.9854,33.6867,33.836,2820.7762882416,0
GREI.US,D,20220707,000000,33.9555,33.9555,33.9555,33.9555,100.45499602,0
GREI.US,D,20220708,000000,33.8062,33.836,33.7146,33.7942,962.3588618716,0
GREI.US,D,20220711,000000,33.617,33.617,33.6082,33.6082,227.0282910052,0
GREI.US,D,20220712,000000,33.5484,33.5484,33.5484,33.5484,6.0272997612,0
GREI.US,D,20220713,000000,33.4677,33.9057,33.4677,33.6789,1337.0559970262,0
GREI.US,D,20220714,000000,33.2689,33.2689,33.2272,33.2272,203.9236419206,0
GREI.US,D,20220715,000000,33.5772,33.5996,33.5772,33.5996,620.8118754036,0
GREI.US,D,20220718,000000,33.477,33.477,33.477,33.477,55.250247811,0
GREI.US,D,20220719,000000,34.2086,34.2086,34.2086,34.2086,3.0136498806,0
GREI.US,D,20220720,000000,33.9854,33.9953,33.8672,33.8672,388.7608345974,0
GREI.US,D,20220721,000000,34.0551,34.1845,33.9655,34.1845,4541.5703700642,0
GREI.US,D,20220722,000000,34.4916,34.4916,34.4916,34.4916,14.0636994428,0
GREI.US,D,20220725,000000,34.6623,34.732,34.5827,34.732,2879.0401859332,0
GREI.US,D,20220726,000000,34.5946,34.7121,34.5946,34.7036,546.4751783488,0
GREI.US,D,20220727,000000,34.7718,34.9338,34.5976,34.9338,861.9038658516,0
GREI.US,D,20220728,000000,35.1998,35.9648,35.1998,35.9648,576.6116771548,0
GREI.US,D,20220729,000000,36.3247,36.3372,36.3247,36.3372,916.1495637024,0
GREI.US,D,20220801,000000,36.1247,36.1247,36.1247,36.1247,12.0545995224,0
GREI.US,D,20220802,000000,36.1953,36.1953,35.8767,35.8767,254.1511399306,0
GREI.US,D,20220803,000000,36.1057,36.1555,36.0161,36.0559,1550.0205885886,0
GREI.US,D,20220804,000000,36.0778,36.1454,36.0778,36.1027,3827.335348362,0
GREI.US,D,20220805,000000,35.839,35.839,35.839,35.839,60.272997612,0
GREI.US,D,20220808,000000,36.1157,36.2451,35.9863,36.0522,1258.7011001306,0
GREI.US,D,20220809,000000,36.2351,36.275,36.1953,36.1953,1085.9185069762,0
GREI.US,D,20220810,000000,36.7229,36.7926,36.6433,36.7412,984.458960996,0
GREI.US,D,20220811,000000,36.9519,37.0066,36.6333,36.6333,4019.2043907602,0
GREI.US,D,20220812,000000,36.9021,37.0955,36.9021,37.0955,230.0419408858,0
GREI.US,D,20220815,000000,36.9419,37.1524,36.9419,37.1524,601.7254261598,0
GREI.US,D,20220816,000000,37.1111,37.1111,37.1111,37.1111,202.9190919604,0
GREI.US,D,20220817,000000,36.7528,36.9562,36.7528,36.9562,603.7345260802,0
GREI.US,D,20220818,000000,36.5835,36.6632,36.5835,36.6333,706.1986220206,0
GREI.US,D,20220819,000000,36.2451,36.2451,36.2451,36.2451,125.568745025,0
GREI.US,D,20220822,000000,35.8867,35.8867,35.6378,35.6378,1116.0550057822,0
GREI.US,D,20220823,000000,35.3326,35.3326,35.3326,35.3326,10.045499602,0
GREI.US,D,20220824,000000,35.5383,35.5433,35.4534,35.4534,693.139472538,0
GREI.US,D,20220825,000000,35.4985,35.7772,35.4985,35.7772,2552.5614488682,0
GREI.US,D,20220826,000000,35.7872,35.7872,34.9112,34.9112,2634.9345456046,0
GREI.US,D,20220829,000000,34.7419,34.9311,34.732,34.7817,3422.5017144014,0
GREI.US,D,20220830,000000,34.8514,34.8514,34.2741,34.3338,6172.959505429,0
GREI.US,D,20220831,000000,34.3039,34.513,34.0949,34.0949,1966.9088220716,0
GREI.US,D,20220901,000000,33.7863,34.0053,33.6469,34.0053,3582.2251580732,0
GREI.US,D,20220902,000000,34.284,34.3139,33.637,33.637,2612.8344464802,0
GREI.US,D,20220906,000000,33.7365,33.9555,33.7166,33.7763,2852.921886968,0
GREI.US,D,20220907,000000,33.836,34.4831,33.7664,34.4831,2500.3248509378,0
GREI.US,D,20220908,000000,34.1745,34.4333,34.1745,34.4333,1228.5646013246,0
GREI.US,D,20220909,000000,34.7121,34.8216,34.7121,34.7667,2440.0518533258,0
GREI.US,D,20220912,000000,35.0605,35.2297,35.0605,35.1489,6143.8275565832,0
GREI.US,D,20220913,000000,34.3437,34.3437,33.9934,33.9934,387.7562846372,0
GREI.US,D,20220914,000000,33.7365,33.846,33.6469,33.846,3021.6862802816,0
GREI.US,D,20220915,000000,33.2388,33.2388,33.0716,33.0716,188.8553925176,0
GREI.US,D,20220916,000000,32.9221,32.9221,32.9221,32.9221,12.0545995224,0
GREI.US,D,20220919,000000,32.6116,32.9806,32.6116,32.9806,407.8472838412,0
GREI.US,D,20220920,000000,32.1524,32.1524,32.1524,32.1524,68.3093972936,0
GREI.US,D,20220921,000000,31.7717,31.7717,31.7717,31.7717,24.1091990448,0
GREI.US,D,20220922,000000,31.5237,31.5237,31.5237,31.5237,3.0136498806,0
GREI.US,D,20220923,000000,30.7695,30.7695,30.7695,30.7695,2.0090999204,0
GREI.US,D,20220926,000000,29.9819,29.9819,29.9819,29.9819,6,0
GREI.US,D,20220927,000000,29.4168,29.4168,29.4168,29.4168,87,0
GREI.US,D,20220928,000000,30.0883,30.0883,30.0883,30.0883,33,0
GREI.US,D,20220929,000000,29.35,30.24,29.32,29.3654,2062,0
GREI.US,D,20220930,000000,29.59,29.59,29.415,29.415,425,0
GREI.US,D,20221003,000000,30.0804,30.0804,30.0804,30.0804,33,0
GREI.US,D,20221004,000000,30.51,30.6875,30.51,30.6875,872,0
GREI.US,D,20221005,000000,30.12,30.12,30.0381,30.0381,185,0
GREI.US,D,20221006,000000,29.3788,29.3788,29.216,29.216,275,0
GREI.US,D,20221007,000000,28.94,28.94,28.57,28.59,3265,0
GREI.US,D,20221010,000000,28.59,28.61,28.4148,28.4148,1047,0
GREI.US,D,20221011,000000,28.24,28.3602,28.24,28.3602,819,0
GREI.US,D,20221012,000000,28.1299,28.1299,27.9,27.9,507,0
GREI.US,D,20221013,000000,28.5489,28.5489,28.5185,28.5185,252,0
GREI.US,D,20221014,000000,28.75,28.75,27.95,27.95,6824,0
GREI.US,D,20221017,000000,28.53,28.9272,28.53,28.9272,504,0
