<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIE.US,D,20141125,000000,9.05923,9.1029,9.05923,9.05923,1067110.3969138,0
HIE.US,D,20141126,000000,9.05923,9.1029,9.05923,9.08308,52539.818514547,0
HIE.US,D,20141128,000000,9.08308,9.10578,9.08308,9.10578,14123.918747282,0
HIE.US,D,20141201,000000,9.10578,9.21913,9.05923,9.05923,111924.24165138,0
HIE.US,D,20141202,000000,9.06599,9.1029,9.05923,9.05923,70512.986405986,0
HIE.US,D,20141203,000000,9.10578,9.14829,9.06599,9.10578,85020.898547318,0
HIE.US,D,20141204,000000,9.13072,9.23651,9.10578,9.10578,64735.490110563,0
HIE.US,D,20141205,000000,9.21719,9.40076,9.1743,9.40076,87433.536287311,0
HIE.US,D,20141208,000000,9.73702,10.1931,9.27999,9.33506,108475.5462633,0
HIE.US,D,20141209,000000,10.1931,10.1931,9.31381,9.46261,106590.7700623,0
HIE.US,D,20141210,000000,9.39206,9.87713,9.21333,9.78618,77611.171571517,0
HIE.US,D,20141211,000000,9.73215,9.8539,9.45196,9.54473,79872.696008188,0
HIE.US,D,20141212,000000,9.19496,9.47998,9.19496,9.44037,47525.133894105,0
HIE.US,D,20141215,000000,9.51478,9.51478,9.36887,9.41717,62674.760063235,0
HIE.US,D,20141216,000000,9.10578,9.83165,9.07922,9.72156,102664.92924385,0
HIE.US,D,20141217,000000,9.61235,9.61235,9.05923,9.06599,276275.48435114,0
HIE.US,D,20141218,000000,9.14829,9.18627,9.08308,9.1743,86557.907146155,0
HIE.US,D,20141219,000000,9.21719,9.27999,9.15507,9.19981,35169.033791139,0
HIE.US,D,20141222,000000,9.15507,9.19496,9.05923,9.05923,200140.25504355,0
HIE.US,D,20141223,000000,9.07265,9.12492,9.05923,9.05923,88950.879456262,0
HIE.US,D,20141224,000000,9.05923,9.1029,9.05923,9.05923,54529.132000718,0
HIE.US,D,20141226,000000,9.06599,9.10578,9.05923,9.07922,72756.915458022,0
HIE.US,D,20141229,000000,9.03448,9.24134,9.00647,9.10578,848453.58710037,0
HIE.US,D,20141230,000000,9.07922,9.24134,9.05923,9.06599,160663.45708517,0
HIE.US,D,20141231,000000,9.13072,9.15507,9.05923,9.05923,198255.47884256,0
HIE.US,D,20150102,000000,9.01391,9.157,9.01391,9.01391,230265.62358074,0
HIE.US,D,20150105,000000,9.0112,9.01391,8.94646,8.94646,219900.9070092,0
