<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HJAN.US,D,20240103,000000,24.48,24.5,24.4401,24.4465,71565,0
HJAN.US,D,20240104,000000,24.455,24.47,24.435,24.435,779,0
HJAN.US,D,20240105,000000,24.53,24.53,24.445,24.49,64326,0
HJAN.US,D,20240108,000000,24.52,24.5498,24.5,24.545,132176,0
HJAN.US,D,20240109,000000,24.59,24.6,24.525,24.57,21831,0
HJAN.US,D,20240110,000000,24.6,24.62,24.59,24.59,20937,0
HJAN.US,D,20240111,000000,24.59,24.64,24.5689,24.59,22973,0
HJAN.US,D,20240112,000000,24.67,24.68,24.64,24.6456,7323,0
HJAN.US,D,20240116,000000,24.6499,24.65,24.606,24.606,1674,0
HJAN.US,D,20240117,000000,24.56,24.565,24.56,24.565,917,0
HJAN.US,D,20240118,000000,24.615,24.615,24.615,24.615,108,0
HJAN.US,D,20240119,000000,24.66,24.6751,24.66,24.6751,756,0
HJAN.US,D,20240122,000000,24.69,24.71,24.69,24.695,2196,0
HJAN.US,D,20240123,000000,24.7499,24.75,24.7251,24.7251,366,0
HJAN.US,D,20240124,000000,24.7437,24.7437,24.7225,24.7225,305,0
HJAN.US,D,20240125,000000,24.72,24.745,24.7005,24.745,1710,0
HJAN.US,D,20240126,000000,24.7498,24.7498,24.7498,24.7498,124,0
HJAN.US,D,20240129,000000,24.78,24.78,24.7747,24.7747,470,0
HJAN.US,D,20240130,000000,24.635,24.635,24.635,24.635,75,0
HJAN.US,D,20240131,000000,24.64,24.67,24.585,24.585,887,0
HJAN.US,D,20240201,000000,24.64,24.6599,24.605,24.636,15188,0
HJAN.US,D,20240202,000000,24.6651,24.6651,24.6651,24.6651,118,0
HJAN.US,D,20240205,000000,24.664,24.664,24.664,24.664,31,0
HJAN.US,D,20240206,000000,24.6848,24.6848,24.6848,24.6848,240,0
HJAN.US,D,20240207,000000,24.74,24.74,24.7111,24.7111,2480,0
HJAN.US,D,20240208,000000,24.715,24.715,24.715,24.715,33,0
HJAN.US,D,20240209,000000,24.75,24.75,24.725,24.725,1528,0
HJAN.US,D,20240212,000000,24.7385,24.7385,24.715,24.715,220,0
HJAN.US,D,20240213,000000,24.6413,24.6413,24.6413,24.6413,30,0
HJAN.US,D,20240214,000000,24.7,24.7,24.675,24.6949,1447,0
HJAN.US,D,20240215,000000,24.68,24.715,24.68,24.715,1192,0
HJAN.US,D,20240216,000000,24.7059,24.7059,24.7059,24.7059,30,0
HJAN.US,D,20240220,000000,24.6575,24.6855,24.6575,24.6855,559,0
HJAN.US,D,20240221,000000,24.705,24.705,24.705,24.705,30,0
HJAN.US,D,20240222,000000,24.75,24.7637,24.75,24.7637,176,0
HJAN.US,D,20240223,000000,24.74,24.7887,24.74,24.7757,2114,0
HJAN.US,D,20240226,000000,24.75,24.77,24.75,24.77,656,0
HJAN.US,D,20240227,000000,24.79,24.79,24.7852,24.7852,200,0
HJAN.US,D,20240228,000000,24.655,24.68,24.62,24.68,6000,0
HJAN.US,D,20240229,000000,24.6698,24.6698,24.6698,24.6698,30,0
HJAN.US,D,20240301,000000,24.66,24.695,24.66,24.695,271,0
HJAN.US,D,20240304,000000,24.72,24.72,24.685,24.685,332,0
HJAN.US,D,20240305,000000,24.6501,24.67,24.6501,24.67,244,0
HJAN.US,D,20240306,000000,24.65,24.675,24.64,24.675,3001,0
HJAN.US,D,20240307,000000,24.69,24.69,24.69,24.69,1,0
