<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAUF.US,D,20180627,000000,35.3012,35.3012,35.3012,35.3012,277.8915061942,0
IAUF.US,D,20180705,000000,35.3012,35.3012,35.3012,35.3012,2.2871728904873,0
IAUF.US,D,20180706,000000,35.3012,35.3012,35.3012,35.3012,1.1435864452436,0
IAUF.US,D,20180709,000000,35.3012,35.3012,35.3012,35.3012,3.4307593357309,0
IAUF.US,D,20180711,000000,35.3012,35.3012,35.3012,35.3012,67.471600269374,0
IAUF.US,D,20180712,000000,35.0398,35.0398,35.0398,35.0398,1.1435864452436,0
IAUF.US,D,20180713,000000,34.8719,34.8719,34.8719,34.8719,1.1435864452436,0
IAUF.US,D,20180716,000000,34.8649,34.8649,34.8649,34.8649,137.23037342924,0
IAUF.US,D,20180717,000000,34.6314,34.6314,34.6314,34.6314,562.64453105987,0
IAUF.US,D,20180718,000000,34.4705,34.4845,34.4705,34.4845,548.92149371694,0
IAUF.US,D,20180719,000000,34.1942,34.1942,34.1942,34.1942,823.38224057541,0
IAUF.US,D,20180720,000000,34.5509,34.5509,34.5509,34.5509,137.23037342924,0
IAUF.US,D,20180725,000000,34.5509,34.5509,34.5509,34.5509,34.307593357309,0
IAUF.US,D,20180726,000000,34.5431,34.5431,34.5431,34.5431,192.12252280093,0
IAUF.US,D,20180730,000000,34.4058,34.4058,34.4058,34.4058,1.1435864452436,0
IAUF.US,D,20180731,000000,34.4058,34.4058,34.4058,34.4058,1.1435864452436,0
IAUF.US,D,20180801,000000,34.4058,34.4058,34.4058,34.4058,43.456284919258,0
IAUF.US,D,20180802,000000,34.2231,34.2231,34.2231,34.2231,12.57945089768,0
IAUF.US,D,20180803,000000,34.1863,34.1863,34.1863,34.1863,30.876834021578,0
IAUF.US,D,20180806,000000,34.1863,34.1863,34.1863,34.1863,1.1435864452436,0
IAUF.US,D,20180807,000000,34.1278,34.1278,34.1278,34.1278,6.8615186714618,0
IAUF.US,D,20180808,000000,34.084,34.084,34.084,34.084,11.435864452436,0
IAUF.US,D,20180810,000000,34.1111,34.1111,34.1111,34.1111,548.92149371694,0
IAUF.US,D,20180813,000000,33.785,33.785,33.5305,33.5305,1844.604936178,0
IAUF.US,D,20180814,000000,33.5305,33.5305,33.5305,33.5305,274.46074685847,0
IAUF.US,D,20180815,000000,33.3189,33.3189,33.3189,33.3189,68.615186714618,0
IAUF.US,D,20180816,000000,33.1798,33.1798,33.1798,33.1798,281.32226552993,0
IAUF.US,D,20180817,000000,33.1248,33.1798,33.1248,33.1798,1324.2731035921,0
IAUF.US,D,20180820,000000,33.3914,33.3914,33.3914,33.3914,10.292278007193,0
IAUF.US,D,20180822,000000,33.6687,33.6687,33.6336,33.6336,419.69622540441,0
IAUF.US,D,20180823,000000,33.4133,33.4133,33.4133,33.4133,505.46520879769,0
IAUF.US,D,20180827,000000,33.9021,33.9021,33.9021,33.9021,67.471600269374,0
IAUF.US,D,20180829,000000,33.8943,33.8943,33.8943,33.8943,232.14804838446,0
IAUF.US,D,20180830,000000,33.8943,33.8943,33.8943,33.8943,16.010210233411,0
IAUF.US,D,20180904,000000,33.4719,33.4719,33.457,33.457,276.74791974896,0
IAUF.US,D,20180906,000000,33.457,33.457,33.457,33.457,2.2871728904873,0
IAUF.US,D,20180910,000000,33.457,33.457,33.457,33.457,2.2871728904873,0
IAUF.US,D,20180917,000000,33.457,33.457,33.457,33.457,41.169112028771,0
IAUF.US,D,20180924,000000,33.6975,33.6975,33.6975,33.6975,498.60369012622,0
IAUF.US,D,20180925,000000,33.6975,33.6975,33.6975,33.6975,13.723037342924,0
IAUF.US,D,20180926,000000,33.6022,33.6022,33.6022,33.6022,3.4307593357309,0
IAUF.US,D,20180927,000000,33.2892,33.2892,33.2532,33.2532,548.92149371694,0
IAUF.US,D,20180928,000000,33.2532,33.2532,33.2532,33.2532,2.2871728904873,0
IAUF.US,D,20181001,000000,33.3993,33.4212,33.3993,33.4212,505.46520879769,0
IAUF.US,D,20181002,000000,33.8286,33.8286,33.8286,33.8286,550.06508016219,0
IAUF.US,D,20181003,000000,33.8286,33.8286,33.8286,33.8286,3.4307593357309,0
IAUF.US,D,20181005,000000,33.8138,33.8138,33.764,33.764,4537.7510147267,0
IAUF.US,D,20181008,000000,33.3556,33.3556,33.3328,33.3328,548.92149371694,0
IAUF.US,D,20181009,000000,33.3328,33.3328,33.3328,33.3328,81.194637612298,0
IAUF.US,D,20181010,000000,33.3328,33.3328,33.3328,33.3328,3427.3285763952,0
IAUF.US,D,20181011,000000,33.3328,33.3328,33.3328,33.3328,3427.3285763952,0
IAUF.US,D,20181012,000000,33.3328,33.3328,33.3328,33.3328,1.1435864452436,0
IAUF.US,D,20181015,000000,34.4775,34.5291,34.4775,34.5291,280.17867908469,0
IAUF.US,D,20181016,000000,34.5291,34.5291,34.5291,34.5291,2.2871728904873,0
IAUF.US,D,20181017,000000,34.5291,34.5291,34.5291,34.5291,234.43522127494,0
IAUF.US,D,20181018,000000,34.4058,34.4058,34.4058,34.4058,3016.7810425527,0
IAUF.US,D,20181019,000000,34.4058,34.4058,34.4058,34.4058,1.1435864452436,0
IAUF.US,D,20181022,000000,34.2738,34.2738,34.2738,34.2738,11.435864452436,0
IAUF.US,D,20181023,000000,34.2738,34.2738,34.2738,34.2738,42.312698474014,0
IAUF.US,D,20181024,000000,34.5361,34.5868,34.5361,34.5868,3985.3987616741,0
IAUF.US,D,20181025,000000,34.5509,34.5509,34.5509,34.5509,137.23037342924,0
IAUF.US,D,20181026,000000,34.8202,34.8421,34.8133,34.8133,552.35225305267,0
IAUF.US,D,20181029,000000,34.5002,34.5431,34.5002,34.5002,689.58262648191,0
IAUF.US,D,20181030,000000,34.4058,34.4058,34.4058,34.4058,1562.1390842028,0
IAUF.US,D,20181031,000000,34.4058,34.4058,34.4058,34.4058,13.723037342924,0
IAUF.US,D,20181101,000000,34.4058,34.4058,34.4058,34.4058,3427.3285763952,0
IAUF.US,D,20181102,000000,34.4058,34.4058,34.4058,34.4058,3427.3285763952,0
IAUF.US,D,20181105,000000,34.5002,34.502,34.5002,34.5002,5804.8447960567,0
IAUF.US,D,20181106,000000,34.5002,34.5002,34.5002,34.5002,6.8615186714618,0
IAUF.US,D,20181107,000000,34.5002,34.5002,34.5002,34.5002,3427.3285763952,0
IAUF.US,D,20181108,000000,34.5002,34.5002,34.5002,34.5002,96.061261400465,0
IAUF.US,D,20181109,000000,33.9686,33.9686,33.9686,33.9686,35.451179802553,0
