<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBHD.US,D,20190510,000000,22.9969,23.0159,22.9969,23.0059,756.29513336304,0
IBHD.US,D,20190513,000000,22.8184,22.8184,22.8184,22.8184,433.60920979481,0
IBHD.US,D,20190514,000000,22.9315,22.9315,22.9028,22.9028,6507.1633274556,0
IBHD.US,D,20190515,000000,22.9355,22.9355,22.9355,22.9355,433.60920979481,0
IBHD.US,D,20190516,000000,22.9931,22.9931,22.9931,22.9931,433.60920979481,0
IBHD.US,D,20190517,000000,22.9851,22.9851,22.9851,22.9851,433.60920979481,0
IBHD.US,D,20190520,000000,22.9781,22.9781,22.9781,22.9781,433.60920979481,0
IBHD.US,D,20190521,000000,23.0495,23.0495,23.0495,23.0495,433.60920979481,0
IBHD.US,D,20190522,000000,22.9891,23.0396,22.9891,23.0396,103.86453164852,0
IBHD.US,D,20190523,000000,22.9653,22.9653,22.9653,22.9653,433.60920979481,0
IBHD.US,D,20190524,000000,22.9325,22.9325,22.9325,22.9325,433.60920979481,0
IBHD.US,D,20190528,000000,22.9127,22.9127,22.9127,22.9127,433.60920979481,0
IBHD.US,D,20190529,000000,22.875,22.875,22.875,22.875,103.86453164852,0
IBHD.US,D,20190530,000000,22.8958,22.8958,22.8958,22.8958,433.60920979481,0
IBHD.US,D,20190531,000000,22.872,22.872,22.765,22.765,1085.0314179982,0
IBHD.US,D,20190603,000000,22.7868,22.7868,22.7868,22.7868,433.60920979481,0
IBHD.US,D,20190604,000000,22.9861,22.9861,22.9861,22.9861,433.60920979481,0
IBHD.US,D,20190605,000000,23.0247,23.0247,23.0247,23.0247,974.1081317716,0
IBHD.US,D,20190606,000000,23.0159,23.0723,23.0159,23.0723,2287.0364832898,0
IBHD.US,D,20190607,000000,23.12,23.12,23.12,23.12,433.60920979481,0
IBHD.US,D,20190610,000000,23.1696,23.1874,23.1616,23.1616,1909.8973101195,0
IBHD.US,D,20190611,000000,23.1982,23.1982,23.1982,23.1982,1301.8360228956,0
IBHD.US,D,20190612,000000,23.1576,23.1576,23.1576,23.1576,1301.8360228956,0
IBHD.US,D,20190613,000000,23.2201,23.2201,23.2201,23.2201,1301.8360228956,0
IBHD.US,D,20190614,000000,23.2182,23.2182,23.2092,23.2092,166.38492933987,0
IBHD.US,D,20190617,000000,23.1784,23.1784,23.1784,23.1784,1301.8360228956,0
IBHD.US,D,20190618,000000,23.3242,23.3242,23.3242,23.3242,1301.8360228956,0
IBHD.US,D,20190619,000000,23.4205,23.4205,23.4205,23.4205,1301.8360228956,0
IBHD.US,D,20190620,000000,23.4938,23.5582,23.4898,23.5255,111701.76601719,0
IBHD.US,D,20190621,000000,23.472,23.472,23.472,23.472,1519.6490213041,0
IBHD.US,D,20190624,000000,23.4413,23.4413,23.4413,23.4413,1.0083935111507,0
IBHD.US,D,20190625,000000,23.4185,23.4185,23.3777,23.3777,540.49892197679,0
IBHD.US,D,20190626,000000,23.4115,23.4115,23.3767,23.3897,655.45578224797,0
IBHD.US,D,20190627,000000,23.4581,23.4581,23.4393,23.4393,219.82978543086,0
IBHD.US,D,20190628,000000,23.4501,23.4501,23.4501,23.4501,1519.6490213041,0
IBHD.US,D,20190701,000000,23.4581,23.468,23.4581,23.468,4085.0021136716,0
IBHD.US,D,20190702,000000,23.4849,23.4938,23.4849,23.4938,216.80460489741,0
IBHD.US,D,20190703,000000,23.5781,23.5781,23.5781,23.5781,1507.5482991703,0
IBHD.US,D,20190705,000000,23.4869,23.4869,23.4869,23.4869,1507.5482991703,0
IBHD.US,D,20190708,000000,23.4849,23.4849,23.4433,23.4433,8607.6470111826,0
IBHD.US,D,20190709,000000,23.4442,23.4442,23.4442,23.4442,7.0587545780551,0
IBHD.US,D,20190710,000000,23.4898,23.4898,23.4898,23.4898,1398.6417999661,0
IBHD.US,D,20190711,000000,23.4531,23.4531,23.4531,23.4531,1398.6417999661,0
IBHD.US,D,20190712,000000,23.4859,23.4859,23.4859,23.4859,7.0587545780551,0
IBHD.US,D,20190715,000000,23.5126,23.5126,23.5017,23.5017,3231.9012032381,0
IBHD.US,D,20190716,000000,23.474,23.474,23.474,23.474,2.0167870223015,0
IBHD.US,D,20190717,000000,23.4581,23.4581,23.4581,23.4581,2.0167870223015,0
IBHD.US,D,20190718,000000,23.4293,23.473,23.4293,23.473,3334.7573413754,0
IBHD.US,D,20190719,000000,23.4769,23.4769,23.4383,23.4383,752.26155931844,0
IBHD.US,D,20190722,000000,23.5027,23.5027,23.5027,23.5027,2.0167870223015,0
IBHD.US,D,20190723,000000,23.5563,23.5563,23.5563,23.5563,2.0167870223015,0
IBHD.US,D,20190724,000000,23.5781,23.5781,23.5781,23.5781,2.0167870223015,0
IBHD.US,D,20190725,000000,23.5504,23.5592,23.5374,23.5374,5058.101851932,0
IBHD.US,D,20190726,000000,23.598,23.598,23.598,23.598,55746.010083435,0
IBHD.US,D,20190729,000000,23.5504,23.5702,23.5504,23.5702,11836.523033887,0
IBHD.US,D,20190730,000000,23.5543,23.5543,23.5543,23.5543,2.0167870223015,0
IBHD.US,D,20190731,000000,23.5136,23.5136,23.5136,23.5136,1.0083935111507,0
IBHD.US,D,20190801,000000,23.5027,23.5027,23.5027,23.5027,20.167870223014,0
IBHD.US,D,20190802,000000,23.5126,23.5126,23.5126,23.5126,33304.212492775,0
IBHD.US,D,20190805,000000,23.3173,23.3173,23.2955,23.2955,747.21959176269,0
IBHD.US,D,20190806,000000,23.3927,23.4195,23.3173,23.4195,4711.2144840962,0
IBHD.US,D,20190807,000000,23.3173,23.4303,23.3173,23.4303,7067.8301196554,0
IBHD.US,D,20190808,000000,23.4879,23.4879,23.4879,23.4879,4.0335740446029,0
IBHD.US,D,20190809,000000,23.4631,23.4631,23.4631,23.4631,856.12609096697,0
IBHD.US,D,20190812,000000,23.4155,23.4155,23.4155,23.4155,856.12609096697,0
IBHD.US,D,20190813,000000,23.4869,23.4869,23.4869,23.4869,856.12609096697,0
IBHD.US,D,20190814,000000,23.3471,23.3471,23.3103,23.3103,7015.3936570756,0
IBHD.US,D,20190815,000000,23.3669,23.3669,23.3669,23.3669,80.671480892058,0
IBHD.US,D,20190816,000000,23.4293,23.4293,23.4263,23.4263,5677.2554677786,0
IBHD.US,D,20190819,000000,23.468,23.4998,23.468,23.4998,40156.246401044,0
IBHD.US,D,20190820,000000,23.468,23.4948,23.468,23.4948,215.79621138626,0
IBHD.US,D,20190821,000000,23.5722,23.5722,23.5722,23.5722,80.671480892058,0
IBHD.US,D,20190822,000000,23.588,23.6276,23.588,23.592,2034.9381055022,0
IBHD.US,D,20190823,000000,23.6276,23.6276,23.5176,23.5176,190.58637360749,0
IBHD.US,D,20190826,000000,23.6276,23.6276,23.6218,23.6218,272.2662480107,0
IBHD.US,D,20190827,000000,23.6624,23.7021,23.6218,23.6218,1573.0938773951,0
IBHD.US,D,20190828,000000,23.6743,23.6743,23.6723,23.6723,184.53601254058,0
IBHD.US,D,20190829,000000,23.6971,23.6971,23.6912,23.6912,137.1415175165,0
IBHD.US,D,20190830,000000,23.6921,23.6921,23.6782,23.6782,644.36345362531,0
IBHD.US,D,20190903,000000,23.6743,23.6743,23.6456,23.6456,1566.0351228171,0
IBHD.US,D,20190904,000000,23.6941,23.6941,23.6941,23.6941,80.671480892058,0
IBHD.US,D,20190905,000000,23.7833,23.7833,23.7546,23.7556,318.65234952363,0
IBHD.US,D,20190906,000000,23.8131,23.8131,23.7933,23.8131,971.08295123815,0
IBHD.US,D,20190909,000000,23.7983,23.7983,23.7983,23.7983,214.7878178751,0
IBHD.US,D,20190910,000000,23.8033,23.8231,23.8033,23.8042,2287.0364832898,0
IBHD.US,D,20190911,000000,23.8181,23.8181,23.8181,23.8181,1.0083935111507,0
IBHD.US,D,20190912,000000,23.8707,23.8707,23.8518,23.8518,13901.712944723,0
