<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBMM.US,D,20180402,000000,24.1301,24.1301,24.1211,24.1211,2490.831153605,0
IBMM.US,D,20180403,000000,24.159,24.159,24.1221,24.1221,3222.2497948486,0
IBMM.US,D,20180404,000000,24.1211,24.1211,24.1211,24.1211,11421.152180187,0
IBMM.US,D,20180405,000000,24.1111,24.1111,24.1111,24.1111,2124.119889639,0
IBMM.US,D,20180409,000000,24.1111,24.1111,24.1111,24.1111,2898.6220946819,0
IBMM.US,D,20180410,000000,24.0922,24.0922,24.0742,24.0742,2071.016892398,0
IBMM.US,D,20180411,000000,24.1401,24.1401,24.1301,24.1301,623.20876007333,0
IBMM.US,D,20180412,000000,24.0822,24.0822,24.0822,24.0822,477.92697516878,0
IBMM.US,D,20180413,000000,24.0862,24.1111,24.0862,24.1111,2598.0390914311,0
IBMM.US,D,20180416,000000,24.1021,24.1021,24.0922,24.0922,891.72957631072,0
IBMM.US,D,20180417,000000,24.0991,24.1211,24.0971,24.1111,39286.19852488,0
IBMM.US,D,20180418,000000,24.1021,24.1021,24.0752,24.1021,3044.9058229306,0
IBMM.US,D,20180419,000000,24.0733,24.0733,24.0443,24.0633,21923.522313769,0
IBMM.US,D,20180420,000000,24.0633,24.0733,24.0443,24.0443,8988.4337405432,0
IBMM.US,D,20180423,000000,24.0513,24.0543,24.0293,24.0543,2758.3500264982,0
IBMM.US,D,20180424,000000,24.0043,24.0533,24.0043,24.0293,1555.0160701508,0
IBMM.US,D,20180425,000000,24.0093,24.0143,23.9175,23.9175,3222.2497948486,0
IBMM.US,D,20180426,000000,23.9175,23.9175,23.9175,23.9175,31.06024366925,0
IBMM.US,D,20180427,000000,24.0033,24.0043,23.9804,23.9844,31341.789748961,0
IBMM.US,D,20180430,000000,24.0043,24.0043,24.0043,24.0043,263.51109951654,0
IBMM.US,D,20180501,000000,23.9903,24.0073,23.9903,24.0073,522.01248231223,0
IBMM.US,D,20180503,000000,24.0951,24.1041,24.0951,24.0951,5688.0323648494,0
IBMM.US,D,20180504,000000,24.1141,24.1141,24.1141,24.1141,208.40421558722,0
IBMM.US,D,20180507,000000,24.1141,24.1141,24.1001,24.1141,1021.9822110527,0
IBMM.US,D,20180508,000000,24.1041,24.201,24.1041,24.201,20537.834668783,0
IBMM.US,D,20180509,000000,24.162,24.172,24.162,24.172,4144.0376714844,0
IBMM.US,D,20180510,000000,24.189,24.201,24.189,24.201,8387.2677340416,0
IBMM.US,D,20180511,000000,24.211,24.2309,24.211,24.214,1278.4797071601,0
IBMM.US,D,20180514,000000,24.219,24.221,24.204,24.218,3470.7317442026,0
IBMM.US,D,20180515,000000,24.1331,24.1531,24.1331,24.1431,11297.913148853,0
IBMM.US,D,20180516,000000,24.1431,24.1531,24.1241,24.1531,2640.1207118862,0
IBMM.US,D,20180517,000000,24.1431,24.1531,24.1371,24.1531,23031.671652421,0
IBMM.US,D,20180518,000000,24.1531,24.162,24.1531,24.162,2224.3142240559,0
IBMM.US,D,20180521,000000,24.1431,24.1431,24.1331,24.1431,2004.8886316829,0
IBMM.US,D,20180522,000000,24.162,24.162,24.1431,24.162,35620.087828564,0
IBMM.US,D,20180523,000000,24.201,24.201,24.201,24.201,447.8686748437,0
IBMM.US,D,20180524,000000,24.2409,24.2409,24.2339,24.2339,606.17572322245,0
IBMM.US,D,20180525,000000,24.2698,24.2698,24.2698,24.2698,1317.5554975827,0
IBMM.US,D,20180529,000000,24.3297,24.3497,24.3198,24.3497,5490.649526048,0
IBMM.US,D,20180530,000000,24.3198,24.3297,24.2668,24.3098,14293.723747919,0
IBMM.US,D,20180531,000000,24.2958,24.3397,24.2958,24.3397,1481.8742060265,0
IBMM.US,D,20180601,000000,24.2558,24.3058,24.2558,24.3058,2133.1373797365,0
IBMM.US,D,20180604,000000,24.2658,24.2758,24.2658,24.2758,812.57605212134,0
IBMM.US,D,20180605,000000,24.3208,24.3357,24.3208,24.3357,1228.3825399516,0
IBMM.US,D,20180606,000000,24.3058,24.3058,24.2858,24.2958,2019.9177818454,0
IBMM.US,D,20180607,000000,24.3158,24.3357,24.3158,24.3357,1652.2045745352,0
IBMM.US,D,20180608,000000,24.3357,24.3357,24.3357,24.3357,49.095223864298,0
IBMM.US,D,20180611,000000,24.3158,24.3158,24.2758,24.2758,2509.8680771442,0
IBMM.US,D,20180612,000000,24.3158,24.3158,24.3158,24.3158,199.3867254897,0
IBMM.US,D,20180613,000000,24.3258,24.3357,24.3038,24.3158,3052.921369684,0
IBMM.US,D,20180614,000000,24.3258,24.3407,24.3258,24.3357,2511.8719638325,0
IBMM.US,D,20180615,000000,24.3258,24.3357,24.3228,24.3357,3047.9116529631,0
IBMM.US,D,20180618,000000,24.3457,24.3457,24.3457,24.3457,1239.4039167375,0
IBMM.US,D,20180619,000000,24.3626,24.3756,24.3557,24.3756,5851.349129949,0
IBMM.US,D,20180620,000000,24.3457,24.3457,24.3287,24.3357,3457.7064807284,0
IBMM.US,D,20180621,000000,24.3756,24.3756,24.3586,24.3756,5557.7797301074,0
IBMM.US,D,20180622,000000,24.3756,24.3756,24.3756,24.3756,116.22542792364,0
IBMM.US,D,20180625,000000,24.3656,24.3656,24.3158,24.3646,2526.9011139951,0
IBMM.US,D,20180626,000000,24.3457,24.3457,24.3178,24.3178,9970.3382178292,0
IBMM.US,D,20180627,000000,24.3457,24.3766,24.3457,24.3766,3492.7744977743,0
IBMM.US,D,20180628,000000,24.3357,24.3357,24.3158,24.3228,21293.299950287,0
IBMM.US,D,20180629,000000,24.3058,24.3656,24.3058,24.3656,3473.7375742351,0
IBMM.US,D,20180702,000000,24.3258,24.3258,24.3258,24.3258,1063.0618881637,0
IBMM.US,D,20180703,000000,24.3557,24.3656,24.3437,24.3656,12865.954482478,0
IBMM.US,D,20180705,000000,24.3656,24.3656,24.3656,24.3656,1541.9908066766,0
IBMM.US,D,20180706,000000,24.3856,24.3856,24.3736,24.3756,4126.0026912894,0
IBMM.US,D,20180709,000000,24.3656,24.3656,24.3586,24.3586,1307.536064141,0
IBMM.US,D,20180710,000000,24.3566,24.3656,24.3447,24.3447,8392.2774507624,0
IBMM.US,D,20180711,000000,24.3447,24.3447,24.3447,24.3447,73.141864124362,0
IBMM.US,D,20180712,000000,24.4325,24.4325,24.4315,24.4315,674.30787062597,0
