<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INNO.US,D,20211203,000000,20.17,20.17,19.6731,19.7319,131487,0
INNO.US,D,20211206,000000,19.65,19.85,19.45,19.8,4098,0
INNO.US,D,20211207,000000,20.4644,20.67,20.45,20.5202,1588,0
INNO.US,D,20211208,000000,20.565,20.91,20.565,20.8752,2330,0
INNO.US,D,20211209,000000,20.84,20.84,20.26,20.2621,11309,0
INNO.US,D,20211210,000000,20.43,20.43,20.1147,20.1147,2074,0
INNO.US,D,20211213,000000,19.9101,19.94,19.78,19.85,6931,0
INNO.US,D,20211214,000000,19.5,19.5,19.36,19.4299,664,0
INNO.US,D,20211215,000000,19.23,19.7768,19.085,19.7768,6869,0
INNO.US,D,20211216,000000,19.95,19.95,19.1721,19.1871,27115,0
INNO.US,D,20211217,000000,19.01,19.3612,19,19.3612,768,0
INNO.US,D,20211220,000000,19.09,19.16,18.96,19.0413,7773,0
INNO.US,D,20211221,000000,19.22,19.629,19.2,19.629,280,0
INNO.US,D,20211222,000000,19.7,19.79,19.68,19.7837,1986,0
INNO.US,D,20211223,000000,20.0614,20.0614,20.0614,20.0614,145,0
INNO.US,D,20211227,000000,20.1501,20.1729,20.1501,20.1729,467,0
INNO.US,D,20211228,000000,20.05,20.18,19.9395,19.9395,3483,0
INNO.US,D,20211229,000000,19.8169,19.9,19.8169,19.8688,284,0
INNO.US,D,20211230,000000,19.9698,19.9698,19.9698,19.9698,42,0
INNO.US,D,20211231,000000,19.955,19.955,19.7909,19.7909,685,0
INNO.US,D,20220103,000000,19.93,19.93,19.9288,19.9288,113,0
INNO.US,D,20220104,000000,19.37,19.4,19.37,19.3745,1657,0
INNO.US,D,20220105,000000,18.9597,18.9597,18.5123,18.5123,575,0
INNO.US,D,20220106,000000,18.44,18.64,18.44,18.5185,1372,0
INNO.US,D,20220107,000000,18.639,18.7,18.1967,18.1967,15004,0
INNO.US,D,20220110,000000,17.93,18.1283,17.93,18.1283,150,0
INNO.US,D,20220111,000000,18.12,18.5,18.12,18.475,1039,0
INNO.US,D,20220112,000000,18.68,18.6861,18.5191,18.53,4980,0
INNO.US,D,20220113,000000,18.61,18.61,17.7977,17.7977,2483,0
INNO.US,D,20220114,000000,17.71,17.9399,17.71,17.9399,15920,0
INNO.US,D,20220118,000000,17.82,17.82,17.2907,17.2907,387,0
INNO.US,D,20220119,000000,17.35,17.6,17.1374,17.1374,7673,0
INNO.US,D,20220120,000000,17.21,17.21,16.8596,16.8596,1011,0
INNO.US,D,20220121,000000,16.84,17.25,16.24,16.28,25593,0
INNO.US,D,20220124,000000,15.9,16.4842,15.31,16.4842,10038,0
INNO.US,D,20220125,000000,16.21,16.21,15.99,15.99,917,0
INNO.US,D,20220126,000000,16.45,16.45,15.8131,15.8131,304,0
INNO.US,D,20220127,000000,15.67,15.67,15.5503,15.5503,981,0
INNO.US,D,20220128,000000,15.89,16.0431,15.8284,16.0431,1950,0
INNO.US,D,20220131,000000,16.82,16.9262,16.82,16.9262,665,0
INNO.US,D,20220201,000000,17.09,17.1712,16.72,17.1712,2203,0
INNO.US,D,20220202,000000,16.8414,16.8414,16.8414,16.8414,249,0
INNO.US,D,20220203,000000,16.45,16.45,16.1263,16.1263,1575,0
INNO.US,D,20220204,000000,16.31,16.678,16.31,16.5704,330,0
INNO.US,D,20220207,000000,16.75,16.79,16.5465,16.5465,1491,0
INNO.US,D,20220208,000000,16.4199,16.81,16.4199,16.8004,2887,0
INNO.US,D,20220209,000000,17.12,17.3503,17.12,17.3503,114,0
INNO.US,D,20220210,000000,17.1622,17.52,17,17.0482,4338,0
INNO.US,D,20220211,000000,17.06,17.06,16.41,16.4702,1732,0
INNO.US,D,20220214,000000,16.391,16.391,16.391,16.391,197,0
INNO.US,D,20220215,000000,16.73,16.94,16.73,16.9212,1161,0
INNO.US,D,20220216,000000,16.65,16.65,16.43,16.6455,772,0
INNO.US,D,20220217,000000,16.1499,16.1499,16,16.0007,513,0
INNO.US,D,20220218,000000,15.99,15.99,15.6037,15.6037,471,0
INNO.US,D,20220222,000000,15.6,15.6,15.3199,15.3852,1389,0
INNO.US,D,20220223,000000,15.59,15.59,14.9782,14.9782,4976,0
INNO.US,D,20220224,000000,14.5,15.6618,14.5,15.6618,1178,0
INNO.US,D,20220225,000000,15.88,15.9985,15.8471,15.9985,1265,0
INNO.US,D,20220228,000000,16.069,16.32,16,16.15,15328,0
INNO.US,D,20220301,000000,16.2,16.27,15.93,16,13065,0
INNO.US,D,20220302,000000,15.999,16.24,15.66,16.1304,15734,0
INNO.US,D,20220303,000000,17,17,15.61,15.689,12913,0
INNO.US,D,20220304,000000,15.565,15.565,15.0699,15.118,12572,0
INNO.US,D,20220307,000000,15.12,15.12,14.5216,14.5357,13229,0
INNO.US,D,20220308,000000,14.2601,14.89,14.2601,14.4729,6109,0
INNO.US,D,20220309,000000,14.58,15.25,14.58,15.2022,2411,0
INNO.US,D,20220310,000000,15.17,15.179,14.8545,15.0155,1962,0
INNO.US,D,20220311,000000,15.17,15.17,14.57,14.57,7814,0
INNO.US,D,20220314,000000,14.53,14.53,14.17,14.17,8365,0
INNO.US,D,20220315,000000,14.29,14.6,14.16,14.6,4122,0
INNO.US,D,20220316,000000,14.84,15.47,14.84,15.47,6655,0
INNO.US,D,20220317,000000,15.715,15.87,15.66,15.87,2912,0
INNO.US,D,20220318,000000,15.8501,16.3812,15.8501,16.3812,3044,0
INNO.US,D,20220321,000000,16.28,16.28,16.0128,16.1465,4871,0
INNO.US,D,20220322,000000,16.25,16.645,16.25,16.5952,3764,0
INNO.US,D,20220323,000000,16.48,16.5011,16.3054,16.3054,1687,0
INNO.US,D,20220324,000000,16.4,16.6,16.3999,16.5791,6606,0
INNO.US,D,20220325,000000,16.3899,16.3899,16.2587,16.3457,305,0
INNO.US,D,20220328,000000,16.44,16.6549,16.41,16.6549,1437,0
INNO.US,D,20220329,000000,17.01,17.1516,16.801,17.1516,2925,0
INNO.US,D,20220330,000000,17.13,17.13,16.71,16.78,1506,0
INNO.US,D,20220331,000000,16.75,16.75,16.53,16.53,3635,0
INNO.US,D,20220401,000000,16.5501,16.715,16.5501,16.6204,642,0
INNO.US,D,20220404,000000,16.78,17.14,16.78,17.101,3491,0
INNO.US,D,20220405,000000,16.76,16.8,16.5987,16.5987,4378,0
INNO.US,D,20220406,000000,16.35,16.35,15.95,16.13,1778,0
INNO.US,D,20220407,000000,15.99,16.145,15.8799,16.0634,1164,0
INNO.US,D,20220408,000000,15.9699,15.97,15.7452,15.7452,22074,0
INNO.US,D,20220411,000000,15.4501,15.58,15.45,15.51,3922,0
INNO.US,D,20220412,000000,15.7,15.7,15.35,15.38,20360,0
INNO.US,D,20220413,000000,15.48,15.79,15.39,15.7487,10717,0
INNO.US,D,20220414,000000,15.53,15.53,15.39,15.39,9878,0
INNO.US,D,20220418,000000,15.32,15.32,15.1,15.1251,4275,0
INNO.US,D,20220419,000000,15.47,15.58,15.42,15.5327,1908,0
INNO.US,D,20220420,000000,15.1396,15.1396,15.1396,15.1396,37,0
INNO.US,D,20220421,000000,15.34,15.34,14.6256,14.6256,436,0
INNO.US,D,20220422,000000,14.6863,14.6863,14.3,14.32,1141,0
INNO.US,D,20220425,000000,14.3,14.46,14.275,14.46,2583,0
INNO.US,D,20220426,000000,14.25,14.25,13.84,13.84,9692,0
INNO.US,D,20220427,000000,13.95,13.95,13.747,13.747,3287,0
INNO.US,D,20220428,000000,13.9697,14.1885,13.86,14.1885,1692,0
INNO.US,D,20220429,000000,14.06,14.06,13.5521,13.5521,6708,0
INNO.US,D,20220502,000000,13.61,13.8822,13.5,13.8822,3592,0
INNO.US,D,20220503,000000,13.91,13.93,13.7933,13.7933,574,0
INNO.US,D,20220504,000000,13.44,14.1772,13.44,14.1772,970,0
INNO.US,D,20220505,000000,13.99,13.99,13.1581,13.2612,2041,0
INNO.US,D,20220506,000000,12.68,13.065,12.68,12.89,2186,0
INNO.US,D,20220509,000000,12.63,12.63,11.929,11.929,3845,0
INNO.US,D,20220510,000000,12.03,12.2499,11.771,12.0559,2336,0
INNO.US,D,20220511,000000,12.12,12.12,11.4527,11.4527,5808,0
INNO.US,D,20220512,000000,11.36,11.84,11.2,11.6397,2811,0
INNO.US,D,20220513,000000,11.9,12.37,11.9,12.3539,1865,0
INNO.US,D,20220516,000000,12.37,12.37,12.0252,12.0252,2121,0
INNO.US,D,20220517,000000,12.33,12.4032,12.22,12.4032,1260,0
INNO.US,D,20220518,000000,12.28,12.28,11.7678,11.7678,1231,0
INNO.US,D,20220519,000000,11.88,12.195,11.88,12.0182,5671,0
INNO.US,D,20220520,000000,12.17,12.17,11.7,12.0127,1228,0
INNO.US,D,20220523,000000,11.95,12.07,11.88,12.054,2910,0
INNO.US,D,20220524,000000,11.8,11.8,11.521,11.5786,2362,0
INNO.US,D,20220525,000000,11.74,11.8912,11.71,11.85,4698,0
INNO.US,D,20220526,000000,11.89,12.22,11.89,12.2008,800,0
INNO.US,D,20220527,000000,12.3,12.6305,12.3,12.6305,859,0
INNO.US,D,20220531,000000,12.62,12.645,12.5113,12.5113,997,0
INNO.US,D,20220601,000000,12.6201,12.675,12.255,12.3609,2090,0
INNO.US,D,20220602,000000,12.44,12.8446,12.44,12.8446,3873,0
INNO.US,D,20220603,000000,12.76,12.76,12.595,12.6122,2986,0
INNO.US,D,20220606,000000,12.8,12.8,12.58,12.6059,5981,0
INNO.US,D,20220607,000000,12.47,12.8386,12.47,12.8386,1799,0
INNO.US,D,20220608,000000,12.8801,12.9,12.7796,12.7796,2742,0
INNO.US,D,20220609,000000,12.62,12.62,12.3207,12.3207,1325,0
INNO.US,D,20220610,000000,12.01,12.01,11.69,11.7697,3006,0
INNO.US,D,20220613,000000,11.29,11.29,10.9536,10.9536,3214,0
INNO.US,D,20220614,000000,10.91,10.96,10.8701,10.9226,1851,0
INNO.US,D,20220615,000000,11.01,11.3289,11.01,11.3289,203,0
INNO.US,D,20220616,000000,11.02,11.02,10.692,10.692,1002,0
INNO.US,D,20220617,000000,10.92,11.02,10.92,11.02,7578,0
INNO.US,D,20220621,000000,11.41,11.42,11.29,11.3014,7143,0
INNO.US,D,20220622,000000,11.5,11.5,11.3974,11.3974,1922,0
INNO.US,D,20220623,000000,11.68,11.81,11.57,11.7892,3939,0
INNO.US,D,20220624,000000,11.98,12.3111,11.98,12.3111,6755,0
INNO.US,D,20220627,000000,12.2,12.2,12.1553,12.1553,4173,0
INNO.US,D,20220628,000000,11.73,11.73,11.73,11.73,111,0
INNO.US,D,20220629,000000,11.66,11.685,11.62,11.685,4387,0
INNO.US,D,20220630,000000,11.4642,11.4642,11.4642,11.4642,46,0
INNO.US,D,20220701,000000,11.5,11.6281,11.5,11.6281,8674,0
INNO.US,D,20220705,000000,11.51,11.9885,11.51,11.9885,1132,0
INNO.US,D,20220706,000000,11.97,12.08,11.97,11.9907,1540,0
INNO.US,D,20220707,000000,12.14,12.37,12.14,12.3512,1555,0
INNO.US,D,20220708,000000,12.5,12.5,12.24,12.4,4527,0
INNO.US,D,20220711,000000,12.0157,12.0157,12.0157,12.0157,58,0
INNO.US,D,20220712,000000,11.91,11.91,11.7908,11.7908,257,0
INNO.US,D,20220713,000000,11.57,11.91,11.57,11.83,553,0
INNO.US,D,20220714,000000,11.77,11.77,11.6785,11.6785,661,0
INNO.US,D,20220715,000000,11.8,11.9425,11.8,11.9425,109,0
INNO.US,D,20220718,000000,12.23,12.23,11.88,11.8852,3264,0
INNO.US,D,20220719,000000,12.06,12.2864,12.06,12.2864,1418,0
INNO.US,D,20220720,000000,12.55,12.77,12.544,12.728,4990,0
INNO.US,D,20220721,000000,12.79,12.9184,12.79,12.9184,3350,0
INNO.US,D,20220722,000000,12.96,12.96,12.4897,12.54,15257,0
INNO.US,D,20220725,000000,12.41,12.4199,12.37,12.3953,3915,0
INNO.US,D,20220726,000000,12.08,12.08,12.0143,12.0197,4726,0
INNO.US,D,20220727,000000,12.27,12.6489,12.27,12.6489,3361,0
INNO.US,D,20220728,000000,12.46,12.7875,12.46,12.7875,5834,0
INNO.US,D,20220729,000000,12.88,12.9685,12.82,12.9685,705,0
INNO.US,D,20220801,000000,12.95,13.1115,12.85,12.9638,6262,0
INNO.US,D,20220802,000000,13.1,13.175,13.068,13.068,6666,0
INNO.US,D,20220803,000000,13.2001,13.5565,13.2001,13.5565,1484,0
INNO.US,D,20220804,000000,13.6919,13.6919,13.6919,13.6919,601,0
INNO.US,D,20220805,000000,13.5621,13.79,13.5621,13.79,604,0
INNO.US,D,20220808,000000,13.83,13.83,13.7592,13.8051,923,0
INNO.US,D,20220809,000000,13.4381,13.4381,13.4381,13.4381,276,0
INNO.US,D,20220810,000000,13.57,14.0581,13.57,14.0581,2918,0
INNO.US,D,20220811,000000,14.1996,14.1996,13.8519,13.8519,1306,0
INNO.US,D,20220812,000000,14.08,14.1849,14.08,14.1849,449,0
INNO.US,D,20220815,000000,14.3084,14.3084,14.3084,14.3084,40,0
INNO.US,D,20220816,000000,14.1,14.1848,14.0014,14.1403,12221,0
INNO.US,D,20220817,000000,13.98,13.98,13.807,13.807,807,0
INNO.US,D,20220818,000000,13.8062,13.8062,13.8062,13.8062,12,0
INNO.US,D,20220819,000000,13.68,13.68,13.3899,13.3899,2474,0
INNO.US,D,20220822,000000,13.1197,13.1197,13.0222,13.0222,883,0
INNO.US,D,20220823,000000,13.174,13.174,13.0517,13.0517,1110,0
INNO.US,D,20220824,000000,13.2309,13.2309,13.2309,13.2309,75,0
INNO.US,D,20220825,000000,13.3527,13.4656,13.31,13.4656,3045,0
INNO.US,D,20220826,000000,13.39,13.39,12.9088,12.9088,509,0
INNO.US,D,20220829,000000,12.7353,12.8,12.6732,12.6732,2048,0
INNO.US,D,20220830,000000,12.66,12.66,12.51,12.5681,2992,0
INNO.US,D,20220831,000000,12.63,12.68,12.5347,12.5347,1356,0
INNO.US,D,20220901,000000,12.3,12.3,11.9405,12.2321,29903,0
INNO.US,D,20220902,000000,12.25,12.5,12.1402,12.1402,6070,0
INNO.US,D,20220906,000000,12.0154,12.0154,12.0154,12.0154,36,0
INNO.US,D,20220907,000000,12.17,12.36,12.17,12.3591,1228,0
INNO.US,D,20220908,000000,12.1862,12.5304,12.1862,12.5304,1311,0
INNO.US,D,20220909,000000,12.43,12.9073,12.43,12.9001,3819,0
INNO.US,D,20220912,000000,13.0587,13.0587,13.0587,13.0587,12,0
INNO.US,D,20220913,000000,12.48,12.52,12.3651,12.3651,2281,0
INNO.US,D,20220914,000000,12.4322,12.481,12.4322,12.481,4101,0
INNO.US,D,20220915,000000,12.56,12.56,12.369,12.369,947,0
INNO.US,D,20220916,000000,12.0801,12.097,12.0612,12.097,1194,0
INNO.US,D,20220919,000000,12.04,12.14,12.01,12.14,1498,0
INNO.US,D,20220920,000000,12.09,12.09,11.9083,11.9349,2904,0
INNO.US,D,20220921,000000,12.03,12.07,11.72,11.72,1335,0
INNO.US,D,20220922,000000,11.52,11.5396,11.38,11.4,2173,0
INNO.US,D,20220923,000000,11.15,11.16,11.05,11.16,4768,0
INNO.US,D,20220926,000000,11.29,11.29,11.0613,11.0613,3434,0
INNO.US,D,20220927,000000,11.2,11.2,11.081,11.1451,1519,0
INNO.US,D,20220928,000000,11.4894,11.4894,11.4894,11.4894,52,0
INNO.US,D,20220929,000000,11.31,11.31,11.09,11.1813,5186,0
INNO.US,D,20220930,000000,11.3,11.3,11.1243,11.1243,9979,0
INNO.US,D,20221003,000000,11.3512,11.3512,11.3512,11.3512,9,0
INNO.US,D,20221004,000000,11.8822,11.8822,11.8822,11.8822,215,0
INNO.US,D,20221005,000000,11.7055,11.8886,11.6,11.8886,3910,0
INNO.US,D,20221006,000000,11.86,11.91,11.8517,11.8517,3226,0
INNO.US,D,20221007,000000,11.74,11.74,11.2989,11.2989,3371,0
INNO.US,D,20221010,000000,11,11.0123,11,11.0123,1248,0
INNO.US,D,20221011,000000,10.85,10.93,10.64,10.72,6520,0
INNO.US,D,20221012,000000,10.7715,10.7715,10.7715,10.7715,1,0
INNO.US,D,20221013,000000,10.4,10.8819,10.35,10.8819,2831,0
INNO.US,D,20221014,000000,10.69,10.69,10.4708,10.4708,481,0
INNO.US,D,20221017,000000,10.57,10.97,10.57,10.9437,876,0
INNO.US,D,20221018,000000,11.06,11.2276,11.06,11.1535,915,0
INNO.US,D,20221019,000000,10.92,10.94,10.9,10.9302,1247,0
INNO.US,D,20221020,000000,11.2,11.25,10.95,10.9874,1153,0
INNO.US,D,20221021,000000,10.93,11.1718,10.93,11.1718,9280,0
INNO.US,D,20221024,000000,11.12,11.179,11.12,11.179,637,0
INNO.US,D,20221025,000000,11.5404,11.58,11.3,11.5404,3012,0
INNO.US,D,20221026,000000,11.6452,11.65,11.3736,11.3736,10435,0
INNO.US,D,20221027,000000,11.43,11.43,11.3009,11.3009,1202,0
INNO.US,D,20221028,000000,11.31,11.5207,11.31,11.5207,6463,0
INNO.US,D,20221031,000000,11.48,11.52,11.4324,11.4324,1048,0
INNO.US,D,20221101,000000,11.54,11.54,11.3765,11.3765,3256,0
INNO.US,D,20221102,000000,11.205,11.31,10.8775,10.8775,2988,0
INNO.US,D,20221103,000000,10.75,10.85,10.7126,10.7126,1048,0
INNO.US,D,20221104,000000,10.84,10.84,10.55,10.5748,2577,0
INNO.US,D,20221107,000000,10.5299,10.67,10.5299,10.6236,1475,0
INNO.US,D,20221108,000000,10.7009,10.9125,10.7009,10.7724,2377,0
INNO.US,D,20221109,000000,10.59,10.59,10.46,10.46,2822,0
INNO.US,D,20221110,000000,11.09,11.446,11.09,11.446,215,0
INNO.US,D,20221111,000000,11.63,11.91,11.63,11.8576,11578,0
INNO.US,D,20221114,000000,11.7235,11.7999,11.5845,11.62,12654,0
INNO.US,D,20221115,000000,11.72,11.97,11.72,11.8956,6488,0
INNO.US,D,20221116,000000,11.7,11.76,11.5235,11.5235,2970,0
INNO.US,D,20221117,000000,11.3016,11.36,11.29,11.304,837,0
INNO.US,D,20221118,000000,11.41,11.41,11.21,11.2956,6864,0
INNO.US,D,20221121,000000,11.2101,11.2101,11.1,11.1065,1009,0
INNO.US,D,20221122,000000,11.2004,11.2004,11.2004,11.2004,79,0
INNO.US,D,20221123,000000,11.22,11.37,11.22,11.37,990,0
INNO.US,D,20221125,000000,11.3561,11.3561,11.3561,11.3561,18,0
INNO.US,D,20221128,000000,11.1803,11.1803,11.1803,11.1803,29,0
INNO.US,D,20221129,000000,11.1088,11.1088,11.1088,11.1088,1,0
INNO.US,D,20221130,000000,11.3099,11.6409,11.3099,11.6409,1112,0
INNO.US,D,20221201,000000,11.81,11.81,11.791,11.791,817,0
INNO.US,D,20221202,000000,11.74,11.7653,11.74,11.7653,256,0
INNO.US,D,20221205,000000,11.58,11.58,11.3787,11.3787,623,0
INNO.US,D,20221206,000000,11.18,11.18,11.17,11.1721,240,0
INNO.US,D,20221207,000000,11.1767,11.1767,11.1767,11.1767,1,0
INNO.US,D,20221208,000000,11.3599,11.39,11.35,11.3668,9181,0
INNO.US,D,20221209,000000,11.2771,11.2771,11.2771,11.2771,20,0
INNO.US,D,20221212,000000,11.47,11.4929,11.47,11.4929,1172,0
INNO.US,D,20221213,000000,11.9286,11.97,11.5917,11.6486,5087,0
INNO.US,D,20221214,000000,11.75,11.85,11.6826,11.6826,17565,0
INNO.US,D,20221215,000000,11.42,11.42,11.2675,11.2675,1102,0
INNO.US,D,20221216,000000,11.13,11.1833,11.13,11.1833,6957,0
INNO.US,D,20221219,000000,11.03,11.03,10.9402,10.9402,746,0
INNO.US,D,20221220,000000,11,11,10.9803,10.9803,774,0
INNO.US,D,20221221,000000,11.12,11.143,11.12,11.143,351,0
INNO.US,D,20221222,000000,10.88,10.88,10.842,10.842,161,0
INNO.US,D,20221223,000000,10.7,10.8016,10.7,10.8016,355,0
INNO.US,D,20221227,000000,10.6818,10.6818,10.6372,10.6372,302,0
INNO.US,D,20221228,000000,10.67,10.67,10.5494,10.5494,111,0
INNO.US,D,20221229,000000,10.9277,10.9277,10.9277,10.9277,5,0
INNO.US,D,20221230,000000,10.82,10.8722,10.7874,10.8722,1769,0
INNO.US,D,20230103,000000,10.85,10.85,10.78,10.7826,514,0
INNO.US,D,20230104,000000,10.9021,10.9021,10.9021,10.9021,3,0
INNO.US,D,20230105,000000,10.644,10.644,10.644,10.644,65,0
INNO.US,D,20230106,000000,10.73,10.8592,10.67,10.8592,775,0
INNO.US,D,20230109,000000,11.01,11.01,10.9454,10.9454,135,0
INNO.US,D,20230110,000000,11,11.09,11,11.0762,1646,0
INNO.US,D,20230111,000000,11.2,11.2611,11.2,11.2611,108,0
INNO.US,D,20230112,000000,11.19,11.4535,11.19,11.4535,100466,0
INNO.US,D,20230113,000000,11.51,11.6122,11.5,11.6122,1272,0
INNO.US,D,20230117,000000,11.5947,11.6788,11.549,11.6788,1193,0
INNO.US,D,20230118,000000,11.85,11.85,11.5305,11.5305,652,0
INNO.US,D,20230119,000000,11.375,11.44,11.37,11.4,498,0
INNO.US,D,20230120,000000,11.66,11.7088,11.66,11.7088,220,0
INNO.US,D,20230123,000000,11.95,11.97,11.95,11.9517,2970,0
INNO.US,D,20230124,000000,11.87,11.98,11.87,11.9,2291,0
INNO.US,D,20230125,000000,12.85,12.85,11.58,11.8552,1020,0
INNO.US,D,20230126,000000,12.02,12.0581,11.895,12.0581,2161,0
INNO.US,D,20230127,000000,12.01,12.1909,12.01,12.1909,2713,0
INNO.US,D,20230130,000000,11.96,12.02,11.9155,11.9155,1818,0
INNO.US,D,20230131,000000,12.1638,12.1638,12.1638,12.1638,149,0
INNO.US,D,20230201,000000,12.21,12.5436,12.21,12.5436,4761,0
INNO.US,D,20230202,000000,12.9449,13.0346,12.9449,12.9927,1180,0
INNO.US,D,20230203,000000,12.89,12.89,12.6492,12.6492,3210,0
INNO.US,D,20230206,000000,12.55,12.57,12.4716,12.4716,3392,0
INNO.US,D,20230207,000000,12.42,12.719,12.42,12.719,1522,0
INNO.US,D,20230208,000000,12.61,12.61,12.435,12.435,1650,0
INNO.US,D,20230209,000000,12.62,12.62,12.3502,12.3502,918,0
INNO.US,D,20230210,000000,12.2799,12.29,12.2,12.2122,1226,0
INNO.US,D,20230213,000000,12.37,12.37,12.32,12.3517,356,0
INNO.US,D,20230214,000000,12.415,12.55,12.3799,12.532,851,0
INNO.US,D,20230215,000000,12.59,12.7137,12.4899,12.7137,7173,0
INNO.US,D,20230216,000000,12.53,12.62,12.42,12.42,3349,0
INNO.US,D,20230217,000000,12.39,12.39,12.26,12.35,1588,0
INNO.US,D,20230221,000000,12.0362,12.0362,12.0362,12.0362,155,0
INNO.US,D,20230222,000000,12.0984,12.14,12.0754,12.0754,431,0
INNO.US,D,20230223,000000,12.09,12.17,12,12.17,1697,0
INNO.US,D,20230224,000000,11.96,11.96,11.9383,11.9383,257,0
INNO.US,D,20230227,000000,12.0147,12.0147,12.0147,12.0147,5,0
INNO.US,D,20230228,000000,12.03,12.11,12.03,12.07,2208,0
INNO.US,D,20230301,000000,12.04,12.07,12.013,12.013,1745,0
INNO.US,D,20230302,000000,11.97,12.1659,11.97,12.1659,1316,0
INNO.US,D,20230303,000000,12.25,12.4444,12.25,12.4444,1065,0
INNO.US,D,20230306,000000,12.46,12.4862,12.35,12.35,1150,0
INNO.US,D,20230307,000000,12.46,12.46,12.29,12.29,3052,0
INNO.US,D,20230308,000000,12.3,12.355,12.3,12.33,941,0
INNO.US,D,20230309,000000,12.385,12.45,12.04,12.04,2644,0
INNO.US,D,20230310,000000,12.03,12.03,11.69,11.69,2748,0
INNO.US,D,20230313,000000,11.64,11.77,11.64,11.77,745,0
INNO.US,D,20230314,000000,12.0687,12.0687,12.04,12.04,302,0
INNO.US,D,20230315,000000,11.9,12,11.9,12,1672,0
INNO.US,D,20230316,000000,12.2,12.2646,12.2,12.2646,735,0
INNO.US,D,20230317,000000,12.15,12.15,12.1,12.1,307,0
INNO.US,D,20230320,000000,12.138,12.138,12.138,12.138,6,0
INNO.US,D,20230321,000000,12.21,12.31,12.21,12.31,796,0
INNO.US,D,20230322,000000,12.4,12.4,12.09,12.09,157,0
INNO.US,D,20230323,000000,12.31,12.31,12.194,12.194,1215,0
INNO.US,D,20230324,000000,12.09,12.09,12.08,12.0897,1403078,0
INNO.US,D,20230327,000000,12.12,12.2,12.1178,12.1178,1820,0
INNO.US,D,20230328,000000,12.09,12.0973,12,12.0336,5301,0
INNO.US,D,20230329,000000,12.22,12.33,12.17,12.2873,2143,0
INNO.US,D,20230330,000000,12.39,12.415,12.36,12.3915,91916,0
INNO.US,D,20230331,000000,12.53,12.65,12.48,12.6367,3512,0
INNO.US,D,20230403,000000,12.57,12.57,12.5181,12.5181,454,0
INNO.US,D,20230404,000000,12.54,12.54,12.42,12.4476,414,0
INNO.US,D,20230405,000000,12.1301,12.2194,12.1301,12.2147,473,0
INNO.US,D,20230406,000000,12.17,12.29,12.17,12.2512,3002,0
INNO.US,D,20230410,000000,12.13,12.28,12.13,12.2632,3033,0
INNO.US,D,20230411,000000,12.31,12.31,12.2984,12.2984,395,0
INNO.US,D,20230412,000000,12.34,12.34,12.21,12.21,5286,0
INNO.US,D,20230413,000000,12.43,12.43,12.4211,12.4211,1150,0
INNO.US,D,20230414,000000,12.34,12.39,12.2425,12.3036,6790,0
