<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQIN.US,D,20181214,000000,22.6256,22.6793,22.6139,22.6139,11275.85298577,0
IQIN.US,D,20181217,000000,22.5445,22.5445,22.3776,22.3776,11163.18663747,0
IQIN.US,D,20181218,000000,22.5104,22.527,22.444,22.444,11303.50745308,0
IQIN.US,D,20181219,000000,22.5543,22.5543,22.236,22.2604,765676.40608868,0
IQIN.US,D,20181220,000000,22.277,22.277,22.1286,22.1286,11163.18663747,0
IQIN.US,D,20181221,000000,21.9724,22.0007,21.7303,21.7303,11722.42142085,0
IQIN.US,D,20181224,000000,21.7117,21.7117,21.4618,21.4618,12530.54641002,0
IQIN.US,D,20181226,000000,21.4715,21.9373,21.4715,21.9373,11427.44043621,0
IQIN.US,D,20181227,000000,21.7039,21.9343,21.7039,21.9343,11178.55023042,0
IQIN.US,D,20181228,000000,22.152,22.152,22.1169,22.1169,11154.99272123,0
IQIN.US,D,20181231,000000,22.2067,22.2136,22.1784,22.2067,17957.99167949,0
IQIN.US,D,20190102,000000,21.9373,22.1218,21.8914,22.1218,21528.49068107,0
IQIN.US,D,20190103,000000,22.0798,22.0798,22.0036,22.0036,22308.96120293,0
IQIN.US,D,20190104,000000,22.3581,22.6978,22.3581,22.6978,11177.52599089,0
IQIN.US,D,20190107,000000,22.6988,22.8199,22.6988,22.8199,11154.99272123,0
IQIN.US,D,20190108,000000,23.0561,23.0561,22.9829,22.9829,11154.99272123,0
IQIN.US,D,20190109,000000,23.2358,23.2358,23.2202,23.2202,11198.01078149,0
IQIN.US,D,20190110,000000,23.1743,23.3422,23.1743,23.3422,11179.57446995,0
IQIN.US,D,20190111,000000,23.1821,23.1821,23.1752,23.1752,11183.67142807,0
IQIN.US,D,20190114,000000,23.0395,23.0962,23.0395,23.0962,557.18630432,0
IQIN.US,D,20190115,000000,23.1938,23.1938,23.1938,23.1938,1260310.3538325,0
IQIN.US,D,20190116,000000,23.228,23.2368,23.228,23.2368,1115.39684817,0
IQIN.US,D,20190117,000000,23.3041,23.3041,23.3041,23.3041,19.46055107,0
IQIN.US,D,20190118,000000,23.6039,23.6039,23.596,23.596,1120.51804582,0
IQIN.US,D,20190122,000000,23.2377,23.2377,23.2377,23.2377,3.07271859,0
IQIN.US,D,20190123,000000,23.3461,23.3461,23.3461,23.3461,3.07271859,0
IQIN.US,D,20190124,000000,23.4291,23.4291,23.4291,23.4291,3.07271859,0
IQIN.US,D,20190125,000000,23.6136,23.6136,23.6136,23.6136,1969.61261619,0
IQIN.US,D,20190128,000000,23.5062,23.5814,23.5062,23.5814,174.1207201,0
IQIN.US,D,20190129,000000,23.723,23.723,23.6556,23.6556,686.2404851,0
IQIN.US,D,20190130,000000,23.9055,23.9055,23.9055,23.9055,3.07271859,0
IQIN.US,D,20190131,000000,23.8977,23.8977,23.8977,23.8977,4.09695812,0
IQIN.US,D,20190201,000000,23.8655,23.8655,23.8655,23.8655,4.09695812,0
IQIN.US,D,20190204,000000,23.9446,23.9446,23.9446,23.9446,146.46625279,0
IQIN.US,D,20190205,000000,24.0862,24.0891,24.0862,24.0891,446.56843508,0
IQIN.US,D,20190206,000000,24.0354,24.0354,23.971,23.9719,390.23526093,0
IQIN.US,D,20190207,000000,23.5589,23.5589,23.5521,23.5589,110.61786924,0
IQIN.US,D,20190208,000000,23.2992,23.3725,23.2992,23.3725,110.61786924,0
IQIN.US,D,20190211,000000,23.3568,23.3568,23.3568,23.3568,81.9391624,0
IQIN.US,D,20190212,000000,23.638,23.6673,23.638,23.6468,1044.7243206,0
IQIN.US,D,20190213,000000,23.6702,23.6702,23.6702,23.6702,948272.70829943,0
IQIN.US,D,20190214,000000,23.598,23.6605,23.598,23.6605,223.28421754,0
IQIN.US,D,20190215,000000,24.0071,24.0071,24.0071,24.0071,4.09695812,0
IQIN.US,D,20190219,000000,24.133,24.133,24.1184,24.1184,1115.39684817,0
IQIN.US,D,20190220,000000,24.2541,24.2541,24.2541,24.2541,4.09695812,0
IQIN.US,D,20190221,000000,24.133,24.1535,24.133,24.1535,250.93868485,0
IQIN.US,D,20190222,000000,24.2248,24.2248,24.2248,24.2248,4.09695812,0
IQIN.US,D,20190225,000000,24.2785,24.2785,24.2785,24.2785,20.4847906,0
IQIN.US,D,20190226,000000,24.423,24.423,24.423,24.423,4.09695812,0
IQIN.US,D,20190227,000000,24.3224,24.3224,24.3097,24.3097,219.18725942,0
IQIN.US,D,20190228,000000,24.2238,24.2238,24.2238,24.2238,1072.37878791,0
IQIN.US,D,20190301,000000,24.3761,24.3761,24.3029,24.3322,223.28421754,0
IQIN.US,D,20190304,000000,24.3039,24.3039,24.2111,24.2111,1339.70530524,0
IQIN.US,D,20190305,000000,24.2394,24.2394,24.2394,24.2394,56.33317415,0
