<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWIN.US,D,20220203,000000,24.7399,24.7399,24.3834,24.3834,100959,0
IWIN.US,D,20220204,000000,24.25,24.715,24.25,24.55,11039,0
IWIN.US,D,20220207,000000,24.7581,25.3199,24.6501,24.749,112201,0
IWIN.US,D,20220208,000000,25.01,25.14,24.68,25.0983,34900,0
IWIN.US,D,20220209,000000,25.37,25.63,25.37,25.6076,53235,0
IWIN.US,D,20220210,000000,25.42,25.9,25.1201,25.23,48468,0
IWIN.US,D,20220211,000000,25.33,25.525,25.04,25.1591,30595,0
IWIN.US,D,20220214,000000,25.23,25.2714,25,25.0477,15323,0
IWIN.US,D,20220215,000000,25.36,25.53,25.06,25.52,25395,0
IWIN.US,D,20220216,000000,25.5015,25.6594,25.33,25.5581,17870,0
IWIN.US,D,20220217,000000,25.48,25.54,25.08,25.1448,9036,0
IWIN.US,D,20220218,000000,25.05,25.18,24.82,24.8818,12113,0
IWIN.US,D,20220222,000000,24.87,24.88,24.46,24.6137,29601,0
IWIN.US,D,20220223,000000,24.81,24.81,24.3,24.3415,7861,0
IWIN.US,D,20220224,000000,23.99,24.9617,23.99,24.9309,27939,0
IWIN.US,D,20220225,000000,24.96,25.4209,24.7032,25.4209,13142,0
IWIN.US,D,20220228,000000,25.45,25.8736,25.45,25.8736,2907,0
IWIN.US,D,20220301,000000,26.2282,26.2282,25.9685,26.0302,9277,0
IWIN.US,D,20220302,000000,26.11,26.62,26.065,26.4858,5925,0
IWIN.US,D,20220303,000000,26.4709,26.4709,26.19,26.3302,8644,0
IWIN.US,D,20220304,000000,26.6,26.6,25.84,26.1455,14740,0
IWIN.US,D,20220307,000000,26.395,26.42,25.82,25.9354,16104,0
IWIN.US,D,20220308,000000,25.89,26.31,25.85,26.0661,25232,0
IWIN.US,D,20220309,000000,26.51,27.52,26.19,26.49,108099,0
IWIN.US,D,20220310,000000,26.94,27.65,26.2645,26.77,158109,0
IWIN.US,D,20220311,000000,28.11,28.75,26.4011,26.4381,86344,0
IWIN.US,D,20220314,000000,26.57,26.57,25.605,25.6695,72998,0
IWIN.US,D,20220315,000000,25.67,25.73,25.38,25.7,22241,0
IWIN.US,D,20220316,000000,25.95,26.07,25.55,26,25487,0
IWIN.US,D,20220317,000000,25.77,26.76,25.77,26.7535,25422,0
IWIN.US,D,20220318,000000,26.76,26.89,26.6,26.89,20451,0
IWIN.US,D,20220321,000000,27.3,27.3,26.9,27.0998,24465,0
IWIN.US,D,20220322,000000,27.27,27.27,26.93,27.06,77865,0
IWIN.US,D,20220323,000000,26.91,27.21,26.91,26.9739,21764,0
IWIN.US,D,20220324,000000,27.01,27.14,26.87,27.01,33392,0
IWIN.US,D,20220325,000000,27.21,27.21,26.87,27.04,16015,0
IWIN.US,D,20220328,000000,26.7,26.9199,26.65,26.79,12560,0
IWIN.US,D,20220329,000000,26.58,27.28,26.58,27.271,72457,0
IWIN.US,D,20220330,000000,27.38,27.44,27.129,27.2002,83605,0
