<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMET.US,D,20221014,000000,16.1126,16.1126,15.833,15.833,4173.5954457665,0
KMET.US,D,20221017,000000,15.7432,15.7432,15.6493,15.6493,246.52162715776,0
KMET.US,D,20221018,000000,15.6349,15.6533,15.6034,15.6371,1292.2757907697,0
KMET.US,D,20221019,000000,15.6167,15.6167,15.6167,15.6167,32.97423038416,0
KMET.US,D,20221020,000000,15.8833,15.8833,15.7865,15.7865,541.71949916834,0
KMET.US,D,20221021,000000,15.9438,15.9438,15.9438,15.9438,180.57316638945,0
KMET.US,D,20221024,000000,15.8515,15.8515,15.7719,15.7719,160.1605475802,0
KMET.US,D,20221025,000000,15.9024,15.9024,15.8707,15.8707,2256.3794791446,0
KMET.US,D,20221026,000000,16.1755,16.1755,16.1755,16.1755,6.280805787459,0
KMET.US,D,20221027,000000,15.9801,15.9801,15.9801,15.9801,295.19787201057,0
KMET.US,D,20221028,000000,15.7019,15.7019,15.7019,15.7019,147.59893600529,0
KMET.US,D,20221031,000000,15.5267,15.5267,15.4161,15.4161,623.3699744053,0
KMET.US,D,20221101,000000,15.9216,15.9216,15.9216,15.9216,15.702014468647,0
KMET.US,D,20221102,000000,15.9294,15.9294,15.9294,15.9294,17.272215915512,0
KMET.US,D,20221103,000000,15.8133,15.8133,15.71,15.71,1358.224251538,0
KMET.US,D,20221104,000000,16.4915,16.5225,16.4915,16.5225,288.91706622311,0
KMET.US,D,20221107,000000,16.2718,16.2718,16.2167,16.2167,862.04059432874,0
KMET.US,D,20221108,000000,16.4469,16.4469,16.4469,16.4469,23.553021702971,0
KMET.US,D,20221109,000000,16.501,16.6284,16.4607,16.4607,4760.8507868939,0
KMET.US,D,20221110,000000,16.9372,16.9372,16.9372,16.9372,92.64188536502,0
KMET.US,D,20221111,000000,17.4627,17.692,17.4564,17.5777,1501.1125832027,0
KMET.US,D,20221114,000000,17.5901,17.9467,17.5901,17.9079,5957.3442894048,0
KMET.US,D,20221115,000000,18.1505,18.1505,17.9681,17.9681,4362.0196193903,0
KMET.US,D,20221116,000000,17.4818,17.4818,17.1953,17.3364,799.23253645415,0
KMET.US,D,20221117,000000,16.8959,16.8959,16.8591,16.8591,157.02014468647,0
KMET.US,D,20221118,000000,16.9087,16.9087,16.9087,16.9087,171.15195770826,0
KMET.US,D,20221121,000000,16.6221,16.6794,16.6211,16.6211,855.75978854129,0
KMET.US,D,20221122,000000,16.9723,16.9723,16.9023,16.9091,1731.9321958918,0
KMET.US,D,20221123,000000,16.8609,16.8609,16.8609,16.8609,7.8510072343237,0
KMET.US,D,20221125,000000,16.6744,16.6744,16.6744,16.6744,7.8510072343237,0
KMET.US,D,20221128,000000,16.6603,16.7112,16.6476,16.7089,6137.9174557943,0
KMET.US,D,20221129,000000,17.0233,17.0296,16.976,16.976,1044.1839621651,0
KMET.US,D,20221130,000000,17.3927,17.5519,17.329,17.478,1350.3732443037,0
KMET.US,D,20221201,000000,17.6856,17.6856,17.5326,17.5326,16242.163766369,0
KMET.US,D,20221202,000000,17.9149,17.9213,17.8435,17.8435,686.17803227989,0
KMET.US,D,20221205,000000,17.7694,17.7694,17.7694,17.7694,67.518662215184,0
KMET.US,D,20221206,000000,17.9224,17.9224,17.9224,17.9224,5109.4355080979,0
