<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFD.US,D,20050225,000000,5.47612,5.55441,5.4268,5.55095,115707.65993489,0
MFD.US,D,20050228,000000,5.43373,5.56201,5.43373,5.53744,187206.49757493,0
MFD.US,D,20050301,000000,5.53744,5.54766,5.4973,5.50791,122529.36385281,0
MFD.US,D,20050302,000000,5.51784,5.54532,5.50791,5.54194,81887.110960954,0
MFD.US,D,20050303,000000,5.53107,5.53744,5.46337,5.53744,101460.58036397,0
MFD.US,D,20050304,000000,5.37663,5.44331,5.35245,5.44331,150423.05093309,0
MFD.US,D,20050307,000000,5.45333,5.50791,5.45333,5.48062,75953.849720272,0
MFD.US,D,20050308,000000,5.46337,5.52112,5.45333,5.48062,80695.76585834,0
MFD.US,D,20050309,000000,5.52816,5.52816,5.39324,5.4268,86626.893983349,0
MFD.US,D,20050310,000000,5.46337,5.49385,5.39324,5.4268,59925.618563531,0
MFD.US,D,20050311,000000,5.45005,5.4973,5.43373,5.4973,120155.20611027,0
MFD.US,D,20050314,000000,5.49093,5.51325,5.41377,5.41377,64678.200279955,0
MFD.US,D,20050315,000000,5.41377,5.46075,5.35245,5.37327,77731.801632589,0
MFD.US,D,20050316,000000,5.37327,5.41377,5.32508,5.38668,76241.820335945,0
MFD.US,D,20050317,000000,5.34907,5.39999,5.2887,5.37663,101170.47663263,0
MFD.US,D,20050318,000000,5.33914,5.36895,5.29198,5.3218,70312.825326606,0
MFD.US,D,20050321,000000,5.31232,5.39643,5.30192,5.31627,75656.280084077,0
MFD.US,D,20050322,000000,5.33586,5.41377,5.30558,5.37927,131424.45620357,0
MFD.US,D,20050323,000000,5.37927,5.37927,5.1474,5.17121,153972.55541069,0
MFD.US,D,20050324,000000,5.20778,5.22185,4.98875,5.09659,127568.84962707,0
MFD.US,D,20050328,000000,5.08561,5.08561,4.94835,4.99833,212129.82108244,0
MFD.US,D,20050329,000000,5.0062,5.00873,4.94835,4.98557,67645.364179214,0
MFD.US,D,20050330,000000,4.97478,5.06873,4.97151,5.06873,77731.801632589,0
MFD.US,D,20050331,000000,5.08561,5.17121,5.07286,5.10999,100572.13768673,0
MFD.US,D,20050401,000000,5.15996,5.37927,5.1474,5.29198,191657.24342382,0
MFD.US,D,20050404,000000,5.26863,5.32508,5.24191,5.3218,33524.045895576,0
MFD.US,D,20050405,000000,5.2887,5.38255,5.25063,5.38255,41831.4648788,0
MFD.US,D,20050406,000000,5.38255,5.38976,5.33914,5.34907,54295.259748223,0
MFD.US,D,20050407,000000,5.34299,5.35245,5.29198,5.33914,44800.76189373,0
MFD.US,D,20050408,000000,5.37663,5.38668,5.25823,5.25823,53696.920802327,0
MFD.US,D,20050411,000000,5.27126,5.29855,5.22447,5.29855,35609.16646461,0
MFD.US,D,20050412,000000,5.28204,5.37663,5.23093,5.33914,56068.945429196,0
MFD.US,D,20050413,000000,5.33914,5.37927,5.26535,5.3218,44498.926026192,0
MFD.US,D,20050414,000000,5.3218,5.3218,5.25063,5.27454,45690.271128806,0
MFD.US,D,20050415,000000,5.24191,5.31232,5.22775,5.26198,93451.797574779,0
MFD.US,D,20050418,000000,5.30192,5.35986,5.25063,5.34907,71205.534235191,0
MFD.US,D,20050419,000000,5.33257,5.36596,5.23093,5.25391,58154.065998228,0
