<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MJ.US,D,20160121,000000,15.9721,15.9721,15.8877,15.8877,2007.0867294133,0
MJ.US,D,20160122,000000,16.0927,16.0927,16.0927,16.0927,412.83398954413,0
MJ.US,D,20160125,000000,15.9564,15.9564,15.9564,15.9564,1386.306730321,0
MJ.US,D,20160126,000000,16.1084,16.1084,16.1084,16.1084,1386.306730321,0
MJ.US,D,20160127,000000,16.0084,16.0417,15.8818,15.8818,1914.3264996639,0
MJ.US,D,20160204,000000,17.2768,17.2836,17.2768,17.2836,389.38909631076,0
MJ.US,D,20160210,000000,16.6636,16.7088,16.6636,16.6784,1134.5289638583,0
MJ.US,D,20160229,000000,17.474,17.5093,17.4141,17.422,6645.0982168845,0
MJ.US,D,20160303,000000,18.3118,18.558,18.3118,18.558,694.17270834458,0
MJ.US,D,20160304,000000,19.0691,19.0838,19.0691,19.0838,280.31937561639,0
MJ.US,D,20160307,000000,18.9475,18.9671,18.9475,18.9671,911.29280654927,0
MJ.US,D,20160309,000000,19.078,19.078,19.078,19.078,2770.574774274,0
MJ.US,D,20160310,000000,19.1545,19.4213,19.1545,19.4213,2356.7214415458,0
MJ.US,D,20160311,000000,19.6273,19.7245,19.6273,19.7245,425.06610775285,0
MJ.US,D,20160314,000000,19.5734,19.5881,19.5734,19.5881,412.83398954413,0
MJ.US,D,20160315,000000,18.9808,18.9808,18.9808,18.9808,558.60006486466,0
MJ.US,D,20160318,000000,20.215,20.3445,20.215,20.3445,412.83398954413,0
MJ.US,D,20160321,000000,20.2444,20.2974,20.2444,20.2974,570.83218307337,0
MJ.US,D,20160322,000000,20.3239,20.4425,20.3082,20.4425,17175.932651404,0
MJ.US,D,20160324,000000,19.6745,19.7578,19.6745,19.7578,271.14528695985,0
MJ.US,D,20160329,000000,20.4357,20.4357,20.4357,20.4357,133.53395711181,0
MJ.US,D,20160401,000000,20.5907,20.5907,20.5907,20.5907,133.53395711181,0
MJ.US,D,20160404,000000,20.3612,20.3612,20.1434,20.1718,1226.2698504237,0
MJ.US,D,20160405,000000,20.0315,20.0315,19.9619,19.9619,815.47454724767,0
MJ.US,D,20160407,000000,19.7265,19.7265,19.7265,19.7265,555.54203531248,0
MJ.US,D,20160411,000000,20.7172,20.7172,20.7172,20.7172,689.07599242428,0
MJ.US,D,20160412,000000,20.7242,20.7535,20.7015,20.7535,2472.9265645286,0
MJ.US,D,20160413,000000,21.2137,21.2137,21.2137,21.2137,133.53395711181,0
MJ.US,D,20160415,000000,21.0587,21.1028,20.9615,20.989,6565.5894485278,0
MJ.US,D,20160419,000000,21.0439,21.0439,21.0439,21.0439,188.57848905102,0
MJ.US,D,20160420,000000,21.1185,21.1185,21.0439,21.0439,1839.9144472276,0
MJ.US,D,20160422,000000,20.8193,20.8193,20.8193,20.8193,891.92528605214,0
MJ.US,D,20160425,000000,20.885,20.885,20.7967,20.833,1659.490703649,0
MJ.US,D,20160426,000000,21.0597,21.1852,21.0597,21.1852,448.51100098622,0
MJ.US,D,20160427,000000,21.0459,21.3932,21.0439,21.3932,3570.7591737607,0
MJ.US,D,20160428,000000,21.401,21.4442,21.401,21.4226,981.62748624939,0
MJ.US,D,20160429,000000,21.608,21.8317,21.5482,21.8317,3011.139765712,0
MJ.US,D,20160502,000000,21.7159,21.7247,21.5835,21.7247,1128.412904754,0
MJ.US,D,20160504,000000,20.8958,20.8958,20.8939,20.8939,622.81868546041,0
MJ.US,D,20160505,000000,21.1509,21.1509,20.9694,21.0822,1221.1731345034,0
MJ.US,D,20160506,000000,21.0704,21.1019,21.0675,21.1019,1888.8429200624,0
MJ.US,D,20160509,000000,20.7535,20.7909,20.5789,20.6535,1625.852378575,0
MJ.US,D,20160510,000000,21.2284,21.2764,21.2215,21.2764,1099.8712956003,0
MJ.US,D,20160511,000000,21.3794,21.3794,21.249,21.249,2882.7025245205,0
MJ.US,D,20160512,000000,21.4864,21.7032,21.3422,21.7032,3977.4771042005,0
MJ.US,D,20160513,000000,21.4099,21.4099,21.2657,21.3265,1782.8312289202,0
MJ.US,D,20160516,000000,21.35,21.35,21.2764,21.3422,1782.8312289202,0
MJ.US,D,20160517,000000,21.0754,21.145,21.0067,21.0067,3093.7065636209,0
MJ.US,D,20160518,000000,20.6202,20.8693,20.6202,20.8399,8164.9389043173,0
MJ.US,D,20160519,000000,20.3788,20.3837,20.268,20.2729,3474.9409144591,0
MJ.US,D,20160520,000000,20.5152,20.5937,20.5073,20.5789,10713.296864466,0
MJ.US,D,20160523,000000,20.263,20.3307,20.2277,20.2277,22157.462791903,0
MJ.US,D,20160524,000000,20.4465,20.5348,20.4004,20.4671,37562.796332596,0
MJ.US,D,20160525,000000,20.4818,20.6005,20.1993,20.1993,32667.910362742,0
MJ.US,D,20160531,000000,20.4112,20.4112,20.4112,20.4112,677.86321739963,0
MJ.US,D,20160601,000000,20.1483,20.2729,20.1335,20.2729,3096.764593173,0
MJ.US,D,20160602,000000,20.059,20.3249,20.059,20.2503,5328.1068230795,0
MJ.US,D,20160606,000000,20.6064,20.8282,20.6064,20.7957,3569.7398305767,0
MJ.US,D,20160607,000000,20.8429,20.9684,20.8429,20.9468,1718.6126083245,0
MJ.US,D,20160608,000000,21.4422,21.5747,21.3245,21.5629,3656.3840012218,0
MJ.US,D,20160609,000000,21.4707,21.4707,21.3382,21.3539,714.55957202577,0
MJ.US,D,20160613,000000,20.6947,20.7114,20.6427,20.6888,4466.7618325491,0
MJ.US,D,20160614,000000,20.681,20.681,20.681,20.681,244.6423641743,0
MJ.US,D,20160616,000000,20.3778,20.6064,20.214,20.6064,749.2172402838,0
MJ.US,D,20160617,000000,20.835,20.835,20.835,20.835,197.75257770756,0
MJ.US,D,20160621,000000,21.1195,21.1705,21.1195,21.1342,4700.1914216988,0
MJ.US,D,20160624,000000,21.0047,21.0047,20.7634,20.7634,1549.4016397706,0
MJ.US,D,20160628,000000,21.0135,21.141,20.9684,21.141,2402.5918848285,0
MJ.US,D,20160630,000000,21.6767,21.6767,21.6767,21.6767,267.06791422361,0
MJ.US,D,20160701,000000,22.0936,22.0936,21.9474,21.9474,340.4606234759,0
MJ.US,D,20160707,000000,21.0312,21.0312,21.0312,21.0312,549.42597620812,0
MJ.US,D,20160711,000000,21.8964,21.8964,21.7149,21.7149,1617.6976331026,0
MJ.US,D,20160718,000000,22.5351,22.6528,22.5351,22.6528,5965.1963131167,0
MJ.US,D,20160719,000000,22.7744,22.7744,22.7744,22.7744,1575.9045625561,0
MJ.US,D,20160721,000000,23.0639,23.0639,23.0639,23.0639,2117.1757932918,0
MJ.US,D,20160722,000000,23.109,23.109,23.109,23.109,267.06791422361,0
MJ.US,D,20160726,000000,23.0482,23.0482,22.9461,22.9952,3238.4532957573,0
MJ.US,D,20160727,000000,22.8392,22.8392,22.7931,22.7931,1882.7268609581,0
MJ.US,D,20160728,000000,22.7931,22.7931,22.7637,22.7637,793.04899719836,0
MJ.US,D,20160729,000000,23.2129,23.2129,23.2129,23.2129,1216.0764185831,0
MJ.US,D,20160802,000000,22.9461,22.9461,22.8726,22.9383,1860.3013109088,0
MJ.US,D,20160803,000000,23.1521,23.1521,23.1521,23.1521,699.26942426488,0
MJ.US,D,20160804,000000,23.3248,23.3248,23.3248,23.3248,267.06791422361,0
MJ.US,D,20160805,000000,23.6819,23.6819,23.6819,23.6819,7260.7815000565,0
