<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOHR.US,D,20211104,000000,25.34,25.52,25.34,25.4442,45544,0
MOHR.US,D,20211105,000000,25.59,27.53,25.2729,25.2729,6798,0
MOHR.US,D,20211108,000000,25.4799,25.4799,25.4599,25.4599,502,0
MOHR.US,D,20211109,000000,25.58,28.01,25.26,25.3361,5506,0
MOHR.US,D,20211110,000000,24.81,24.8901,24.81,24.8901,19761,0
MOHR.US,D,20211111,000000,25.13,25.2799,25.13,25.2481,962,0
MOHR.US,D,20211112,000000,25.54,25.6087,25.54,25.6087,625,0
MOHR.US,D,20211115,000000,25.5464,25.5464,25.5464,25.5464,1,0
MOHR.US,D,20211116,000000,25.6697,25.8603,25.6697,25.8603,771,0
MOHR.US,D,20211117,000000,25.66,25.66,25.6,25.626,1433,0
MOHR.US,D,20211118,000000,25.7734,25.7734,25.7734,25.7734,1,0
MOHR.US,D,20211119,000000,25.7098,25.7098,25.7098,25.7098,1,0
MOHR.US,D,20211122,000000,25.609,25.609,25.4418,25.4418,2636,0
MOHR.US,D,20211123,000000,25.34,25.39,25.3,25.3866,9846,0
MOHR.US,D,20211124,000000,25.56,25.59,25.56,25.57,7284,0
MOHR.US,D,20211126,000000,24.78,24.861,24.78,24.8273,1272,0
MOHR.US,D,20211129,000000,25.19,25.24,25.16,25.2141,12911,0
MOHR.US,D,20211130,000000,25.11,25.11,24.6601,24.6601,5508,0
MOHR.US,D,20211201,000000,24.2792,24.2792,24.2792,24.2792,53,0
MOHR.US,D,20211202,000000,24.4167,24.4167,24.4167,24.4167,400,0
MOHR.US,D,20211203,000000,23.9511,23.9511,23.9511,23.9511,866,0
MOHR.US,D,20211206,000000,24.0583,24.0583,24.0583,24.0583,55,0
MOHR.US,D,20211207,000000,24.6745,24.6745,24.6745,24.6745,50,0
MOHR.US,D,20211208,000000,24.48,24.5815,24.4676,24.5815,13160,0
MOHR.US,D,20211209,000000,24.5799,24.5799,24.3465,24.3465,11765,0
MOHR.US,D,20211210,000000,24.5927,24.5927,24.5927,24.5927,1,0
MOHR.US,D,20211213,000000,24.3643,24.3643,24.3643,24.3643,15,0
