<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUSI.US,D,20191223,000000,23.2012,23.2012,23.1578,23.1578,1253.6786301133,0
NUSI.US,D,20191224,000000,23.1302,23.142,23.1182,23.1192,1959.0628876387,0
NUSI.US,D,20191226,000000,23.2604,23.29,23.2544,23.29,1246.5842482129,0
NUSI.US,D,20191227,000000,23.1636,23.214,23.138,23.138,2757.6875929978,0
NUSI.US,D,20191230,000000,22.9752,23.0848,22.9752,23.0018,1625.6269383199,0
NUSI.US,D,20191231,000000,23.1222,23.1736,23.066,23.1736,6608.9234817857,0
NUSI.US,D,20200102,000000,23.2604,23.3166,23.2564,23.3166,5626.8583301448,0
NUSI.US,D,20200103,000000,23.0374,23.1784,23.0374,23.1656,2208.3797372813,0
NUSI.US,D,20200106,000000,23.0572,23.1884,23.0562,23.1884,810.78650290271,0
NUSI.US,D,20200107,000000,23.1962,23.3078,23.1844,23.2969,6397.1055079024,0
NUSI.US,D,20200108,000000,23.2377,23.438,23.2377,23.3719,2069.5325486592,0
NUSI.US,D,20200109,000000,23.4084,23.5465,23.3906,23.5386,1675.2876116227,0
NUSI.US,D,20200110,000000,23.6087,23.6087,23.4814,23.4814,4249.5347583388,0
NUSI.US,D,20200113,000000,23.6215,23.7261,23.6018,23.7261,2244.8651299119,0
NUSI.US,D,20200114,000000,23.6679,23.7419,23.6462,23.6462,2714.1078184668,0
NUSI.US,D,20200115,000000,23.733,23.733,23.6215,23.6215,3910.0179102483,0
NUSI.US,D,20200116,000000,23.7143,23.8543,23.658,23.8543,4373.1797000315,0
NUSI.US,D,20200117,000000,23.9175,23.9274,23.8731,23.9057,9896.6627510562,0
NUSI.US,D,20200121,000000,24.0004,24.0004,23.88,23.8987,3527.9347707554,0
NUSI.US,D,20200122,000000,23.9254,23.9718,23.9254,23.9303,13906.00200791,0
NUSI.US,D,20200123,000000,23.8791,23.9393,23.8228,23.9333,14044.849196532,0
NUSI.US,D,20200124,000000,24.0843,24.0843,23.6916,23.7153,8081.5144676828,0
NUSI.US,D,20200127,000000,23.3847,23.7212,23.3847,23.6985,1543.534804901,0
NUSI.US,D,20200128,000000,23.8041,23.8504,23.7873,23.8267,3542.1235345562,0
NUSI.US,D,20200129,000000,24.2787,24.2787,23.8109,23.8405,3541.1100514276,0
NUSI.US,D,20200130,000000,23.8109,23.8879,23.8109,23.8741,3773.1976878835,0
NUSI.US,D,20200131,000000,23.8129,23.8791,23.8129,23.8721,3215.7819671379,0
NUSI.US,D,20200203,000000,23.9254,23.9343,23.8643,23.8701,22191.226584447,0
NUSI.US,D,20200204,000000,23.9619,24.0369,23.9619,24.0133,3323.2111787725,0
NUSI.US,D,20200205,000000,24.0439,24.0645,24.0181,24.0319,2745.5257954543,0
NUSI.US,D,20200206,000000,24.0753,24.0921,24.0753,24.0793,1144.2224522215,0
NUSI.US,D,20200207,000000,23.9531,24.0843,23.9531,23.9669,2614.7864718612,0
NUSI.US,D,20200210,000000,24.1671,24.2313,23.9441,24.2313,7312.2807730538,0
NUSI.US,D,20200211,000000,24.4079,24.4079,24.1909,24.2195,16787.334542601,0
NUSI.US,D,20200212,000000,24.3349,24.4553,24.3201,24.4513,6297.7841612968,0
NUSI.US,D,20200213,000000,24.3723,24.5579,24.3723,24.4089,4597.1594714584,0
NUSI.US,D,20200214,000000,24.474,24.474,24.4049,24.4592,973.95728661188,0
NUSI.US,D,20200218,000000,24.3991,24.5303,24.3991,24.4819,20601.071555629,0
NUSI.US,D,20200219,000000,24.5017,24.7621,24.5017,24.7157,10192.599824616,0
NUSI.US,D,20200220,000000,24.7009,24.7009,24.3141,24.4927,6213.6650616207,0
NUSI.US,D,20200221,000000,24.2511,24.2511,24.0744,24.1395,4212.0358825796,0
NUSI.US,D,20200224,000000,23.9254,24.1109,23.5554,23.5554,67958.097707048,0
NUSI.US,D,20200225,000000,23.6314,23.6541,23.145,23.1775,3648.5392630622,0
NUSI.US,D,20200226,000000,23.3294,23.3384,22.9712,23.0324,33014.21291507,0
NUSI.US,D,20200227,000000,22.6309,23.0236,22.5588,22.7068,22077.716474041,0
NUSI.US,D,20200228,000000,22.5105,22.6299,22.5105,22.6299,817.88088480311,0
NUSI.US,D,20200302,000000,22.6309,22.986,22.6131,22.986,7614.2987453851,0
NUSI.US,D,20200303,000000,22.8262,22.8262,22.693,22.693,798.62470535917,0
NUSI.US,D,20200304,000000,22.8509,23.07,22.7562,23.07,1926.6314275226,0
NUSI.US,D,20200305,000000,23.0582,23.0582,22.8075,22.8075,432.75729592432,0
NUSI.US,D,20200306,000000,22.7601,22.7601,22.4769,22.5944,2627.9617525334,0
NUSI.US,D,20200309,000000,22.4454,22.5944,22.3437,22.3852,5626.8583301448,0
NUSI.US,D,20200310,000000,22.3151,22.4187,22.3053,22.4167,588.83369773309,0
NUSI.US,D,20200311,000000,22.3615,22.3615,22.2431,22.2431,707.41122378262,0
NUSI.US,D,20200312,000000,22.6496,23.7853,22.2046,22.2381,3165.1078107065,0
NUSI.US,D,20200313,000000,22.324,22.3329,22.2747,22.2747,1667.1797465937,0
NUSI.US,D,20200316,000000,22.1661,22.1661,22.0369,22.0437,936.45841085263,0
NUSI.US,D,20200317,000000,22.0635,22.102,22.0635,22.0783,690.18201059593,0
NUSI.US,D,20200318,000000,22.0793,22.0793,22.0793,22.0793,16.215730058054,0
NUSI.US,D,20200319,000000,22.2411,22.3329,22.0881,22.1415,122496.66530793,0
