<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROOF.US,D,20110617,000000,11.2301,11.3138,11.2077,11.2136,35413.011709323,0
ROOF.US,D,20110620,000000,11.2623,11.349,11.2623,11.3138,24047.5712344,0
ROOF.US,D,20110621,000000,11.4141,11.4501,11.3849,11.4501,29722.074995827,0
ROOF.US,D,20110622,000000,11.4501,12.1483,11.4405,11.4405,22398.113670444,0
ROOF.US,D,20110623,000000,11.4619,11.4619,11.1562,11.3372,18008.461348935,0
ROOF.US,D,20110624,000000,11.3498,11.3498,11.2116,11.2651,3513.5705643154,0
ROOF.US,D,20110627,000000,11.3168,11.3168,11.2798,11.2798,1988.3872003843,0
ROOF.US,D,20110628,000000,11.2593,11.3586,11.2593,11.3586,40398.358543345,0
ROOF.US,D,20110629,000000,11.4433,11.4667,11.4151,11.4317,5678.6119994446,0
ROOF.US,D,20110630,000000,11.5222,11.5855,11.5037,11.5378,29390.334775928,0
ROOF.US,D,20110701,000000,11.5953,11.7588,11.5953,11.7432,17997.163694387,0
ROOF.US,D,20110705,000000,11.7939,11.7939,11.7695,11.7695,4317.7581562064,0
ROOF.US,D,20110706,000000,11.8581,11.9262,11.8581,11.9048,9541.3827952324,0
ROOF.US,D,20110707,000000,12.0966,12.1112,12.0645,12.0704,10944.346078148,0
ROOF.US,D,20110708,000000,11.8581,12.049,11.8581,12.049,25184.526105694,0
ROOF.US,D,20110711,000000,11.8688,11.9,11.8055,11.8493,10140.158486257,0
ROOF.US,D,20110712,000000,11.8747,11.9701,11.7977,11.8231,18648.319420133,0
ROOF.US,D,20110713,000000,11.9477,11.9477,11.0889,11.7977,11709.505408874,0
ROOF.US,D,20110714,000000,12.5883,12.5883,11.5544,11.604,12761.21434131,0
ROOF.US,D,20110715,000000,11.6099,11.6439,11.6099,11.6371,1988.3872003843,0
ROOF.US,D,20110718,000000,11.5018,11.5106,11.4745,11.4872,24287.903158413,0
ROOF.US,D,20110719,000000,11.6264,11.7043,11.604,11.7043,19411.424631851,0
ROOF.US,D,20110720,000000,11.7043,11.7831,11.7043,11.7831,5222.5975795217,0
ROOF.US,D,20110721,000000,11.8397,11.9048,11.8163,11.8163,12185.03395938,0
ROOF.US,D,20110722,000000,11.8493,11.8815,11.7977,11.8581,17873.916553868,0
ROOF.US,D,20110725,000000,11.6829,11.6936,11.6439,11.6439,5119.8916290887,0
ROOF.US,D,20110726,000000,11.5426,11.6624,11.5426,11.6624,2307.8027062311,0
ROOF.US,D,20110727,000000,11.4073,11.4073,11.3703,11.3703,1624.8081358512,0
ROOF.US,D,20110728,000000,11.3586,11.4259,11.3031,11.3031,1085.6018960776,0
ROOF.US,D,20110729,000000,11.0879,11.0879,11.0879,11.0879,627.53335714607,0
ROOF.US,D,20110801,000000,11.2223,11.2223,11.1678,11.1678,4956.5891679001,0
ROOF.US,D,20110802,000000,11.0879,11.0929,10.79,10.79,4056.8850421064,0
ROOF.US,D,20110803,000000,10.6459,10.718,10.4941,10.7111,15139.88415334,0
ROOF.US,D,20110804,000000,10.4103,10.6459,10.1786,10.1786,9063.8001257186,0
ROOF.US,D,20110805,000000,10.1123,10.1123,9.67519,9.67519,990.08536217482,0
ROOF.US,D,20110808,000000,9.49799,9.50578,8.76551,8.78119,22062.265212528,0
ROOF.US,D,20110809,000000,9.19538,9.20502,9.17064,9.20502,1085.6018960776,0
ROOF.US,D,20110810,000000,9.719,9.719,9.5457,9.5457,1263.2831903268,0
ROOF.US,D,20110811,000000,9.5457,9.79106,9.48435,9.79106,15365.837244292,0
ROOF.US,D,20110812,000000,9.64598,9.67909,9.64598,9.64598,4227.3769198253,0
ROOF.US,D,20110815,000000,9.91175,10.0559,9.91175,10.0559,10117.563177162,0
ROOF.US,D,20110816,000000,9.87675,9.91669,9.87675,9.91669,1263.2831903268,0
ROOF.US,D,20110817,000000,9.9225,9.9225,9.9225,9.9225,1624.8081358512,0
ROOF.US,D,20110818,000000,9.57199,9.57199,9.57199,9.57199,182.81659177087,0
ROOF.US,D,20110819,000000,9.35681,9.35681,9.20025,9.28574,1302.3114514914,0
ROOF.US,D,20110822,000000,9.04436,9.16013,9.04436,9.16013,540.23329927796,0
ROOF.US,D,20110823,000000,9.42593,9.42593,9.17639,9.38991,11043.970850068,0
ROOF.US,D,20110825,000000,9.3091,9.34026,9.26432,9.29157,9498.2462960505,0
ROOF.US,D,20110826,000000,9.3646,9.38505,9.34026,9.38018,4508.7912240119,0
ROOF.US,D,20110829,000000,9.75309,9.75309,9.71317,9.71317,540.23329927796,0
ROOF.US,D,20110830,000000,9.78425,9.89913,9.63431,9.89913,20372.752327904,0
ROOF.US,D,20110831,000000,9.88454,9.94006,9.84267,9.89617,19740.083673236,0
ROOF.US,D,20110901,000000,9.66546,9.66546,9.62359,9.62359,2128.0672929733,0
ROOF.US,D,20110907,000000,9.58075,9.58075,9.58075,9.58075,362.55200502875,0
ROOF.US,D,20110908,000000,9.6713,9.6713,9.53596,9.53596,7353.746051008,0
ROOF.US,D,20110909,000000,9.25166,9.28281,9.19353,9.2721,4293.1087281024,0
ROOF.US,D,20110912,000000,9.17639,9.17639,9.1315,9.1315,501.20503811339,0
ROOF.US,D,20110913,000000,9.31591,9.35097,9.2536,9.3237,4688.5266372698,0
ROOF.US,D,20110915,000000,9.51162,9.57491,9.51162,9.57491,3789.8495709804,0
ROOF.US,D,20110916,000000,9.55933,9.55933,9.55933,9.55933,346.11905295945,0
ROOF.US,D,20110919,000000,9.46197,9.51162,9.37628,9.37628,4492.3582719426,0
ROOF.US,D,20110920,000000,9.44347,9.44347,9.37628,9.37628,2697.0582583725,0
ROOF.US,D,20110921,000000,9.3237,9.3237,9.31981,9.31981,1792.2188350571,0
ROOF.US,D,20110922,000000,8.92898,8.92898,8.78664,8.78664,9295.9155736974,0
ROOF.US,D,20110923,000000,8.82996,8.82996,8.76366,8.80426,8040.8488594052,0
ROOF.US,D,20110926,000000,8.94865,8.95995,8.78031,8.95995,10954.616673191,0
ROOF.US,D,20110927,000000,9.10103,9.34512,8.4666,9.10103,99993.486282134,0
ROOF.US,D,20110928,000000,9.08663,9.14864,8.94865,8.94865,58483.849355104,0
ROOF.US,D,20110929,000000,8.99704,9.03307,8.90454,8.90454,10273.676221821,0
ROOF.US,D,20110930,000000,8.93269,8.93269,8.88974,8.88974,3930.5567230737,0
ROOF.US,D,20111003,000000,8.31646,8.38997,8.2262,8.2262,3468.3799461249,0
ROOF.US,D,20111005,000000,8.43456,8.43456,8.39426,8.39426,1071.2230630169,0
ROOF.US,D,20111006,000000,8.75159,8.75159,8.75159,8.75159,3608.0600387138,0
ROOF.US,D,20111007,000000,8.56202,8.56202,8.56202,8.56202,3919.259068526,0
ROOF.US,D,20111010,000000,8.80426,8.80426,8.73192,8.75724,4466.6817843343,0
ROOF.US,D,20111011,000000,8.84291,8.84291,8.80884,8.80884,2322.1815392918,0
ROOF.US,D,20111012,000000,8.94865,9.07426,8.94865,9.03862,3184.9115229296,0
ROOF.US,D,20111013,000000,9.01039,9.01039,8.89072,8.89072,2860.3607195611,0
ROOF.US,D,20111014,000000,9.06423,9.08088,9.06423,9.06949,2143.4731855382,0
ROOF.US,D,20111017,000000,8.9654,9.00474,8.9654,9.00474,4291.0546090938,0
ROOF.US,D,20111018,000000,9.18496,9.2721,9.18496,9.2721,3395.4587213174,0
ROOF.US,D,20111019,000000,9.32176,9.53985,9.21602,9.21602,5574.8789895072,0
ROOF.US,D,20111020,000000,8.97211,9.16305,8.97211,9.14864,6971.6799153969,0
ROOF.US,D,20111021,000000,9.3792,9.3792,9.36362,9.3792,4825.1255513457,0
ROOF.US,D,20111024,000000,9.53985,9.75309,9.53985,9.75309,12185.03395938,0
ROOF.US,D,20111025,000000,9.53596,9.57199,9.48435,9.51941,19633.269484786,0
ROOF.US,D,20111026,000000,9.44736,9.58075,9.44736,9.58075,30018.895192578,0
ROOF.US,D,20111027,000000,9.90396,10.1231,9.84267,10.1123,8665.3010380383,0
ROOF.US,D,20111028,000000,10.0949,10.0949,10.0949,10.0949,7143.1988526202,0
ROOF.US,D,20111101,000000,9.793,9.793,9.793,9.793,10538.657573938,0
ROOF.US,D,20111102,000000,9.25166,9.73264,9.25166,9.73264,2499.862833541,0
ROOF.US,D,20111107,000000,10.0248,10.0248,9.75309,9.75309,26735.385957234,0
ROOF.US,D,20111109,000000,9.7823,9.8875,9.77646,9.77646,3439.6222800036,0
ROOF.US,D,20111110,000000,10.0617,10.0617,9.60898,9.60898,1967.8460102977,0
ROOF.US,D,20111111,000000,9.75017,9.75017,9.75017,9.75017,315.30726782953,0
ROOF.US,D,20111114,000000,9.60898,9.60898,9.60898,9.60898,1071.2230630169,0
ROOF.US,D,20111115,000000,9.5457,9.75017,9.51552,9.73264,3577.2482535839,0
ROOF.US,D,20111116,000000,9.6528,9.78911,9.6528,9.68006,18121.437894411,0
ROOF.US,D,20111117,000000,9.64793,9.64793,9.64793,9.64793,534.07094225198,0
ROOF.US,D,20111118,000000,9.61969,9.61969,9.59827,9.61969,6791.9445021391,0
ROOF.US,D,20111121,000000,9.3792,9.3792,9.27892,9.31689,17061.512485942,0
ROOF.US,D,20111123,000000,8.97767,8.97767,8.97767,8.97767,2468.0239889067,0
ROOF.US,D,20111128,000000,9.1907,9.1907,9.1907,9.1907,1430.6938895327,0
ROOF.US,D,20111129,000000,9.40062,9.40062,9.13248,9.16305,6313.334773121,0
ROOF.US,D,20111130,000000,9.55933,9.78911,9.55933,9.58075,11863.564334525,0
ROOF.US,D,20111201,000000,9.52331,9.52331,9.51162,9.51162,1868.2212383776,0
ROOF.US,D,20111205,000000,9.34512,9.68006,9.34512,9.68006,1430.6938895327,0
ROOF.US,D,20111206,000000,9.96047,9.96047,9.73264,9.77646,27577.574750784,0
ROOF.US,D,20111208,000000,9.57199,9.6528,9.51941,9.51941,3568.0047180449,0
ROOF.US,D,20111209,000000,9.68006,9.68006,9.68006,9.68006,1630.9704928772,0
ROOF.US,D,20111212,000000,9.64112,9.64112,9.64112,9.64112,3099.6655840701,0
ROOF.US,D,20111213,000000,9.65962,9.65962,9.65962,9.65962,355.36258849843,0
ROOF.US,D,20111214,000000,9.52331,9.52331,9.47852,9.47852,578.2345009382,0
ROOF.US,D,20111215,000000,9.5311,9.64793,9.47268,9.64793,45066.343990527,0
ROOF.US,D,20111216,000000,9.59827,9.69175,9.58075,9.69175,15557.897371602,0
ROOF.US,D,20111219,000000,9.72096,9.72096,9.65962,9.65962,54108.575866655,0
ROOF.US,D,20111220,000000,9.84948,9.84948,9.84948,9.84948,1785.0294185268,0
ROOF.US,D,20111221,000000,9.88454,9.95564,9.88454,9.95564,7785.1110428269,0
ROOF.US,D,20111222,000000,10.0909,10.1406,10.0909,10.1173,7865.2216841647,0
ROOF.US,D,20111223,000000,10.1007,10.1007,10.0909,10.1007,743.59108113544,0
ROOF.US,D,20111227,000000,10.1474,10.1474,10.1289,10.1289,2191.7449822418,0
ROOF.US,D,20111228,000000,9.86215,9.86215,9.86215,9.86215,866.83822165513,0
ROOF.US,D,20111229,000000,9.89617,9.89617,9.81832,9.84267,10913.534293018,0
ROOF.US,D,20111230,000000,9.99262,9.99262,9.85338,9.85921,12080.273889938,0
ROOF.US,D,20120103,000000,10.1123,10.1231,9.98966,9.98966,8481.4573867631,0
ROOF.US,D,20120104,000000,9.95071,9.95564,9.87872,9.93513,14024.497531636,0
ROOF.US,D,20120105,000000,9.83,9.99646,9.83,9.99646,7023.0328906135,0
ROOF.US,D,20120106,000000,10.0248,10.0248,10.016,10.0248,1253.0125952835,0
ROOF.US,D,20120109,000000,9.95564,9.98966,9.92053,9.97122,4206.8357297386,0
ROOF.US,D,20120111,000000,10.1173,10.1173,10.1173,10.1173,2499.862833541,0
ROOF.US,D,20120112,000000,10.1552,10.1552,10.1055,10.1552,7688.5674494198,0
ROOF.US,D,20120113,000000,10.1864,10.1864,10.1007,10.1055,6116.1393482895,0
ROOF.US,D,20120117,000000,10.2126,10.2857,10.2126,10.2857,8107.6077271867,0
ROOF.US,D,20120118,000000,10.3694,10.3694,10.3694,10.3694,355.36258849843,0
ROOF.US,D,20120119,000000,10.3908,10.4648,10.3908,10.4483,23004.078778,0
ROOF.US,D,20120120,000000,10.5028,10.5203,10.4969,10.5203,1883.6271309425,0
ROOF.US,D,20120123,000000,10.5914,10.6713,10.5456,10.5456,2548.1346302445,0
ROOF.US,D,20120124,000000,10.7063,10.7511,10.6887,10.6887,5051.0786422985,0
ROOF.US,D,20120125,000000,10.7628,10.7794,10.7628,10.7794,3239.3456766591,0
ROOF.US,D,20120126,000000,10.9001,10.9224,10.8855,10.8933,4032.2356140024,0
ROOF.US,D,20120127,000000,10.9536,10.9536,10.9536,10.9536,432.39205132323,0
ROOF.US,D,20120130,000000,10.8631,10.8631,10.8017,10.8017,9661.5487572391,0
ROOF.US,D,20120131,000000,10.8709,10.8971,10.8222,10.8971,13280.906450501,0
